p,n,h,td,dual_raw,mult,t_op,price_M€_per_GWh,price_€_per_MWh
AMMONIA,GERMANY,6,9,1.362187935523365,23,1,0.05922556241405935,59.225562414059354
AMMONIA,GERMANY,6,10,1.53986453836878,26,1,0.05922555916803,59.225559168029996
AMMONIA,GERMANY,6,11,2.013669005857008,34,1,0.05922555899579435,59.225558995794344
AMMONIA,GERMANY,6,12,2.783601231378592,47,1,0.05922555811443812,59.22555811443812
AMMONIA,GERMANY,7,1,1.599090034744422,27,1,0.059225556842386,59.225556842386
AMMONIA,GERMANY,7,2,1.006834482686429,17,1,0.05922555780508406,59.22555780508406
AMMONIA,GERMANY,7,3,0.5922555587106622,10,1,0.05922555587106622,59.22555587106622
AMMONIA,GERMANY,7,4,2.072894518420944,35,1,0.059225557669169836,59.22555766916984
AMMONIA,GERMANY,7,5,2.132120125996146,36,1,0.0592255590554485,59.2255590554485
AMMONIA,GERMANY,7,6,0.8883833696057878,15,1,0.05922555797371919,59.225557973719184
AMMONIA,GERMANY,7,7,2.250571361900655,38,1,0.059225562155280395,59.22556215528039
AMMONIA,GERMANY,7,8,3.375857049494062,57,1,0.05922556227182565,59.225562271825645
AMMONIA,GERMANY,7,9,1.362187935543672,23,1,0.05922556241494226,59.22556241494226
AMMONIA,GERMANY,7,10,1.539864538350453,26,1,0.059225559167325116,59.225559167325116
AMMONIA,GERMANY,7,11,2.013669005788096,34,1,0.059225558993767524,59.22555899376752
AMMONIA,GERMANY,7,12,2.783601231289279,47,1,0.059225558112537845,59.22555811253785
AMMONIA,GERMANY,8,1,1.599090034713925,27,1,0.05922555684125648,59.22555684125648
AMMONIA,GERMANY,8,2,1.006834482656801,17,1,0.05922555780334123,59.22555780334123
AMMONIA,GERMANY,8,3,0.5922555587097955,10,1,0.05922555587097955,59.22555587097955
AMMONIA,GERMANY,8,4,2.072894518491049,35,1,0.05922555767117283,59.22555767117283
AMMONIA,GERMANY,8,5,2.132120126076719,36,1,0.05922555905768664,59.22555905768664
AMMONIA,GERMANY,8,6,0.8883833694921868,15,1,0.059225557966145786,59.225557966145786
AMMONIA,GERMANY,8,7,2.250571361893451,38,1,0.05922556215509082,59.22556215509082
AMMONIA,GERMANY,8,8,3.375857049467438,57,1,0.05922556227135856,59.22556227135856
AMMONIA,GERMANY,8,9,1.362187935566001,23,1,0.059225562415913084,59.22556241591308
AMMONIA,GERMANY,8,10,1.539864538332288,26,1,0.05922555916662646,59.22555916662646
AMMONIA,GERMANY,8,11,2.01366900571899,34,1,0.059225558991735,59.225558991735
AMMONIA,GERMANY,8,12,2.783601231200123,47,1,0.05922555811064092,59.22555811064092
AMMONIA,GERMANY,9,1,1.599090034683585,27,1,0.05922555684013278,59.22555684013278
AMMONIA,GERMANY,9,2,1.006834482627043,17,1,0.059225557801590764,59.22555780159077
AMMONIA,GERMANY,9,3,0.5922555587114107,10,1,0.05922555587114107,59.22555587114107
AMMONIA,GERMANY,9,4,2.072894518561482,35,1,0.0592255576731852,59.2255576731852
AMMONIA,GERMANY,9,5,2.132120126157433,36,1,0.05922555905992869,59.22555905992869
AMMONIA,GERMANY,9,6,0.8883833694591476,15,1,0.05922555796394317,59.225557963943174
AMMONIA,GERMANY,9,7,2.250571361893697,38,1,0.05922556215509729,59.22556215509729
AMMONIA,GERMANY,9,8,3.375857049512015,57,1,0.05922556227214061,59.225562272140614
AMMONIA,GERMANY,9,9,1.362187935587823,23,1,0.059225562416861874,59.22556241686188
AMMONIA,GERMANY,9,10,1.539864538314286,26,1,0.059225559165934076,59.22555916593408
AMMONIA,GERMANY,9,11,2.013669005649826,34,1,0.05922555898970077,59.22555898970077
AMMONIA,GERMANY,9,12,2.783601231111154,47,1,0.05922555810874796,59.22555810874796
AMMONIA,GERMANY,10,1,1.599090034653406,27,1,0.05922555683901504,59.225556839015034
AMMONIA,GERMANY,10,2,1.006834482598246,17,1,0.05922555779989683,59.225557799896826
AMMONIA,GERMANY,10,3,0.5922555587173169,10,1,0.05922555587173169,59.22555587173169
AMMONIA,GERMANY,10,4,2.072894518559766,35,1,0.05922555767313617,59.22555767313617
AMMONIA,GERMANY,10,5,2.132120126233756,36,1,0.05922555906204877,59.225559062048774
AMMONIA,GERMANY,10,6,0.8883833694890992,15,1,0.05922555796593995,59.22555796593995
AMMONIA,GERMANY,10,7,2.250571361888857,38,1,0.05922556215496992,59.22556215496992
AMMONIA,GERMANY,10,8,3.375857049556958,57,1,0.059225562272929085,59.22556227292908
AMMONIA,GERMANY,10,9,1.362187935609722,23,1,0.059225562417814,59.225562417814004
AMMONIA,GERMANY,10,10,1.539864538296441,26,1,0.059225559165247736,59.22555916524774
AMMONIA,GERMANY,10,11,2.013669005580744,34,1,0.059225558987668944,59.22555898766895
AMMONIA,GERMANY,10,12,2.783601231022315,47,1,0.05922555810685777,59.22555810685777
AMMONIA,GERMANY,11,1,1.599090034623383,27,1,0.05922555683790307,59.22555683790307
AMMONIA,GERMANY,11,2,1.006834482568932,17,1,0.059225557798172464,59.22555779817247
AMMONIA,GERMANY,11,3,0.592255558718596,10,1,0.059225555871859605,59.225555871859605
AMMONIA,GERMANY,11,4,2.072894518625015,35,1,0.059225557675000436,59.22555767500044
AMMONIA,GERMANY,11,5,2.13212012630741,36,1,0.05922555906409472,59.22555906409472
AMMONIA,GERMANY,11,6,0.8883833695187332,15,1,0.059225557967915544,59.22555796791554
AMMONIA,GERMANY,11,7,2.250571361882236,38,1,0.059225562154795686,59.22556215479568
AMMONIA,GERMANY,11,8,3.375857049601797,57,1,0.05922556227371574,59.22556227371574
AMMONIA,GERMANY,11,9,1.362187935628327,23,1,0.05922556241862292,59.225562418622914
AMMONIA,GERMANY,11,10,1.539864538278736,26,1,0.05922555916456677,59.22555916456677
AMMONIA,GERMANY,11,11,2.013669005511739,34,1,0.05922555898563939,59.22555898563939
AMMONIA,GERMANY,11,12,2.783601230933561,47,1,0.059225558104969385,59.22555810496939
AMMONIA,GERMANY,12,1,1.599090034593521,27,1,0.059225556836797075,59.225556836797075
AMMONIA,GERMANY,12,2,1.006834482539364,17,1,0.05922555779643318,59.22555779643318
AMMONIA,GERMANY,12,3,0.5922555587188062,10,1,0.05922555587188062,59.22555587188062
AMMONIA,GERMANY,12,4,2.072894518683976,35,1,0.059225557676685026,59.22555767668503
AMMONIA,GERMANY,12,5,2.132120126374668,36,1,0.059225559065963,59.225559065963004
AMMONIA,GERMANY,12,6,0.8883833695486594,15,1,0.05922555796991062,59.225557969910625
AMMONIA,GERMANY,12,7,2.250571361833469,38,1,0.05922556215351234,59.225562153512335
AMMONIA,GERMANY,12,8,3.375857049645754,57,1,0.059225562274486915,59.22556227448691
AMMONIA,GERMANY,12,9,1.362187935625085,23,1,0.05922556241848196,59.22556241848196
AMMONIA,GERMANY,12,10,1.539864538261207,26,1,0.05922555916389258,59.22555916389258
AMMONIA,GERMANY,12,11,2.013669005442654,34,1,0.05922555898360747,59.22555898360747
AMMONIA,GERMANY,12,12,2.783601230845074,47,1,0.05922555810308668,59.225558103086684
AMMONIA,GERMANY,13,1,1.599090034563817,27,1,0.05922555683569693,59.22555683569693
AMMONIA,GERMANY,13,2,1.006834482509408,17,1,0.059225557794671056,59.225557794671055
AMMONIA,GERMANY,13,3,0.5922555587194729,10,1,0.05922555587194729,59.22555587194729
AMMONIA,GERMANY,13,4,2.072894518754911,35,1,0.05922555767871174,59.22555767871174
AMMONIA,GERMANY,13,5,2.132120126455888,36,1,0.05922555906821911,59.225559068219106
AMMONIA,GERMANY,13,6,0.8883833695787042,15,1,0.05922555797191362,59.22555797191362
AMMONIA,GERMANY,13,7,2.2505713618297,38,1,0.05922556215341315,59.22556215341315
AMMONIA,GERMANY,13,8,3.375857049682408,57,1,0.05922556227512996,59.22556227512996
AMMONIA,GERMANY,13,9,1.362187935648401,23,1,0.0592255624194957,59.225562419495695
AMMONIA,GERMANY,13,10,1.539864538243843,26,1,0.05922555916322473,59.22555916322473
AMMONIA,GERMANY,13,11,2.013669005374161,34,1,0.059225558981592964,59.22555898159296
AMMONIA,GERMANY,13,12,2.783601230756659,47,1,0.059225558101205514,59.225558101205515
AMMONIA,GERMANY,14,1,1.59909003453427,27,1,0.059225556834602594,59.22555683460259
AMMONIA,GERMANY,14,2,1.006834482479744,17,1,0.05922555779292611,59.22555779292611
AMMONIA,GERMANY,14,3,0.5922555587199664,10,1,0.05922555587199664,59.22555587199664
AMMONIA,GERMANY,14,4,2.072894518825876,35,1,0.05922555768073931,59.22555768073931
AMMONIA,GERMANY,14,5,2.132120126537224,36,1,0.05922555907047844,59.22555907047844
AMMONIA,GERMANY,14,6,0.8883833696086649,15,1,0.059225557973911,59.225557973911
AMMONIA,GERMANY,14,7,2.250571361825862,38,1,0.05922556215331216,59.225562153312154
AMMONIA,GERMANY,14,8,3.375857049720555,57,1,0.05922556227579921,59.22556227579921
AMMONIA,GERMANY,14,9,1.362187935671145,23,1,0.059225562420484566,59.225562420484565
AMMONIA,GERMANY,14,10,1.539864538226632,26,1,0.05922555916256277,59.225559162562774
AMMONIA,GERMANY,14,11,2.013669005304768,34,1,0.059225558979552,59.225558979552
AMMONIA,GERMANY,14,12,2.783601230668176,47,1,0.059225558099322895,59.225558099322896
AMMONIA,GERMANY,15,1,1.599090034504882,27,1,0.059225556833514145,59.22555683351415
AMMONIA,GERMANY,15,2,1.00683448244877,17,1,0.05922555779110412,59.225557791104116
AMMONIA,GERMANY,15,3,0.5922555587185306,10,1,0.05922555587185306,59.22555587185306
AMMONIA,GERMANY,15,4,2.072894518896866,35,1,0.059225557682767604,59.2255576827676
AMMONIA,GERMANY,15,5,2.132120126618688,36,1,0.05922555907274133,59.22555907274133
AMMONIA,GERMANY,15,6,0.8883833696387806,15,1,0.059225557975918705,59.225557975918704
AMMONIA,GERMANY,15,7,2.250571361821794,38,1,0.05922556215320511,59.22556215320511
AMMONIA,GERMANY,15,8,3.375857049765351,57,1,0.059225562276585104,59.2255622765851
AMMONIA,GERMANY,15,9,1.362187935693196,23,1,0.059225562421443306,59.22556242144331
AMMONIA,GERMANY,15,10,1.539864538209578,26,1,0.059225559161906846,59.225559161906844
AMMONIA,GERMANY,15,11,2.013669005233417,34,1,0.05922555897745344,59.225558977453446
AMMONIA,GERMANY,15,12,2.783601230599608,47,1,0.059225558097864,59.225558097864
AMMONIA,GERMANY,16,1,1.599090034475651,27,1,0.05922555683243152,59.225556832431515
AMMONIA,GERMANY,16,2,1.006834482418062,17,1,0.059225557789297764,59.22555778929777
AMMONIA,GERMANY,16,3,0.592255558716821,10,1,0.0592255558716821,59.225555871682104
AMMONIA,GERMANY,16,4,2.072894518967878,35,1,0.05922555768479651,59.225557684796506
AMMONIA,GERMANY,16,5,2.132120126700288,36,1,0.059225559075008004,59.225559075008
AMMONIA,GERMANY,16,6,0.8883833696684285,15,1,0.05922555797789523,59.22555797789523
AMMONIA,GERMANY,16,7,2.250571361817365,38,1,0.05922556215308855,59.22556215308855
AMMONIA,GERMANY,16,8,3.37585704982729,57,1,0.059225562277671756,59.225562277671756
AMMONIA,GERMANY,16,9,1.362187935715443,23,1,0.05922556242241056,59.22556242241056
AMMONIA,GERMANY,16,10,1.539864538192679,26,1,0.05922555916125689,59.22555916125689
AMMONIA,GERMANY,16,11,2.01366900516231,34,1,0.05922555897536205,59.225558975362055
AMMONIA,GERMANY,16,12,2.783601230512025,47,1,0.05922555809600053,59.22555809600053
AMMONIA,GERMANY,17,1,1.599090034446578,27,1,0.05922555683135474,59.22555683135474
AMMONIA,GERMANY,17,2,1.006834482386403,17,1,0.059225557787435476,59.22555778743548
AMMONIA,GERMANY,17,3,0.5922555587169986,10,1,0.059225555871699864,59.22555587169987
AMMONIA,GERMANY,17,4,2.072894519038927,35,1,0.05922555768682649,59.22555768682649
AMMONIA,GERMANY,17,5,2.132120126803301,36,1,0.05922555907786948,59.22555907786948
AMMONIA,GERMANY,17,6,0.8883833696982777,15,1,0.05922555797988518,59.22555797988518
AMMONIA,GERMANY,17,7,2.250571361813016,38,1,0.0592255621529741,59.2255621529741
AMMONIA,GERMANY,17,8,3.375857049872867,57,1,0.05922556227847135,59.22556227847135
