k,ct,n,h,td,b
1,ELECTRICITY,GERMANY,8,10,0.15902499139023182
1,ELECTRICITY,GERMANY,8,11,0.17645129512824143
1,ELECTRICITY,GERMANY,8,12,0.157814781490068
1,ELECTRICITY,GERMANY,9,1,0.1553114195165273
1,ELECTRICITY,GERMANY,9,2,0.1587003530824388
1,ELECTRICITY,GERMANY,9,3,0.15782447069395095
1,ELECTRICITY,GERMANY,9,4,0.15972324661005882
1,ELECTRICITY,GERMANY,9,5,0.1592172569099155
1,ELECTRICITY,GERMANY,9,6,0.16280026062001277
1,ELECTRICITY,GERMANY,9,7,0.16088699169582227
1,ELECTRICITY,GERMANY,9,8,0.16108365418950452
1,ELECTRICITY,GERMANY,9,9,0.15788495821167856
1,ELECTRICITY,GERMANY,9,10,0.15837625690915094
1,ELECTRICITY,GERMANY,9,11,0.17302398479079906
1,ELECTRICITY,GERMANY,9,12,0.1569925845339396
1,ELECTRICITY,GERMANY,10,1,0.15388198927977156
1,ELECTRICITY,GERMANY,10,2,0.15777242134642508
1,ELECTRICITY,GERMANY,10,3,0.1571387124681757
1,ELECTRICITY,GERMANY,10,4,0.15917282647369285
1,ELECTRICITY,GERMANY,10,5,0.15777371247813327
1,ELECTRICITY,GERMANY,10,6,0.16095509033258376
1,ELECTRICITY,GERMANY,10,7,0.15916822710565534
1,ELECTRICITY,GERMANY,10,8,0.15932830992259353
1,ELECTRICITY,GERMANY,10,9,0.15619510616120982
1,ELECTRICITY,GERMANY,10,10,0.1568477489431237
1,ELECTRICITY,GERMANY,10,11,0.1705769279893621
1,ELECTRICITY,GERMANY,10,12,0.1564540630368858
1,ELECTRICITY,GERMANY,11,1,0.15244173841842487
1,ELECTRICITY,GERMANY,11,2,0.1574134047022042
1,ELECTRICITY,GERMANY,11,3,0.15746894717287713
1,ELECTRICITY,GERMANY,11,4,0.15939746729443907
1,ELECTRICITY,GERMANY,11,5,0.1580366391353853
1,ELECTRICITY,GERMANY,11,6,0.160212889043653
1,ELECTRICITY,GERMANY,11,7,0.16140623443296104
1,ELECTRICITY,GERMANY,11,8,0.1605428155854889
1,ELECTRICITY,GERMANY,11,9,0.15676829245312843
1,ELECTRICITY,GERMANY,11,10,0.1572334184251148
1,ELECTRICITY,GERMANY,11,11,0.1694644088114266
1,ELECTRICITY,GERMANY,11,12,0.15595504314515582
1,ELECTRICITY,GERMANY,12,1,0.1529140060809598
1,ELECTRICITY,GERMANY,12,2,0.1576903487578312
1,ELECTRICITY,GERMANY,12,3,0.1594312115257557
1,ELECTRICITY,GERMANY,12,4,0.15988842621454205
1,ELECTRICITY,GERMANY,12,5,0.15971054444465071
1,ELECTRICITY,GERMANY,12,6,0.16086672098867688
1,ELECTRICITY,GERMANY,12,7,0.16212478687905862
1,ELECTRICITY,GERMANY,12,8,0.1625267387689988
1,ELECTRICITY,GERMANY,12,9,0.15731938046208488
1,ELECTRICITY,GERMANY,12,10,0.15769731386784844
1,ELECTRICITY,GERMANY,12,11,0.16995515057211966
1,ELECTRICITY,GERMANY,12,12,0.15590018512592804
1,ELECTRICITY,GERMANY,13,1,0.1533533382996123
1,ELECTRICITY,GERMANY,13,2,0.15809754871341705
1,ELECTRICITY,GERMANY,13,3,0.1613014431659656
1,ELECTRICITY,GERMANY,13,4,0.16103024029649796
1,ELECTRICITY,GERMANY,13,5,0.16114006649457685
1,ELECTRICITY,GERMANY,13,6,0.16224457642904472
1,ELECTRICITY,GERMANY,13,7,0.16246853008059142
1,ELECTRICITY,GERMANY,13,8,0.16441323719294654
1,ELECTRICITY,GERMANY,13,9,0.1585488302896593
1,ELECTRICITY,GERMANY,13,10,0.159286449489951
1,ELECTRICITY,GERMANY,13,11,0.172629232295534
1,ELECTRICITY,GERMANY,13,12,0.15727818393965226
1,ELECTRICITY,GERMANY,14,1,0.15442233693253812
1,ELECTRICITY,GERMANY,14,2,0.15915298538600978
1,ELECTRICITY,GERMANY,14,3,0.16335851854602254
1,ELECTRICITY,GERMANY,14,4,0.16235360487621842
1,ELECTRICITY,GERMANY,14,5,0.1621170162229948
1,ELECTRICITY,GERMANY,14,6,0.1628812720604574
1,ELECTRICITY,GERMANY,14,7,0.16349122943745314
1,ELECTRICITY,GERMANY,14,8,0.1658547848748911
1,ELECTRICITY,GERMANY,14,9,0.1589410866795861
1,ELECTRICITY,GERMANY,14,10,0.1607035334376694
1,ELECTRICITY,GERMANY,14,11,0.17446951264567837
1,ELECTRICITY,GERMANY,14,12,0.15803625050158576
1,ELECTRICITY,GERMANY,15,1,0.15491058525891147
1,ELECTRICITY,GERMANY,15,2,0.16013623865344387
1,ELECTRICITY,GERMANY,15,3,0.16372628722424956
1,ELECTRICITY,GERMANY,15,4,0.1636804166806647
1,ELECTRICITY,GERMANY,15,5,0.1632003232240938
1,ELECTRICITY,GERMANY,15,6,0.16468569496345678
1,ELECTRICITY,GERMANY,15,7,0.1648577792990998
