pt,n,h,td,val
CCGT,GERMANY,1,1,1.21874278799074e-09
CCGT,GERMANY,1,2,2.325278942809972e-08
CCGT,GERMANY,1,3,2.114236777593877e-08
CCGT,GERMANY,1,4,2.690856324950043e-08
CCGT,GERMANY,1,5,1.568618006071449e-09
CCGT,GERMANY,1,6,2.269518918955473e-08
CCGT,GERMANY,1,7,2.733780142015841e-08
CCGT,GERMANY,1,8,2.927298399007089e-08
CCGT,GERMANY,1,9,2.473720130434556e-08
CCGT,GERMANY,1,10,1.263874677773067e-09
CCGT,GERMANY,1,11,2.675444249814703e-08
CCGT,GERMANY,1,12,7.11668586276887e-10
CCGT,GERMANY,2,1,1.218741086013906e-09
CCGT,GERMANY,2,2,2.325286931385877e-08
CCGT,GERMANY,2,3,2.114242226328467e-08
CCGT,GERMANY,2,4,2.690856554440036e-08
CCGT,GERMANY,2,5,1.577778383282685e-09
CCGT,GERMANY,2,6,2.269525204370546e-08
CCGT,GERMANY,2,7,2.733782347401655e-08
CCGT,GERMANY,2,8,2.927289498216256e-08
CCGT,GERMANY,2,9,2.473726376093175e-08
CCGT,GERMANY,2,10,1.263874140682974e-09
CCGT,GERMANY,2,11,2.675440511223757e-08
CCGT,GERMANY,2,12,7.116651565329666e-10
CCGT,GERMANY,3,1,1.218739323726068e-09
CCGT,GERMANY,3,2,2.325294660332631e-08
CCGT,GERMANY,3,3,2.114247545187653e-08
CCGT,GERMANY,3,4,2.690855591029966e-08
CCGT,GERMANY,3,5,1.655519269276159e-09
CCGT,GERMANY,3,6,2.269531356637472e-08
CCGT,GERMANY,3,7,2.733784568634301e-08
CCGT,GERMANY,3,8,2.927279298765668e-08
CCGT,GERMANY,3,9,2.473732616483529e-08
CCGT,GERMANY,3,10,1.263873581550895e-09
CCGT,GERMANY,3,11,2.675436551679783e-08
CCGT,GERMANY,3,12,7.116616081900622e-10
CCGT,GERMANY,4,1,1.218737496735058e-09
CCGT,GERMANY,4,2,2.325302106977566e-08
CCGT,GERMANY,4,3,2.1142527132241e-08
CCGT,GERMANY,4,4,2.690854563838256e-08
CCGT,GERMANY,4,5,1.655519104508855e-09
CCGT,GERMANY,4,6,2.269537453994524e-08
CCGT,GERMANY,4,7,2.733786797625208e-08
CCGT,GERMANY,4,8,1.250204152643892e-08
CCGT,GERMANY,4,9,2.473738845446531e-08
CCGT,GERMANY,4,10,1.263873004116587e-09
CCGT,GERMANY,4,11,2.675432343317382e-08
CCGT,GERMANY,4,12,7.116579299160872e-10
CCGT,GERMANY,5,1,1.218735621188011e-09
CCGT,GERMANY,5,2,2.325309358209787e-08
CCGT,GERMANY,5,3,2.114257699320142e-08
CCGT,GERMANY,5,4,2.690853573294597e-08
CCGT,GERMANY,5,5,1.65551896021746e-09
CCGT,GERMANY,5,6,2.269543486886662e-08
CCGT,GERMANY,5,7,2.733789026060747e-08
CCGT,GERMANY,5,8,2.92726140892732e-08
CCGT,GERMANY,5,9,2.473745046124111e-08
CCGT,GERMANY,5,10,1.263872423168624e-09
CCGT,GERMANY,5,11,2.675427601757249e-08
CCGT,GERMANY,5,12,7.116541258334814e-10
CCGT,GERMANY,6,1,1.218733773971634e-09
CCGT,GERMANY,6,2,2.325316804926254e-08
CCGT,GERMANY,6,3,2.114262670214419e-08
CCGT,GERMANY,6,4,2.690852645937087e-08
CCGT,GERMANY,6,5,1.655518677377545e-09
CCGT,GERMANY,6,6,2.269549455497591e-08
CCGT,GERMANY,6,7,2.733791228719512e-08
CCGT,GERMANY,6,8,2.927252059341353e-08
CCGT,GERMANY,6,9,2.47375119297388e-08
CCGT,GERMANY,6,10,1.263871837171766e-09
CCGT,GERMANY,6,11,2.675423403423337e-08
CCGT,GERMANY,6,12,7.116502403384248e-10
CCGT,GERMANY,7,1,1.218731951700269e-09
CCGT,GERMANY,7,2,2.325324394314399e-08
CCGT,GERMANY,7,3,2.1142675626919e-08
CCGT,GERMANY,7,4,2.690851674244083e-08
CCGT,GERMANY,7,5,1.655517981885503e-09
CCGT,GERMANY,7,6,2.269555254646052e-08
CCGT,GERMANY,7,7,2.733793361427321e-08
CCGT,GERMANY,7,8,1.826462637942603e-08
CCGT,GERMANY,7,9,2.473757248919221e-08
CCGT,GERMANY,7,10,1.263871241819726e-09
CCGT,GERMANY,7,11,2.67541927753889e-08
CCGT,GERMANY,7,12,7.116462692270331e-10
CCGT,GERMANY,8,1,1.218730130570647e-09
CCGT,GERMANY,8,2,2.325331991143908e-08
CCGT,GERMANY,8,3,2.114272366864185e-08
CCGT,GERMANY,8,4,2.690850584992048e-08
CCGT,GERMANY,8,5,1.655517665808961e-09
CCGT,GERMANY,8,6,7.449736063762681e-09
CCGT,GERMANY,8,7,2.733795354400089e-08
CCGT,GERMANY,8,8,1.066819458711018e-09
CCGT,GERMANY,8,9,2.473763191997824e-08
CCGT,GERMANY,8,10,1.26387063549427e-09
CCGT,GERMANY,8,11,2.6754150444313e-08
CCGT,GERMANY,8,12,7.116421918945218e-10
CCGT,GERMANY,9,1,1.218728307080041e-09
CCGT,GERMANY,9,2,2.325339657651094e-08
CCGT,GERMANY,9,3,2.114277135085966e-08
CCGT,GERMANY,9,4,2.690849352650335e-08
CCGT,GERMANY,9,5,1.655506638566509e-09
CCGT,GERMANY,9,6,3.685154772654996e-09
CCGT,GERMANY,9,7,2.733797212198395e-08
CCGT,GERMANY,9,8,1.066816244813462e-09
CCGT,GERMANY,9,9,2.473769088411444e-08
CCGT,GERMANY,9,10,1.263870017298403e-09
CCGT,GERMANY,9,11,2.675410697011193e-08
CCGT,GERMANY,9,12,7.116379985273394e-10
CCGT,GERMANY,10,1,1.218726475790829e-09
CCGT,GERMANY,10,2,2.325347657786383e-08
CCGT,GERMANY,10,3,2.114282026990922e-08
CCGT,GERMANY,10,4,2.556054789197678e-08
CCGT,GERMANY,10,5,1.363386718793196e-09
CCGT,GERMANY,10,6,3.641694526027328e-09
CCGT,GERMANY,10,7,2.733799307806796e-08
CCGT,GERMANY,10,8,1.066813164698895e-09
CCGT,GERMANY,10,9,2.473775272631682e-08
CCGT,GERMANY,10,10,1.263869388419563e-09
CCGT,GERMANY,10,11,2.675406725465763e-08
CCGT,GERMANY,10,12,7.116336839230143e-10
CCGT,GERMANY,11,1,1.218724630716823e-09
CCGT,GERMANY,11,2,2.325356896211653e-08
CCGT,GERMANY,11,3,2.114287226584339e-08
CCGT,GERMANY,11,4,6.933950505495332e-09
CCGT,GERMANY,11,5,1.153807342981567e-09
CCGT,GERMANY,11,6,3.663217845430074e-09
CCGT,GERMANY,11,7,2.733804423415308e-08
CCGT,GERMANY,11,8,1.066810095991734e-09
CCGT,GERMANY,11,9,2.473783581675388e-08
CCGT,GERMANY,11,10,1.263868750490459e-09
CCGT,GERMANY,11,11,2.675405632636438e-08
CCGT,GERMANY,11,12,7.116292521751824e-10
CCGT,GERMANY,12,1,1.21872276665227e-09
CCGT,GERMANY,12,2,2.325366585694345e-08
CCGT,GERMANY,12,3,2.114292972742229e-08
CCGT,GERMANY,12,4,5.368335117544916e-09
CCGT,GERMANY,12,5,9.229769334666277e-10
CCGT,GERMANY,12,6,3.685172812029402e-09
CCGT,GERMANY,12,7,1.452661055070816e-08
CCGT,GERMANY,12,8,1.032901720072233e-09
CCGT,GERMANY,12,9,2.473789509081044e-08
CCGT,GERMANY,12,10,1.263868080942364e-09
CCGT,GERMANY,12,11,2.67540295943446e-08
CCGT,GERMANY,12,12,7.116246363370677e-10
CCGT,GERMANY,13,1,1.218720881706396e-09
CCGT,GERMANY,13,2,2.325375369450604e-08
CCGT,GERMANY,13,3,2.114298372215711e-08
CCGT,GERMANY,13,4,5.577845604454059e-09
CCGT,GERMANY,13,5,9.229768126147925e-10
CCGT,GERMANY,13,6,3.685179745242295e-09
CCGT,GERMANY,13,7,1.58369927624303e-08
CCGT,GERMANY,13,8,6.714223288395864e-10
CCGT,GERMANY,13,9,2.356314009354615e-08
CCGT,GERMANY,13,10,1.26386738357725e-09
CCGT,GERMANY,13,11,2.675398428066315e-08
CCGT,GERMANY,13,12,7.116198709559761e-10
CCGT,GERMANY,14,1,1.218718968858092e-09
CCGT,GERMANY,14,2,2.325383528618055e-08
CCGT,GERMANY,14,3,2.11430340916958e-08
CCGT,GERMANY,14,4,5.80557170870017e-09
CCGT,GERMANY,14,5,9.229767336100476e-10
CCGT,GERMANY,14,6,3.685185549717692e-09
CCGT,GERMANY,14,7,1.72171357432482e-08
CCGT,GERMANY,14,8,5.892276996750695e-10
CCGT,GERMANY,14,9,2.417217137498627e-08
CCGT,GERMANY,14,10,1.263866649429002e-09
CCGT,GERMANY,14,11,2.675395399086564e-08
CCGT,GERMANY,14,12,7.116150530564809e-10
CCGT,GERMANY,15,1,1.218717030873456e-09
CCGT,GERMANY,15,2,2.325391840637917e-08
CCGT,GERMANY,15,3,2.114308201332033e-08
CCGT,GERMANY,15,4,6.053841093382724e-09
CCGT,GERMANY,15,5,9.229766669926764e-10
CCGT,GERMANY,15,6,3.685190936564102e-09
CCGT,GERMANY,15,7,1.861978673647054e-08
CCGT,GERMANY,15,8,5.892266624450479e-10
CCGT,GERMANY,15,9,2.473811965022765e-08
CCGT,GERMANY,15,10,1.263865881335423e-09
CCGT,GERMANY,15,11,2.675393696201802e-08
CCGT,GERMANY,15,12,1.258363296481933e-09
CCGT,GERMANY,16,1,1.218715068452267e-09
CCGT,GERMANY,16,2,2.32540023821934e-08
CCGT,GERMANY,16,3,2.114312883659052e-08
CCGT,GERMANY,16,4,6.325350711607928e-09
CCGT,GERMANY,16,5,9.229766258069567e-10
CCGT,GERMANY,16,6,3.685199325215352e-09
CCGT,GERMANY,16,7,1.999254836718925e-08
CCGT,GERMANY,16,8,1.059723211309242e-09
CCGT,GERMANY,16,9,2.473818232642402e-08
CCGT,GERMANY,16,10,1.263865086592185e-09
CCGT,GERMANY,16,11,2.675388907825883e-08
CCGT,GERMANY,16,12,1.272798121580465e-09
CCGT,GERMANY,17,1,1.218713090116064e-09
CCGT,GERMANY,17,2,2.325408740673972e-08
CCGT,GERMANY,17,3,2.114317292307703e-08
CCGT,GERMANY,17,4,6.623306286790444e-09
CCGT,GERMANY,17,5,1.493353264629261e-09
CCGT,GERMANY,17,6,3.685207682969818e-09
CCGT,GERMANY,17,7,2.129030055294256e-08
CCGT,GERMANY,17,8,1.066789534093225e-09
CCGT,GERMANY,17,9,2.473823818797705e-08
CCGT,GERMANY,17,10,1.263864276877409e-09
CCGT,GERMANY,17,11,2.675383636192446e-08
CCGT,GERMANY,17,12,1.283070843146096e-09
CCGT,GERMANY,18,1,1.218711100359474e-09
