pt,n,h,td,val
CCGT,GERMANY,9,12,3.469282330594637e-14
CCGT,GERMANY,10,1,6.039075038399348e-14
CCGT,GERMANY,10,2,9.591788756902748e-14
CCGT,GERMANY,10,3,1.630566455793732e-13
CCGT,GERMANY,10,4,4.658699145499108e-14
CCGT,GERMANY,10,5,4.529328424499514e-14
CCGT,GERMANY,10,6,1.087034349544676e-13
CCGT,GERMANY,10,7,4.29098123986774e-14
CCGT,GERMANY,10,8,2.860612180815371e-14
CCGT,GERMANY,10,9,7.089694024904126e-14
CCGT,GERMANY,10,10,6.271358572858422e-14
CCGT,GERMANY,10,11,4.795984378282049e-14
CCGT,GERMANY,10,12,3.469282330475729e-14
CCGT,GERMANY,11,1,6.039075039820063e-14
CCGT,GERMANY,11,2,9.591788740227384e-14
CCGT,GERMANY,11,3,1.63056647234523e-13
CCGT,GERMANY,11,4,4.658695577629814e-14
CCGT,GERMANY,11,5,4.529328428221649e-14
CCGT,GERMANY,11,6,1.087034349628338e-13
CCGT,GERMANY,11,7,4.2909812562971e-14
CCGT,GERMANY,11,8,2.860612179657601e-14
CCGT,GERMANY,11,9,7.089691681175572e-14
CCGT,GERMANY,11,10,6.271358579838897e-14
CCGT,GERMANY,11,11,4.795937457101409e-14
CCGT,GERMANY,11,12,3.469282325423896e-14
CCGT,GERMANY,12,1,6.039075034871226e-14
CCGT,GERMANY,12,2,9.591761080045559e-14
CCGT,GERMANY,12,3,1.630566464126835e-13
CCGT,GERMANY,12,4,4.658695580812171e-14
CCGT,GERMANY,12,5,4.529328431997436e-14
CCGT,GERMANY,12,6,1.08703434998438e-13
CCGT,GERMANY,12,7,4.290981262372885e-14
CCGT,GERMANY,12,8,2.860612178666184e-14
CCGT,GERMANY,12,9,7.089694142143861e-14
CCGT,GERMANY,12,10,6.271358588591228e-14
CCGT,GERMANY,12,11,4.795858908825638e-14
CCGT,GERMANY,12,12,3.469282326403047e-14
CCGT,GERMANY,13,1,6.039075026355973e-14
CCGT,GERMANY,13,2,9.591788721758202e-14
CCGT,GERMANY,13,3,1.630566464639405e-13
CCGT,GERMANY,13,4,4.658695576097075e-14
CCGT,GERMANY,13,5,4.529328435675632e-14
CCGT,GERMANY,13,6,1.087034350465235e-13
CCGT,GERMANY,13,7,4.290981269605131e-14
CCGT,GERMANY,13,8,2.860612177873439e-14
CCGT,GERMANY,13,9,7.089694201982392e-14
CCGT,GERMANY,13,10,6.271358596883487e-14
CCGT,GERMANY,13,11,4.795847218044378e-14
CCGT,GERMANY,13,12,3.46928232512062e-14
CCGT,GERMANY,14,1,6.03907527127704e-14
CCGT,GERMANY,14,2,9.591761019792401e-14
CCGT,GERMANY,14,3,1.630566447451474e-13
CCGT,GERMANY,14,4,4.6586955818226e-14
CCGT,GERMANY,14,5,4.529328439537217e-14
CCGT,GERMANY,14,6,1.087034351125701e-13
CCGT,GERMANY,14,7,4.290981277824237e-14
CCGT,GERMANY,14,8,2.860612177205993e-14
CCGT,GERMANY,14,9,7.089694262404039e-14
CCGT,GERMANY,14,10,6.271359022285852e-14
CCGT,GERMANY,14,11,4.795846988306243e-14
CCGT,GERMANY,14,12,3.469282325306501e-14
CCGT,GERMANY,15,1,6.039075264323997e-14
CCGT,GERMANY,15,2,9.59178928266158e-14
CCGT,GERMANY,15,3,1.630562780423252e-13
CCGT,GERMANY,15,4,4.65869558782429e-14
CCGT,GERMANY,15,5,4.529328443446191e-14
CCGT,GERMANY,15,6,1.087034351861263e-13
CCGT,GERMANY,15,7,4.290981286106462e-14
CCGT,GERMANY,15,8,2.860612176827875e-14
CCGT,GERMANY,15,9,7.089694323342323e-14
CCGT,GERMANY,15,10,6.271359027382672e-14
CCGT,GERMANY,15,11,4.795849597656034e-14
CCGT,GERMANY,15,12,3.469282325750723e-14
CCGT,GERMANY,16,1,6.039075250898825e-14
CCGT,GERMANY,16,2,9.591789347150767e-14
CCGT,GERMANY,16,3,1.630545842691515e-13
CCGT,GERMANY,16,4,4.658695594151094e-14
CCGT,GERMANY,16,5,4.529328447222909e-14
CCGT,GERMANY,16,6,1.087034352678925e-13
CCGT,GERMANY,16,7,4.290981305798892e-14
CCGT,GERMANY,16,8,2.86061217636304e-14
CCGT,GERMANY,16,9,7.089704202828751e-14
CCGT,GERMANY,16,10,6.271359034130698e-14
CCGT,GERMANY,16,11,4.795859035930978e-14
CCGT,GERMANY,16,12,3.46928232504545e-14
CCGT,GERMANY,17,1,6.039074990869913e-14
CCGT,GERMANY,17,2,9.59236984938952e-14
CCGT,GERMANY,17,3,1.630544842745737e-13
CCGT,GERMANY,17,4,4.658695602118243e-14
CCGT,GERMANY,17,5,4.5293284519685e-14
CCGT,GERMANY,17,6,1.08703435402068e-13
CCGT,GERMANY,17,7,4.290982464140244e-14
CCGT,GERMANY,17,8,2.860612176080709e-14
CCGT,GERMANY,17,9,7.089706770371297e-14
CCGT,GERMANY,17,10,6.27135904180819e-14
CCGT,GERMANY,17,11,4.796001234613519e-14
CCGT,GERMANY,17,12,3.469282325065244e-14
CCGT,GERMANY,18,1,6.03907498361714e-14
CCGT,GERMANY,18,2,9.59178948335025e-14
CCGT,GERMANY,18,3,1.63054604775898e-13
CCGT,GERMANY,18,4,4.658695607047844e-14
CCGT,GERMANY,18,5,4.529328459526328e-14
CCGT,GERMANY,18,6,1.087034355644727e-13
CCGT,GERMANY,18,7,4.29098277111199e-14
CCGT,GERMANY,18,8,2.860618763590781e-14
CCGT,GERMANY,18,9,7.089970929721076e-14
CCGT,GERMANY,18,10,6.271359050177593e-14
CCGT,GERMANY,18,11,4.796003724591254e-14
CCGT,GERMANY,18,12,3.469282323785972e-14
CCGT,GERMANY,19,1,6.039075221531221e-14
CCGT,GERMANY,19,2,9.591788746948113e-14
CCGT,GERMANY,19,3,1.630544854312948e-13
CCGT,GERMANY,19,4,4.658695610863146e-14
CCGT,GERMANY,19,5,4.529328464550495e-14
CCGT,GERMANY,19,6,1.087034356867059e-13
CCGT,GERMANY,19,7,4.290984586183342e-14
CCGT,GERMANY,19,8,2.860632956743302e-14
CCGT,GERMANY,19,9,7.08997104783167e-14
CCGT,GERMANY,19,10,6.271359057944794e-14
