pt,n,h,td,val
CCGT,GERMANY,1,1,2.32090431257741e-16
CCGT,GERMANY,1,2,3.6857363626393e-16
CCGT,GERMANY,1,3,6.265080326307363e-16
CCGT,GERMANY,1,4,1.790488377132309e-16
CCGT,GERMANY,1,5,1.740508118535159e-16
CCGT,GERMANY,1,6,4.177017730397289e-16
CCGT,GERMANY,1,7,1.648974116341755e-16
CCGT,GERMANY,1,8,1.099389964370156e-16
CCGT,GERMANY,1,9,2.724600261272188e-16
CCGT,GERMANY,1,10,2.410153592397157e-16
CCGT,GERMANY,1,11,1.843290181616501e-16
CCGT,GERMANY,1,12,1.333250242200961e-16
CCGT,GERMANY,2,1,2.320904312181591e-16
CCGT,GERMANY,2,2,3.685736370947457e-16
CCGT,GERMANY,2,3,6.265080328011303e-16
CCGT,GERMANY,2,4,1.790488380922123e-16
CCGT,GERMANY,2,5,1.740508119554493e-16
CCGT,GERMANY,2,6,4.177014925474987e-16
CCGT,GERMANY,2,7,1.648974125617876e-16
CCGT,GERMANY,2,8,1.099389962562592e-16
CCGT,GERMANY,2,9,2.724616371955555e-16
CCGT,GERMANY,2,10,2.410153595893894e-16
CCGT,GERMANY,2,11,1.843290211925421e-16
CCGT,GERMANY,2,12,1.333250242071335e-16
CCGT,GERMANY,3,1,2.320904311317505e-16
CCGT,GERMANY,3,2,3.68576143360923e-16
CCGT,GERMANY,3,3,6.265081598830123e-16
CCGT,GERMANY,3,4,1.790488382556138e-16
CCGT,GERMANY,3,5,1.740508120563225e-16
CCGT,GERMANY,3,6,4.17701492579659e-16
CCGT,GERMANY,3,7,1.648974134912677e-16
CCGT,GERMANY,3,8,1.099389963099396e-16
CCGT,GERMANY,3,9,2.724616404169858e-16
CCGT,GERMANY,3,10,2.410153598632566e-16
CCGT,GERMANY,3,11,1.843290241979381e-16
CCGT,GERMANY,3,12,1.333250241926311e-16
CCGT,GERMANY,4,1,2.320904309535815e-16
CCGT,GERMANY,4,2,3.685781998363331e-16
CCGT,GERMANY,4,3,6.265082880235582e-16
CCGT,GERMANY,4,4,1.790488384243164e-16
CCGT,GERMANY,4,5,1.740508121522733e-16
CCGT,GERMANY,4,6,4.177014930329321e-16
CCGT,GERMANY,4,7,1.648974144210254e-16
CCGT,GERMANY,4,8,1.099389963568926e-16
CCGT,GERMANY,4,9,2.7246164361499e-16
CCGT,GERMANY,4,10,2.410153601535827e-16
CCGT,GERMANY,4,11,1.843290270945596e-16
CCGT,GERMANY,4,12,1.333250241511054e-16
CCGT,GERMANY,5,1,2.320904307202049e-16
CCGT,GERMANY,5,2,3.685782004119366e-16
CCGT,GERMANY,5,3,6.26508417229281e-16
CCGT,GERMANY,5,4,1.7904883879575e-16
CCGT,GERMANY,5,5,1.740508122408529e-16
CCGT,GERMANY,5,6,4.177014934550548e-16
CCGT,GERMANY,5,7,1.648974153538882e-16
CCGT,GERMANY,5,8,1.0993899640016e-16
CCGT,GERMANY,5,9,2.724616467818689e-16
CCGT,GERMANY,5,10,2.410153604508003e-16
CCGT,GERMANY,5,11,1.843290300133197e-16
CCGT,GERMANY,5,12,1.33325024042798e-16
CCGT,GERMANY,6,1,2.320904305991621e-16
CCGT,GERMANY,6,2,3.685806866015155e-16
CCGT,GERMANY,6,3,6.265084270134281e-16
CCGT,GERMANY,6,4,1.790488390447776e-16
CCGT,GERMANY,6,5,1.740508123158515e-16
CCGT,GERMANY,6,6,4.177014938663227e-16
CCGT,GERMANY,6,7,1.648974162887073e-16
CCGT,GERMANY,6,8,1.099389964464188e-16
CCGT,GERMANY,6,9,2.724616498862954e-16
CCGT,GERMANY,6,10,2.410153607863627e-16
CCGT,GERMANY,6,11,1.843290329455598e-16
CCGT,GERMANY,6,12,1.333250239701976e-16
CCGT,GERMANY,7,1,2.320904305763671e-16
CCGT,GERMANY,7,2,3.685806885106346e-16
CCGT,GERMANY,7,3,6.265085573748005e-16
CCGT,GERMANY,7,4,1.790488391808404e-16
CCGT,GERMANY,7,5,1.740508123686105e-16
CCGT,GERMANY,7,6,4.177014926750291e-16
CCGT,GERMANY,7,7,1.648974172277168e-16
CCGT,GERMANY,7,8,1.099389964888154e-16
CCGT,GERMANY,7,9,2.724616529345296e-16
CCGT,GERMANY,7,10,2.410153610986254e-16
CCGT,GERMANY,7,11,1.843290358984997e-16
CCGT,GERMANY,7,12,1.333250239528931e-16
CCGT,GERMANY,8,1,2.320904305871209e-16
CCGT,GERMANY,8,2,3.685806903994579e-16
CCGT,GERMANY,8,3,6.265084278023395e-16
CCGT,GERMANY,8,4,1.790488391730653e-16
CCGT,GERMANY,8,5,1.74050806143728e-16
CCGT,GERMANY,8,6,4.176995097825447e-16
CCGT,GERMANY,8,7,1.648974161426355e-16
CCGT,GERMANY,8,8,1.099386991679227e-16
CCGT,GERMANY,8,9,2.724616558940076e-16
CCGT,GERMANY,8,10,2.410153613937478e-16
CCGT,GERMANY,8,11,1.843290388329108e-16
CCGT,GERMANY,8,12,1.33325023931171e-16
CCGT,GERMANY,9,1,2.320904306385925e-16
CCGT,GERMANY,9,2,3.685806922422875e-16
CCGT,GERMANY,9,3,6.265080341278302e-16
CCGT,GERMANY,9,4,1.790488383286181e-16
CCGT,GERMANY,9,5,1.740508061840924e-16
CCGT,GERMANY,9,6,4.17699509708884e-16
CCGT,GERMANY,9,7,1.648939535139528e-16
CCGT,GERMANY,9,8,1.099386987664998e-16
CCGT,GERMANY,9,9,2.724549292039887e-16
CCGT,GERMANY,9,10,2.410153616318197e-16
CCGT,GERMANY,9,11,1.843290416730373e-16
CCGT,GERMANY,9,12,1.333250238771246e-16
CCGT,GERMANY,10,1,2.320904306739839e-16
CCGT,GERMANY,10,2,3.685806863612474e-16
CCGT,GERMANY,10,3,6.265038054578047e-16
CCGT,GERMANY,10,4,1.790488382365802e-16
CCGT,GERMANY,10,5,1.740508062280415e-16
CCGT,GERMANY,10,6,4.176995097313003e-16
CCGT,GERMANY,10,7,1.648939472949647e-16
CCGT,GERMANY,10,8,1.099386986876264e-16
CCGT,GERMANY,10,9,2.724549309061864e-16
CCGT,GERMANY,10,10,2.410153615876182e-16
CCGT,GERMANY,10,11,1.843225981213279e-16
CCGT,GERMANY,10,12,1.333250238542539e-16
CCGT,GERMANY,11,1,2.320904309262932e-16
CCGT,GERMANY,11,2,3.685806861945895e-16
CCGT,GERMANY,11,3,6.265038078693714e-16
CCGT,GERMANY,11,4,1.790487572515138e-16
CCGT,GERMANY,11,5,1.740508062922106e-16
CCGT,GERMANY,11,6,4.17699509812736e-16
CCGT,GERMANY,11,7,1.648939475304996e-16
CCGT,GERMANY,11,8,1.099386986517679e-16
CCGT,GERMANY,11,9,2.72454854025292e-16
CCGT,GERMANY,11,10,2.410153620677505e-16
CCGT,GERMANY,11,11,1.843210956172407e-16
CCGT,GERMANY,11,12,1.333250235879219e-16
CCGT,GERMANY,12,1,2.320904309247534e-16
CCGT,GERMANY,12,2,3.685798218932877e-16
CCGT,GERMANY,12,3,6.265038082824064e-16
CCGT,GERMANY,12,4,1.790487573155314e-16
CCGT,GERMANY,12,5,1.74050806361908e-16
CCGT,GERMANY,12,6,4.176995099343089e-16
CCGT,GERMANY,12,7,1.648939477842604e-16
CCGT,GERMANY,12,8,1.099386986287332e-16
CCGT,GERMANY,12,9,2.724549346911789e-16
CCGT,GERMANY,12,10,2.410153623567134e-16
CCGT,GERMANY,12,11,1.843183343978326e-16
CCGT,GERMANY,12,12,1.333250236634758e-16
CCGT,GERMANY,13,1,2.320904308520519e-16
