st,n,h,td,val
AMMONIA,GERMANY,9,4,2.85679808956658e-09
AMMONIA,GERMANY,9,5,2.777442209739083e-09
AMMONIA,GERMANY,9,6,6.665856448567786e-09
AMMONIA,GERMANY,9,7,2.631258975445817e-09
AMMONIA,GERMANY,9,8,1.75417285977348e-09
AMMONIA,GERMANY,9,9,4.347295191902028e-09
AMMONIA,GERMANY,9,10,3.845687424148039e-09
AMMONIA,GERMANY,9,11,2.940822163657051e-09
AMMONIA,GERMANY,9,12,2.127403470997576e-09
AMMONIA,GERMANY,10,1,3.70325437978211e-09
AMMONIA,GERMANY,10,2,5.881642301006946e-09
AMMONIA,GERMANY,10,3,9.998767317538872e-09
AMMONIA,GERMANY,10,4,2.856798082136565e-09
AMMONIA,GERMANY,10,5,2.777442205856072e-09
AMMONIA,GERMANY,10,6,6.665856426145024e-09
AMMONIA,GERMANY,10,7,2.631258965723732e-09
AMMONIA,GERMANY,10,8,1.754172855324969e-09
AMMONIA,GERMANY,10,9,4.347295181178273e-09
AMMONIA,GERMANY,10,10,3.845687425749249e-09
AMMONIA,GERMANY,10,11,2.940822158533296e-09
AMMONIA,GERMANY,10,12,2.127403476320755e-09
AMMONIA,GERMANY,11,1,3.70325437826105e-09
AMMONIA,GERMANY,11,2,5.881642327496208e-09
AMMONIA,GERMANY,11,3,9.998767207554608e-09
AMMONIA,GERMANY,11,4,2.856798077986845e-09
AMMONIA,GERMANY,11,5,2.77744220347628e-09
AMMONIA,GERMANY,11,6,6.665856410902878e-09
AMMONIA,GERMANY,11,7,2.63125896423703e-09
AMMONIA,GERMANY,11,8,1.754172852518404e-09
AMMONIA,GERMANY,11,9,4.34729516571971e-09
AMMONIA,GERMANY,11,10,3.845687423571845e-09
AMMONIA,GERMANY,11,11,2.940822151976944e-09
AMMONIA,GERMANY,11,12,2.127403486145384e-09
AMMONIA,GERMANY,12,1,3.70325437679923e-09
AMMONIA,GERMANY,12,2,5.881642339962839e-09
AMMONIA,GERMANY,12,3,9.99876708602698e-09
AMMONIA,GERMANY,12,4,2.856798077282961e-09
AMMONIA,GERMANY,12,5,2.777442200741264e-09
AMMONIA,GERMANY,12,6,6.665856390291602e-09
AMMONIA,GERMANY,12,7,2.631258962306113e-09
AMMONIA,GERMANY,12,8,1.754172850629044e-09
AMMONIA,GERMANY,12,9,4.347295154471854e-09
AMMONIA,GERMANY,12,10,3.845687426570553e-09
AMMONIA,GERMANY,12,11,2.940822143477709e-09
AMMONIA,GERMANY,12,12,2.12740348444126e-09
AMMONIA,GERMANY,13,1,3.703254375795125e-09
AMMONIA,GERMANY,13,2,5.881642365714334e-09
AMMONIA,GERMANY,13,3,9.998766956670226e-09
AMMONIA,GERMANY,13,4,2.85679807875791e-09
AMMONIA,GERMANY,13,5,2.777442199921918e-09
AMMONIA,GERMANY,13,6,6.665856374440333e-09
AMMONIA,GERMANY,13,7,2.631258962387216e-09
AMMONIA,GERMANY,13,8,1.754172849701437e-09
AMMONIA,GERMANY,13,9,4.347295146352408e-09
AMMONIA,GERMANY,13,10,3.845687429771279e-09
AMMONIA,GERMANY,13,11,2.94082213656502e-09
AMMONIA,GERMANY,13,12,2.127403486743601e-09
AMMONIA,GERMANY,14,1,3.703254377042011e-09
AMMONIA,GERMANY,14,2,5.881642387660852e-09
AMMONIA,GERMANY,14,3,9.998766826421758e-09
AMMONIA,GERMANY,14,4,2.856798082285537e-09
AMMONIA,GERMANY,14,5,2.777442200785204e-09
AMMONIA,GERMANY,14,6,6.665856362916767e-09
AMMONIA,GERMANY,14,7,2.631258964932021e-09
AMMONIA,GERMANY,14,8,1.754172850332106e-09
AMMONIA,GERMANY,14,9,4.347295141735549e-09
AMMONIA,GERMANY,14,10,3.845687435415589e-09
AMMONIA,GERMANY,14,11,2.940822141016549e-09
AMMONIA,GERMANY,14,12,2.127403483693647e-09
AMMONIA,GERMANY,15,1,3.703254380257771e-09
AMMONIA,GERMANY,15,2,5.88164241807897e-09
AMMONIA,GERMANY,15,3,9.998766689975338e-09
AMMONIA,GERMANY,15,4,2.856798088854966e-09
AMMONIA,GERMANY,15,5,2.777442202884787e-09
AMMONIA,GERMANY,15,6,6.665856356023931e-09
AMMONIA,GERMANY,15,7,2.631258970685121e-09
AMMONIA,GERMANY,15,8,1.754172852766426e-09
AMMONIA,GERMANY,15,9,4.34729514027717e-09
AMMONIA,GERMANY,15,10,3.845687446660798e-09
AMMONIA,GERMANY,15,11,2.940822159336601e-09
AMMONIA,GERMANY,15,12,2.127403486427393e-09
AMMONIA,GERMANY,16,1,3.703254382938737e-09
AMMONIA,GERMANY,16,2,5.881642445055063e-09
AMMONIA,GERMANY,16,3,9.998766544775468e-09
AMMONIA,GERMANY,16,4,2.856798097906678e-09
AMMONIA,GERMANY,16,5,2.777442206304735e-09
AMMONIA,GERMANY,16,6,6.66585635298213e-09
AMMONIA,GERMANY,16,7,2.631258982650521e-09
AMMONIA,GERMANY,16,8,1.754172855039571e-09
AMMONIA,GERMANY,16,9,4.347295139127429e-09
AMMONIA,GERMANY,16,10,3.845687457038011e-09
AMMONIA,GERMANY,16,11,2.940822181884142e-09
AMMONIA,GERMANY,16,12,2.127403488646567e-09
AMMONIA,GERMANY,17,1,3.703254388044704e-09
AMMONIA,GERMANY,17,2,5.881642461725095e-09
AMMONIA,GERMANY,17,3,9.998766399434355e-09
AMMONIA,GERMANY,17,4,2.856798109167293e-09
AMMONIA,GERMANY,17,5,2.777442212035125e-09
AMMONIA,GERMANY,17,6,6.665856353688661e-09
AMMONIA,GERMANY,17,7,2.631258992008117e-09
AMMONIA,GERMANY,17,8,1.754172859853021e-09
AMMONIA,GERMANY,17,9,4.347295143949799e-09
AMMONIA,GERMANY,17,10,3.845687467643922e-09
AMMONIA,GERMANY,17,11,2.940822208863888e-09
AMMONIA,GERMANY,17,12,2.127403482915912e-09
AMMONIA,GERMANY,18,1,3.703254392760295e-09
AMMONIA,GERMANY,18,2,5.881642453141899e-09
AMMONIA,GERMANY,18,3,9.998766225027942e-09
AMMONIA,GERMANY,18,4,2.856798120655283e-09
AMMONIA,GERMANY,18,5,2.777442229298609e-09
AMMONIA,GERMANY,18,6,6.665856359806145e-09
AMMONIA,GERMANY,18,7,2.631259001682927e-09
AMMONIA,GERMANY,18,8,1.754172861780763e-09
AMMONIA,GERMANY,18,9,4.347295148276655e-09
AMMONIA,GERMANY,18,10,3.845687475750133e-09
AMMONIA,GERMANY,18,11,2.940822225619947e-09
AMMONIA,GERMANY,18,12,2.127403485265476e-09
AMMONIA,GERMANY,19,1,3.703254397289963e-09
AMMONIA,GERMANY,19,2,5.881642416708153e-09
AMMONIA,GERMANY,19,3,9.998766122133556e-09
AMMONIA,GERMANY,19,4,2.856798128104514e-09
AMMONIA,GERMANY,19,5,2.777442233767608e-09
AMMONIA,GERMANY,19,6,6.665856367808171e-09
AMMONIA,GERMANY,19,7,2.631259012632416e-09
AMMONIA,GERMANY,19,8,1.754172866828682e-09
AMMONIA,GERMANY,19,9,4.347295147782941e-09
AMMONIA,GERMANY,19,10,3.845687487342838e-09
AMMONIA,GERMANY,19,11,2.940822239637177e-09
AMMONIA,GERMANY,19,12,2.127403487529277e-09
AMMONIA,GERMANY,20,1,3.7032544016651e-09
AMMONIA,GERMANY,20,2,5.88164237098182e-09
AMMONIA,GERMANY,20,3,9.998765987310474e-09
AMMONIA,GERMANY,20,4,2.856798142679251e-09
AMMONIA,GERMANY,20,5,2.777442239588471e-09
AMMONIA,GERMANY,20,6,6.665856377002502e-09
