st,n,h,td,val
AMMONIA,GERMANY,9,4,1.925299249286784e-09
AMMONIA,GERMANY,9,5,1.871818866685786e-09
AMMONIA,GERMANY,9,6,4.492364993510734e-09
AMMONIA,GERMANY,9,7,1.773302404642524e-09
AMMONIA,GERMANY,9,8,1.182201610458344e-09
AMMONIA,GERMANY,9,9,2.929804016180147e-09
AMMONIA,GERMANY,9,10,2.59174920574919e-09
AMMONIA,GERMANY,9,11,1.98192585095335e-09
AMMONIA,GERMANY,9,12,1.433733518524529e-09
AMMONIA,GERMANY,10,1,2.495758154296839e-09
AMMONIA,GERMANY,10,2,3.963851415590506e-09
AMMONIA,GERMANY,10,3,6.738546571356055e-09
AMMONIA,GERMANY,10,4,1.925299249521624e-09
AMMONIA,GERMANY,10,5,1.871818866932484e-09
AMMONIA,GERMANY,10,6,4.492364994036741e-09
AMMONIA,GERMANY,10,7,1.773302404626854e-09
AMMONIA,GERMANY,10,8,1.182201610460885e-09
AMMONIA,GERMANY,10,9,2.929804016314401e-09
AMMONIA,GERMANY,10,10,2.591749205658558e-09
AMMONIA,GERMANY,10,11,1.981925850714275e-09
AMMONIA,GERMANY,10,12,1.433733518359357e-09
AMMONIA,GERMANY,11,1,2.495758154129126e-09
AMMONIA,GERMANY,11,2,3.963851415157672e-09
AMMONIA,GERMANY,11,3,6.738546571288292e-09
AMMONIA,GERMANY,11,4,1.925299249756041e-09
AMMONIA,GERMANY,11,5,1.871818867180241e-09
AMMONIA,GERMANY,11,6,4.492364994569101e-09
AMMONIA,GERMANY,11,7,1.773302404610972e-09
AMMONIA,GERMANY,11,8,1.182201610511707e-09
AMMONIA,GERMANY,11,9,2.929804016448233e-09
AMMONIA,GERMANY,11,10,2.591749205569196e-09
AMMONIA,GERMANY,11,11,1.981925850474565e-09
AMMONIA,GERMANY,11,12,1.433733518194398e-09
AMMONIA,GERMANY,12,1,2.495758153961837e-09
AMMONIA,GERMANY,12,2,3.963851414724414e-09
AMMONIA,GERMANY,12,3,6.738546571221377e-09
AMMONIA,GERMANY,12,4,1.925299249896225e-09
AMMONIA,GERMANY,12,5,1.87181886742821e-09
AMMONIA,GERMANY,12,6,4.492364995099767e-09
AMMONIA,GERMANY,12,7,1.773302404594243e-09
AMMONIA,GERMANY,12,8,1.182201610566341e-09
AMMONIA,GERMANY,12,9,2.929804016580793e-09
AMMONIA,GERMANY,12,10,2.591749205481104e-09
AMMONIA,GERMANY,12,11,1.981925850234854e-09
AMMONIA,GERMANY,12,12,1.43373351802965e-09
AMMONIA,GERMANY,13,1,2.495758153794972e-09
AMMONIA,GERMANY,13,2,3.96385141429031e-09
AMMONIA,GERMANY,13,3,6.738546571155308e-09
AMMONIA,GERMANY,13,4,1.925299250129582e-09
AMMONIA,GERMANY,13,5,1.871818867674909e-09
AMMONIA,GERMANY,13,6,4.49236499562874e-09
AMMONIA,GERMANY,13,7,1.77330240447587e-09
AMMONIA,GERMANY,13,8,1.182201610620974e-09
AMMONIA,GERMANY,13,9,2.929804016713354e-09
AMMONIA,GERMANY,13,10,2.591749205393436e-09
AMMONIA,GERMANY,13,11,1.981925849994085e-09
AMMONIA,GERMANY,13,12,1.433733517865749e-09
AMMONIA,GERMANY,14,1,2.495758153630224e-09
AMMONIA,GERMANY,14,2,3.963851413854935e-09
AMMONIA,GERMANY,14,3,6.738546571091781e-09
AMMONIA,GERMANY,14,4,1.925299250363363e-09
AMMONIA,GERMANY,14,5,1.871818867924148e-09
AMMONIA,GERMANY,14,6,4.492364996164064e-09
AMMONIA,GERMANY,14,7,1.773302404465918e-09
AMMONIA,GERMANY,14,8,1.182201610667561e-09
AMMONIA,GERMANY,14,9,2.92980401684422e-09
AMMONIA,GERMANY,14,10,2.591749205306616e-09
AMMONIA,GERMANY,14,11,1.981925849752681e-09
AMMONIA,GERMANY,14,12,1.43373351771773e-09
AMMONIA,GERMANY,15,1,2.495758153465476e-09
AMMONIA,GERMANY,15,2,3.963851413418713e-09
AMMONIA,GERMANY,15,3,6.738546571026559e-09
AMMONIA,GERMANY,15,4,1.925299250596297e-09
AMMONIA,GERMANY,15,5,1.871818868173811e-09
AMMONIA,GERMANY,15,6,4.492364996703201e-09
AMMONIA,GERMANY,15,7,1.773302404456177e-09
