ct,n,h,td,d_ref
ELECTRICITY,GERMANY,9,8,70.62717135000173
ELECTRICITY,GERMANY,9,9,72.05805400963793
ELECTRICITY,GERMANY,9,10,71.83452285182278
ELECTRICITY,GERMANY,9,11,65.7532125380316
ELECTRICITY,GERMANY,9,12,72.46764476106218
ELECTRICITY,GERMANY,10,1,73.93251737500184
ELECTRICITY,GERMANY,10,2,72.10945201345447
ELECTRICITY,GERMANY,10,3,72.40025495582857
ELECTRICITY,GERMANY,10,4,71.47503187679376
ELECTRICITY,GERMANY,10,5,72.10886191008115
ELECTRICITY,GERMANY,10,6,70.68358523249152
ELECTRICITY,GERMANY,10,7,71.4770972386004
ELECTRICITY,GERMANY,10,8,71.40528165806685
ELECTRICITY,GERMANY,10,9,72.83763957613637
ELECTRICITY,GERMANY,10,10,72.53456248359711
ELECTRICITY,GERMANY,10,11,66.69649278029013
ELECTRICITY,GERMANY,10,12,72.71708145696626
ELECTRICITY,GERMANY,11,1,74.63102273800554
ELECTRICITY,GERMANY,11,2,72.27391382359988
ELECTRICITY,GERMANY,11,3,72.24842135787229
ELECTRICITY,GERMANY,11,4,71.37430123096735
ELECTRICITY,GERMANY,11,5,71.98889389428436
ELECTRICITY,GERMANY,11,6,71.01103359434904
ELECTRICITY,GERMANY,11,7,70.48601862310262
ELECTRICITY,GERMANY,11,8,70.865101030126
ELECTRICITY,GERMANY,11,9,72.57132592375523
ELECTRICITY,GERMANY,11,10,72.35664631653991
ELECTRICITY,GERMANY,11,11,67.13434948329659
ELECTRICITY,GERMANY,11,12,72.94975921706794
ELECTRICITY,GERMANY,12,1,74.40052836038515
ELECTRICITY,GERMANY,12,2,72.14698258799787
ELECTRICITY,GERMANY,12,3,71.35919458461025
ELECTRICITY,GERMANY,12,4,71.15513683811479
ELECTRICITY,GERMANY,12,5,71.2343877211522
ELECTRICITY,GERMANY,12,6,70.72241403445625
ELECTRICITY,GERMANY,12,7,70.17361789726486
ELECTRICITY,GERMANY,12,8,70.00006849517025
ELECTRICITY,GERMANY,12,9,72.3171093905272
ELECTRICITY,GERMANY,12,10,72.14379602978192
ELECTRICITY,GERMANY,12,11,66.94050052515962
ELECTRICITY,GERMANY,12,12,72.97542871380753
ELECTRICITY,GERMANY,13,1,74.1873830219405
ELECTRICITY,GERMANY,13,2,71.96115903573812
ELECTRICITY,GERMANY,13,3,70.53181064487256
ELECTRICITY,GERMANY,13,4,70.6505984539227
ELECTRICITY,GERMANY,13,5,70.60244601865946
ELECTRICITY,GERMANY,13,6,70.121806821087
ELECTRICITY,GERMANY,13,7,70.02514788853652
ELECTRICITY,GERMANY,13,8,69.19687879373886
ELECTRICITY,GERMANY,13,9,71.75633415485734
ELECTRICITY,GERMANY,13,10,71.42404694533856
ELECTRICITY,GERMANY,13,11,65.90357087755457
ELECTRICITY,GERMANY,13,12,72.33605170881091
ELECTRICITY,GERMANY,14,1,73.67381605613657
ELECTRICITY,GERMANY,14,2,71.48394243773096
ELECTRICITY,GERMANY,14,3,69.64364605768252
ELECTRICITY,GERMANY,14,4,70.07471657189575
ELECTRICITY,GERMANY,14,5,70.1769814864928
ELECTRICITY,GERMANY,14,6,69.84770380417798
ELECTRICITY,GERMANY,14,7,69.58711415451808
ELECTRICITY,GERMANY,14,8,68.59544543564697
ELECTRICITY,GERMANY,14,9,71.57924413252279
ELECTRICITY,GERMANY,14,10,70.79422961498979
ELECTRICITY,GERMANY,14,11,65.20842910377881
ELECTRICITY,GERMANY,14,12,71.98907092529636
ELECTRICITY,GERMANY,15,1,73.44161037873354
ELECTRICITY,GERMANY,15,2,71.04502354865251
ELECTRICITY,GERMANY,15,3,69.48720965341431
ELECTRICITY,GERMANY,15,4,69.50668306473399
ELECTRICITY,GERMANY,15,5,69.7111538835908
ELECTRICITY,GERMANY,15,6,69.082398739314
ELECTRICITY,GERMANY,15,7,69.01028810709379
ELECTRICITY,GERMANY,15,8,68.08707137952828
ELECTRICITY,GERMANY,15,9,71.0606612880456
ELECTRICITY,GERMANY,15,10,69.84498932866069
ELECTRICITY,GERMANY,15,11,64.95828428382674
ELECTRICITY,GERMANY,15,12,71.75432780338805
ELECTRICITY,GERMANY,16,1,73.35226872801229
ELECTRICITY,GERMANY,16,2,70.82745243490793
ELECTRICITY,GERMANY,16,3,69.5407320293748
ELECTRICITY,GERMANY,16,4,69.32959304239944
ELECTRICITY,GERMANY,16,5,69.40955204948486
ELECTRICITY,GERMANY,16,6,68.76622135188695
ELECTRICITY,GERMANY,16,7,68.8336701674579
ELECTRICITY,GERMANY,16,8,67.93010388222409
ELECTRICITY,GERMANY,16,9,70.87920450074844
ELECTRICITY,GERMANY,16,10,70.05182056101077
ELECTRICITY,GERMANY,16,11,65.19214225067508
ELECTRICITY,GERMANY,16,12,71.75125926584676
ELECTRICITY,GERMANY,17,1,74.3723804294776
ELECTRICITY,GERMANY,17,2,72.26683258311999
ELECTRICITY,GERMANY,17,3,70.73315391585074
ELECTRICITY,GERMANY,17,4,69.2965472534933
ELECTRICITY,GERMANY,17,5,68.81980273818479
ELECTRICITY,GERMANY,17,6,68.67552246340705
ELECTRICITY,GERMANY,17,7,68.43977616576409
ELECTRICITY,GERMANY,17,8,68.03897795460237
ELECTRICITY,GERMANY,17,9,70.47073494573353
ELECTRICITY,GERMANY,17,10,70.12109869703902
ELECTRICITY,GERMANY,17,11,67.09115391636927
ELECTRICITY,GERMANY,17,12,72.70067658318786
ELECTRICITY,GERMANY,18,1,73.97665710732647
ELECTRICITY,GERMANY,18,2,72.58649158044963
ELECTRICITY,GERMANY,18,3,72.51508907227742
ELECTRICITY,GERMANY,18,4,69.47965633023576
ELECTRICITY,GERMANY,18,5,68.51023450853897
ELECTRICITY,GERMANY,18,6,68.52882276479869
ELECTRICITY,GERMANY,18,7,68.1025910982467
ELECTRICITY,GERMANY,18,8,67.6955968016651
ELECTRICITY,GERMANY,18,9,69.92400417034878
ELECTRICITY,GERMANY,18,10,70.7470803554612
ELECTRICITY,GERMANY,18,11,66.91565717314268
ELECTRICITY,GERMANY,18,12,72.91423499399383
ELECTRICITY,GERMANY,19,1,73.11233269641872
ELECTRICITY,GERMANY,19,2,72.11057320986379
ELECTRICITY,GERMANY,19,3,72.11718236764501
ELECTRICITY,GERMANY,19,4,69.33691032422867
ELECTRICITY,GERMANY,19,5,67.7990419230088
ELECTRICITY,GERMANY,19,6,67.76546504106668
ELECTRICITY,GERMANY,19,7,67.17459453335728
ELECTRICITY,GERMANY,19,8,66.6112228428448
ELECTRICITY,GERMANY,19,9,69.44519429323363
ELECTRICITY,GERMANY,19,10,69.39822206471703
ELECTRICITY,GERMANY,19,11,65.97963520237604
ELECTRICITY,GERMANY,19,12,71.84420054714529
ELECTRICITY,GERMANY,20,1,71.34739251714376
ELECTRICITY,GERMANY,20,2,70.65136558830802
ELECTRICITY,GERMANY,20,3,70.46241448816966
ELECTRICITY,GERMANY,20,4,68.06771598888325
ELECTRICITY,GERMANY,20,5,67.49584680979491
ELECTRICITY,GERMANY,20,6,66.92993767477712
ELECTRICITY,GERMANY,20,7,66.57794101258932
ELECTRICITY,GERMANY,20,8,65.84851423282343
ELECTRICITY,GERMANY,20,9,68.26687587738013
ELECTRICITY,GERMANY,20,10,67.46380419662341
ELECTRICITY,GERMANY,20,11,64.0144139381949
ELECTRICITY,GERMANY,20,12,70.34964573352744
ELECTRICITY,GERMANY,21,1,69.70118113658161
ELECTRICITY,GERMANY,21,2,69.16513123225403
ELECTRICITY,GERMANY,21,3,68.87061063862798
ELECTRICITY,GERMANY,21,4,66.53244404250603
ELECTRICITY,GERMANY,21,5,66.04891333840429
ELECTRICITY,GERMANY,21,6,65.60250013648464
ELECTRICITY,GERMANY,21,7,64.6069367353496
ELECTRICITY,GERMANY,21,8,64.0677592831434
ELECTRICITY,GERMANY,21,9,66.09741983569153
ELECTRICITY,GERMANY,21,10,66.16333438249183
ELECTRICITY,GERMANY,21,11,63.05236840866467
ELECTRICITY,GERMANY,21,12,68.4618460319264
ELECTRICITY,GERMANY,22,1,68.56611729799278
ELECTRICITY,GERMANY,22,2,68.52091537959615
ELECTRICITY,GERMANY,22,3,67.84147035555081
ELECTRICITY,GERMANY,22,4,64.57625135993675
ELECTRICITY,GERMANY,22,5,64.19616577717872
ELECTRICITY,GERMANY,22,6,63.753293195499005
ELECTRICITY,GERMANY,22,7,62.367671464596754
ELECTRICITY,GERMANY,22,8,62.09870234703565
ELECTRICITY,GERMANY,22,9,64.05023321295567
ELECTRICITY,GERMANY,22,10,64.25246163899382
ELECTRICITY,GERMANY,22,11,62.794021151823394
ELECTRICITY,GERMANY,22,12,67.15234763618297
ELECTRICITY,GERMANY,23,1,66.75349676615322
ELECTRICITY,GERMANY,23,2,67.03774956108343
ELECTRICITY,GERMANY,23,3,65.83995773391024
ELECTRICITY,GERMANY,23,4,63.14973546526314
ELECTRICITY,GERMANY,23,5,63.06428849680582
ELECTRICITY,GERMANY,23,6,62.21058594661789
ELECTRICITY,GERMANY,23,7,61.105853421417905
ELECTRICITY,GERMANY,23,8,60.954196854473615
ELECTRICITY,GERMANY,23,9,62.648678690973675
ELECTRICITY,GERMANY,23,10,63.06009876285521
ELECTRICITY,GERMANY,23,11,61.60201233770878
ELECTRICITY,GERMANY,23,12,65.48182399663986
ELECTRICITY,GERMANY,24,1,65.44476550479511
ELECTRICITY,GERMANY,24,2,65.81098365828002
ELECTRICITY,GERMANY,24,3,63.98184023198741
ELECTRICITY,GERMANY,24,4,62.185565563588945
ELECTRICITY,GERMANY,24,5,61.90863005048796
ELECTRICITY,GERMANY,24,6,61.43524912440739
ELECTRICITY,GERMANY,24,7,60.266136321177754
ELECTRICITY,GERMANY,24,8,59.95662710186928
ELECTRICITY,GERMANY,24,9,61.790550365485814
ELECTRICITY,GERMANY,24,10,61.90243396506806
ELECTRICITY,GERMANY,24,11,60.84738814390195
ELECTRICITY,GERMANY,24,12,63.76503625262815
HEAT_HIGH_T,GERMANY,1,1,23.65296803652969
HEAT_HIGH_T,GERMANY,1,2,23.65296803652969
HEAT_HIGH_T,GERMANY,1,3,23.65296803652969
HEAT_HIGH_T,GERMANY,1,4,23.65296803652969
HEAT_HIGH_T,GERMANY,1,5,23.65296803652969
HEAT_HIGH_T,GERMANY,1,6,23.65296803652969
HEAT_HIGH_T,GERMANY,1,7,23.65296803652969
HEAT_HIGH_T,GERMANY,1,8,23.65296803652969
HEAT_HIGH_T,GERMANY,1,9,23.65296803652969
HEAT_HIGH_T,GERMANY,1,10,23.65296803652969
HEAT_HIGH_T,GERMANY,1,11,23.65296803652969
HEAT_HIGH_T,GERMANY,1,12,23.65296803652969
HEAT_HIGH_T,GERMANY,2,1,23.65296803652969
HEAT_HIGH_T,GERMANY,2,2,23.65296803652969
HEAT_HIGH_T,GERMANY,2,3,23.65296803652969
HEAT_HIGH_T,GERMANY,2,4,23.65296803652969
HEAT_HIGH_T,GERMANY,2,5,23.65296803652969
HEAT_HIGH_T,GERMANY,2,6,23.65296803652969
HEAT_HIGH_T,GERMANY,2,7,23.65296803652969
