k,ct,n,h,td,b
1,ELECTRICITY,GERMANY,8,10,0.15190764522393913
1,ELECTRICITY,GERMANY,8,11,0.16855401472005319
1,ELECTRICITY,GERMANY,8,12,0.15075159965806037
1,ELECTRICITY,GERMANY,9,1,0.14836027852533
1,ELECTRICITY,GERMANY,9,2,0.15159753647653285
1,ELECTRICITY,GERMANY,9,3,0.15076085521049323
1,ELECTRICITY,GERMANY,9,4,0.1525746492292967
1,ELECTRICITY,GERMANY,9,5,0.1520913056794284
1,ELECTRICITY,GERMANY,9,6,0.15551394794257983
1,ELECTRICITY,GERMANY,9,7,0.153686309566919
1,ELECTRICITY,GERMANY,9,8,0.1538741702047846
1,ELECTRICITY,GERMANY,9,9,0.15081863553988115
1,ELECTRICITY,GERMANY,9,10,0.15128794559977912
1,ELECTRICITY,GERMANY,9,11,0.16528009759381393
1,ELECTRICITY,GERMANY,9,12,0.14996620107118497
1,ELECTRICITY,GERMANY,10,1,0.14699482408084832
1,ELECTRICITY,GERMANY,10,2,0.15071113539130646
1,ELECTRICITY,GERMANY,10,3,0.15010578888186293
1,ELECTRICITY,GERMANY,10,4,0.1520488637784174
1,ELECTRICITY,GERMANY,10,5,0.15071236873693195
1,ELECTRICITY,GERMANY,10,6,0.15375136037096548
1,ELECTRICITY,GERMANY,10,7,0.15204447026037984
1,ELECTRICITY,GERMANY,10,8,0.15219738838695415
1,ELECTRICITY,GERMANY,10,9,0.1492044147591133
1,ELECTRICITY,GERMANY,10,10,0.14982784776361285
1,ELECTRICITY,GERMANY,10,11,0.1629425616305305
1,ELECTRICITY,GERMANY,10,12,0.1494517817223471
1,ELECTRICITY,GERMANY,11,1,0.14561903330125917
1,ELECTRICITY,GERMANY,11,2,0.1503681869494105
1,ELECTRICITY,GERMANY,11,3,0.15042124355300526
1,ELECTRICITY,GERMANY,11,4,0.1522634505411796
1,ELECTRICITY,GERMANY,11,5,0.15096352780960715
1,ELECTRICITY,GERMANY,11,6,0.15304237715330893
