k,ct,n,h,td,D
1,ELECTRICITY,GERMANY,9,1,69.58946571646075
1,ELECTRICITY,GERMANY,9,2,68.10343199555369
1,ELECTRICITY,GERMANY,9,3,68.48138730513404
1,ELECTRICITY,GERMANY,9,4,67.66728659232987
1,ELECTRICITY,GERMANY,9,5,67.88233206363664
1,ELECTRICITY,GERMANY,9,6,66.38833784822341
1,ELECTRICITY,GERMANY,9,7,67.1778282998431
1,ELECTRICITY,GERMANY,9,8,67.09581278250164
1,ELECTRICITY,GERMANY,9,9,68.45515130915602
1,ELECTRICITY,GERMANY,9,10,68.24279670923164
1,ELECTRICITY,GERMANY,9,11,62.46555191113002
1,ELECTRICITY,GERMANY,9,12,68.84426252300906
1,ELECTRICITY,GERMANY,10,1,70.23589150625175
1,ELECTRICITY,GERMANY,10,2,68.50397941278175
1,ELECTRICITY,GERMANY,10,3,68.78024220803714
1,ELECTRICITY,GERMANY,10,4,67.90128028295408
1,ELECTRICITY,GERMANY,10,5,68.50341881457709
1,ELECTRICITY,GERMANY,10,6,67.14940597086695
1,ELECTRICITY,GERMANY,10,7,67.90324237667038
1,ELECTRICITY,GERMANY,10,8,67.8350175751635
1,ELECTRICITY,GERMANY,10,9,69.19575759732955
1,ELECTRICITY,GERMANY,10,10,68.90783435941725
1,ELECTRICITY,GERMANY,10,11,63.36166814127562
1,ELECTRICITY,GERMANY,10,12,69.08122738411794
1,ELECTRICITY,GERMANY,11,1,70.89947160110526
1,ELECTRICITY,GERMANY,11,2,68.66021813241989
1,ELECTRICITY,GERMANY,11,3,68.63600028997867
1,ELECTRICITY,GERMANY,11,4,67.80558616941897
1,ELECTRICITY,GERMANY,11,5,68.38944919957014
1,ELECTRICITY,GERMANY,11,6,67.46048191463159
1,ELECTRICITY,GERMANY,11,7,66.96171769194748
1,ELECTRICITY,GERMANY,11,8,67.32184597861969
1,ELECTRICITY,GERMANY,11,9,68.94275962756745
1,ELECTRICITY,GERMANY,11,10,68.7388140007129
1,ELECTRICITY,GERMANY,11,11,63.77763200913176
1,ELECTRICITY,GERMANY,11,12,69.30227125621454
1,ELECTRICITY,GERMANY,12,1,70.6805019423659
1,ELECTRICITY,GERMANY,12,2,68.53963345859798
1,ELECTRICITY,GERMANY,12,3,67.79123485537974
1,ELECTRICITY,GERMANY,12,4,67.59737999620904
1,ELECTRICITY,GERMANY,12,5,67.67266833509458
1,ELECTRICITY,GERMANY,12,6,67.18629333273343
1,ELECTRICITY,GERMANY,12,7,66.66493700240162
1,ELECTRICITY,GERMANY,12,8,66.50006507041174
1,ELECTRICITY,GERMANY,12,9,68.70125392100083
1,ELECTRICITY,GERMANY,12,10,68.53660622829283
1,ELECTRICITY,GERMANY,12,11,63.59347549890164
1,ELECTRICITY,GERMANY,12,12,69.32665727811715
1,ELECTRICITY,GERMANY,13,1,70.47801387084348
1,ELECTRICITY,GERMANY,13,2,68.36310108395121
1,ELECTRICITY,GERMANY,13,3,67.00522011262893
1,ELECTRICITY,GERMANY,13,4,67.11806853122656
1,ELECTRICITY,GERMANY,13,5,67.07232371772649
1,ELECTRICITY,GERMANY,13,6,66.61571648003265
1,ELECTRICITY,GERMANY,13,7,66.5238904941097
1,ELECTRICITY,GERMANY,13,8,65.73703485405191
1,ELECTRICITY,GERMANY,13,9,68.16851744711447
1,ELECTRICITY,GERMANY,13,10,67.85284459807163
1,ELECTRICITY,GERMANY,13,11,62.60839233367684
1,ELECTRICITY,GERMANY,13,12,68.71924912337036
1,ELECTRICITY,GERMANY,14,1,69.99012525332974
1,ELECTRICITY,GERMANY,14,2,67.9097453158444
1,ELECTRICITY,GERMANY,14,3,66.16146375479839
1,ELECTRICITY,GERMANY,14,4,66.57098074330096
1,ELECTRICITY,GERMANY,14,5,66.66813241216816
1,ELECTRICITY,GERMANY,14,6,66.35531861396908
1,ELECTRICITY,GERMANY,14,7,66.10775844679218
1,ELECTRICITY,GERMANY,14,8,65.16567316386461
1,ELECTRICITY,GERMANY,14,9,68.00028192589664
1,ELECTRICITY,GERMANY,14,10,67.2545181342403
1,ELECTRICITY,GERMANY,14,11,61.948007648589865
1,ELECTRICITY,GERMANY,14,12,68.38961737903153
1,ELECTRICITY,GERMANY,15,1,69.76952985979686
1,ELECTRICITY,GERMANY,15,2,67.49277237121989
1,ELECTRICITY,GERMANY,15,3,66.01284917074359
1,ELECTRICITY,GERMANY,15,4,66.03134891149729
1,ELECTRICITY,GERMANY,15,5,66.22559618941125
1,ELECTRICITY,GERMANY,15,6,65.6282788023483
1,ELECTRICITY,GERMANY,15,7,65.55977370173909
1,ELECTRICITY,GERMANY,15,8,64.68271781055186
1,ELECTRICITY,GERMANY,15,9,67.50762822364331
1,ELECTRICITY,GERMANY,15,10,66.35273986222765
1,ELECTRICITY,GERMANY,15,11,61.7103700696354
1,ELECTRICITY,GERMANY,15,12,68.16661141321865
1,ELECTRICITY,GERMANY,16,1,69.68465529161168
1,ELECTRICITY,GERMANY,16,2,67.28607981316253
1,ELECTRICITY,GERMANY,16,3,66.06369542790605
1,ELECTRICITY,GERMANY,16,4,65.86311339027947
1,ELECTRICITY,GERMANY,16,5,65.93907444701061
1,ELECTRICITY,GERMANY,16,6,65.3279102842926
1,ELECTRICITY,GERMANY,16,7,65.39198665908499
1,ELECTRICITY,GERMANY,16,8,64.53359868811287
1,ELECTRICITY,GERMANY,16,9,67.33524427571102
1,ELECTRICITY,GERMANY,16,10,66.54922953296023
1,ELECTRICITY,GERMANY,16,11,61.93253513814132
1,ELECTRICITY,GERMANY,16,12,68.16369630255441
1,ELECTRICITY,GERMANY,17,1,70.65376140800372
1,ELECTRICITY,GERMANY,17,2,68.653490953964
1,ELECTRICITY,GERMANY,17,3,67.1964962200582
1,ELECTRICITY,GERMANY,17,4,65.83171989081863
1,ELECTRICITY,GERMANY,17,5,65.37881260127554
1,ELECTRICITY,GERMANY,17,6,65.24174634023669
1,ELECTRICITY,GERMANY,17,7,65.01778735747588
1,ELECTRICITY,GERMANY,17,8,64.63702905687225
1,ELECTRICITY,GERMANY,17,9,66.94719819844684
