k,ct,n,h,td,D
1,HEAT_LOW_T_DHN,GERMANY,19,3,32.23225267130874
1,HEAT_LOW_T_DHN,GERMANY,19,4,24.371454738282104
1,HEAT_LOW_T_DHN,GERMANY,19,5,9.58435845792294
1,HEAT_LOW_T_DHN,GERMANY,19,6,24.276581683896914
1,HEAT_LOW_T_DHN,GERMANY,19,7,8.345589403477476
1,HEAT_LOW_T_DHN,GERMANY,19,8,9.207265646118085
1,HEAT_LOW_T_DHN,GERMANY,19,9,8.340694064188705
1,HEAT_LOW_T_DHN,GERMANY,19,10,18.936580111448166
1,HEAT_LOW_T_DHN,GERMANY,19,11,32.96725683871936
1,HEAT_LOW_T_DHN,GERMANY,19,12,33.92911516567805
1,HEAT_LOW_T_DHN,GERMANY,20,1,35.43507321747343
1,HEAT_LOW_T_DHN,GERMANY,20,2,44.7175190490235
1,HEAT_LOW_T_DHN,GERMANY,20,3,31.72429571908013
1,HEAT_LOW_T_DHN,GERMANY,20,4,22.856698865455073
1,HEAT_LOW_T_DHN,GERMANY,20,5,9.466828945928032
1,HEAT_LOW_T_DHN,GERMANY,20,6,22.770775318671042
1,HEAT_LOW_T_DHN,GERMANY,20,7,8.345106764392668
1,HEAT_LOW_T_DHN,GERMANY,20,8,9.125354898582032
1,HEAT_LOW_T_DHN,GERMANY,20,9,8.340680274500569
1,HEAT_LOW_T_DHN,GERMANY,20,10,17.935352224857247
1,HEAT_LOW_T_DHN,GERMANY,20,11,32.64632942669807
1,HEAT_LOW_T_DHN,GERMANY,20,12,33.38508438928204
1,HEAT_LOW_T_DHN,GERMANY,21,1,32.87490729726331
1,HEAT_LOW_T_DHN,GERMANY,21,2,41.28026001483518
1,HEAT_LOW_T_DHN,GERMANY,21,3,29.51476019913923
1,HEAT_LOW_T_DHN,GERMANY,21,4,20.39394330224742
1,HEAT_LOW_T_DHN,GERMANY,21,5,9.275731447720188
1,HEAT_LOW_T_DHN,GERMANY,21,6,20.322595455824604
1,HEAT_LOW_T_DHN,GERMANY,21,7,8.344320752168837
1,HEAT_LOW_T_DHN,GERMANY,21,8,8.99220166992747
1,HEAT_LOW_T_DHN,GERMANY,21,9,8.340638905436156
1,HEAT_LOW_T_DHN,GERMANY,21,10,16.30753469899182
1,HEAT_LOW_T_DHN,GERMANY,21,11,30.45865056245491
1,HEAT_LOW_T_DHN,GERMANY,21,12,31.01862221833773
1,HEAT_LOW_T_DHN,GERMANY,22,1,28.712517512370738
1,HEAT_LOW_T_DHN,GERMANY,22,2,35.69185100027963
1,HEAT_LOW_T_DHN,GERMANY,22,3,25.922422332157904
1,HEAT_LOW_T_DHN,GERMANY,22,4,17.811962095403953
1,HEAT_LOW_T_DHN,GERMANY,22,5,9.075394858460298
1,HEAT_LOW_T_DHN,GERMANY,22,6,17.755907013125494
1,HEAT_LOW_T_DHN,GERMANY,22,7,8.343493370880593
1,HEAT_LOW_T_DHN,GERMANY,22,8,8.85259486722461
1,HEAT_LOW_T_DHN,GERMANY,22,9,8.34061132605988
1,HEAT_LOW_T_DHN,GERMANY,22,10,14.600909105421248
1,HEAT_LOW_T_DHN,GERMANY,22,11,26.714929499101398
1,HEAT_LOW_T_DHN,GERMANY,22,12,27.171147541438554
1,HEAT_LOW_T_DHN,GERMANY,23,1,24.3486190147266
1,HEAT_LOW_T_DHN,GERMANY,23,2,29.83291588384491
1,HEAT_LOW_T_DHN,GERMANY,23,3,22.156196497764185
1,HEAT_LOW_T_DHN,GERMANY,23,4,16.69738297232375
1,HEAT_LOW_T_DHN,GERMANY,23,5,8.988905934462636
1,HEAT_LOW_T_DHN,GERMANY,23,6,16.647919360974967
1,HEAT_LOW_T_DHN,GERMANY,23,7,8.343134838989023
1,HEAT_LOW_T_DHN,GERMANY,23,8,8.79233393006425
1,HEAT_LOW_T_DHN,GERMANY,23,9,8.340597536371744
1,HEAT_LOW_T_DHN,GERMANY,23,10,13.864195016681597
1,HEAT_LOW_T_DHN,GERMANY,23,11,22.791211636490637
1,HEAT_LOW_T_DHN,GERMANY,23,12,23.137429336555897
1,HEAT_LOW_T_DHN,GERMANY,24,1,22.4648097182788
1,HEAT_LOW_T_DHN,GERMANY,24,2,27.303721603191352
1,HEAT_LOW_T_DHN,GERMANY,24,3,20.693262272957437
1,HEAT_LOW_T_DHN,GERMANY,24,4,17.05281218406478
1,HEAT_LOW_T_DHN,GERMANY,24,5,9.016485310737401
1,HEAT_LOW_T_DHN,GERMANY,24,6,17.00125254011911
1,HEAT_LOW_T_DHN,GERMANY,24,7,8.343258946182257
1,HEAT_LOW_T_DHN,GERMANY,24,8,8.811542965639624
1,HEAT_LOW_T_DHN,GERMANY,24,9,8.340597536371744
1,HEAT_LOW_T_DHN,GERMANY,24,10,14.09912993347818
1,HEAT_LOW_T_DHN,GERMANY,24,11,20.996594042915437
1,HEAT_LOW_T_DHN,GERMANY,24,12,21.39615025669608
2,ELECTRICITY,GERMANY,1,1,2.4248889254948764
2,ELECTRICITY,GERMANY,1,2,2.410969862176607
2,ELECTRICITY,GERMANY,1,3,2.407741259095303
2,ELECTRICITY,GERMANY,1,4,2.303304026455187
2,ELECTRICITY,GERMANY,1,5,2.2795929352858195
2,ELECTRICITY,GERMANY,1,6,2.226016712392507
2,ELECTRICITY,GERMANY,1,7,2.2429519415776866
2,ELECTRICITY,GERMANY,1,8,2.2406638157476237
2,ELECTRICITY,GERMANY,1,9,2.2889468113822176
2,ELECTRICITY,GERMANY,1,10,2.3008410825007743
2,ELECTRICITY,GERMANY,1,11,2.286441822562452
2,ELECTRICITY,GERMANY,1,12,2.3387633381582305
2,ELECTRICITY,GERMANY,2,1,2.404820247397346
2,ELECTRICITY,GERMANY,2,2,2.3860239796985425
2,ELECTRICITY,GERMANY,2,3,2.3919810732522464
2,ELECTRICITY,GERMANY,2,4,2.3064463269181417
2,ELECTRICITY,GERMANY,2,5,2.2814982315524333
2,ELECTRICITY,GERMANY,2,6,2.2393604249217987
2,ELECTRICITY,GERMANY,2,7,2.245151551901756
2,ELECTRICITY,GERMANY,2,8,2.2421663664619516
2,ELECTRICITY,GERMANY,2,9,2.2900753840837
2,ELECTRICITY,GERMANY,2,10,2.3068534982457365
2,ELECTRICITY,GERMANY,2,11,2.268670121845588
2,ELECTRICITY,GERMANY,2,12,2.3258135196306355
2,ELECTRICITY,GERMANY,3,1,2.4045458493287484
2,ELECTRICITY,GERMANY,3,2,2.3744041066485764
2,ELECTRICITY,GERMANY,3,3,2.39759516922021
2,ELECTRICITY,GERMANY,3,4,2.3254085611906916
2,ELECTRICITY,GERMANY,3,5,2.3071765798426256
2,ELECTRICITY,GERMANY,3,6,2.2576676444499526
2,ELECTRICITY,GERMANY,3,7,2.268654631632039
2,ELECTRICITY,GERMANY,3,8,2.253109095891027
2,ELECTRICITY,GERMANY,3,9,2.3040453438179256
2,ELECTRICITY,GERMANY,3,10,2.3309009483379057
2,ELECTRICITY,GERMANY,3,11,2.262345688941984
2,ELECTRICITY,GERMANY,3,12,2.3306929368988065
2,ELECTRICITY,GERMANY,4,1,2.4125719928351756
2,ELECTRICITY,GERMANY,4,2,2.3758225676321985
2,ELECTRICITY,GERMANY,4,3,2.4056744220302377
2,ELECTRICITY,GERMANY,4,4,2.3807993519569735
2,ELECTRICITY,GERMANY,4,5,2.3666346581095468
2,ELECTRICITY,GERMANY,4,6,2.314954879932259
2,ELECTRICITY,GERMANY,4,7,2.318734492038395
2,ELECTRICITY,GERMANY,4,8,2.3240078033082625
2,ELECTRICITY,GERMANY,4,9,2.377814166517169
2,ELECTRICITY,GERMANY,4,10,2.380516102337779
2,ELECTRICITY,GERMANY,4,11,2.256222628814527
2,ELECTRICITY,GERMANY,4,12,2.3502283090727047
2,ELECTRICITY,GERMANY,5,1,2.4550350939503573
2,ELECTRICITY,GERMANY,5,2,2.411396949493046
2,ELECTRICITY,GERMANY,5,3,2.4598768921284773
2,ELECTRICITY,GERMANY,5,4,2.5106715152457824
2,ELECTRICITY,GERMANY,5,5,2.4826209513948214
2,ELECTRICITY,GERMANY,5,6,2.4406048535849436
2,ELECTRICITY,GERMANY,5,7,2.4391443477359545
2,ELECTRICITY,GERMANY,5,8,2.4507354532464802
2,ELECTRICITY,GERMANY,5,9,2.499810662659762
2,ELECTRICITY,GERMANY,5,10,2.520288724972538
2,ELECTRICITY,GERMANY,5,11,2.2522881145728917
2,ELECTRICITY,GERMANY,5,12,2.4065042548989695
2,ELECTRICITY,GERMANY,6,1,2.5763190402696523
2,ELECTRICITY,GERMANY,6,2,2.532063500158003
2,ELECTRICITY,GERMANY,6,3,2.592521803642697
2,ELECTRICITY,GERMANY,6,4,2.590893118332332
2,ELECTRICITY,GERMANY,6,5,2.580441649961543
2,ELECTRICITY,GERMANY,6,6,2.5352389939357067
2,ELECTRICITY,GERMANY,6,7,2.535655016813905
2,ELECTRICITY,GERMANY,6,8,2.54280043103563
2,ELECTRICITY,GERMANY,6,9,2.587985383960273
2,ELECTRICITY,GERMANY,6,10,2.6175761176155987
2,ELECTRICITY,GERMANY,6,11,2.279137080429919
2,ELECTRICITY,GERMANY,6,12,2.5482087284521526
2,ELECTRICITY,GERMANY,7,1,2.6951577457357416
2,ELECTRICITY,GERMANY,7,2,2.641993119945326
2,ELECTRICITY,GERMANY,7,3,2.689614462172571
2,ELECTRICITY,GERMANY,7,4,2.639645246148717
2,ELECTRICITY,GERMANY,7,5,2.64279418527461
2,ELECTRICITY,GERMANY,7,6,2.5818335562933754
2,ELECTRICITY,GERMANY,7,7,2.582207534306221
2,ELECTRICITY,GERMANY,7,8,2.5962814997599963
2,ELECTRICITY,GERMANY,7,9,2.647638196340381
2,ELECTRICITY,GERMANY,7,10,2.66975379551414
2,ELECTRICITY,GERMANY,7,11,2.330186185626971
2,ELECTRICITY,GERMANY,7,12,2.6658037910589485
2,ELECTRICITY,GERMANY,8,1,2.751030946009706
2,ELECTRICITY,GERMANY,8,2,2.677571927581468
2,ELECTRICITY,GERMANY,8,3,2.710249639508504
2,ELECTRICITY,GERMANY,8,4,2.651767444695224
2,ELECTRICITY,GERMANY,8,5,2.663064236148287
2,ELECTRICITY,GERMANY,8,6,2.5944182483587213
2,ELECTRICITY,GERMANY,8,7,2.6047856269988046
2,ELECTRICITY,GERMANY,8,8,2.6199262042998583
2,ELECTRICITY,GERMANY,8,9,2.6704132360338235
2,ELECTRICITY,GERMANY,8,10,2.6828054068736265
2,ELECTRICITY,GERMANY,8,11,2.4178519427679888
2,ELECTRICITY,GERMANY,8,12,2.7033786233553627
2,ELECTRICITY,GERMANY,9,1,2.7469525940708337
2,ELECTRICITY,GERMANY,9,2,2.6882933682455388
2,ELECTRICITY,GERMANY,9,3,2.7032126567816164
2,ELECTRICITY,GERMANY,9,4,2.671077102328823
2,ELECTRICITY,GERMANY,9,5,2.679565739354075
2,ELECTRICITY,GERMANY,9,6,2.620592283482509
2,ELECTRICITY,GERMANY,9,7,2.6517563802569697
2,ELECTRICITY,GERMANY,9,8,2.648518925625069
2,ELECTRICITY,GERMANY,9,9,2.7021770253614363
2,ELECTRICITY,GERMANY,9,10,2.6937946069433565
2,ELECTRICITY,GERMANY,9,11,2.465745470176188
2,ELECTRICITY,GERMANY,9,12,2.717536678539844
2,ELECTRICITY,GERMANY,10,1,2.7724694015625744
2,ELECTRICITY,GERMANY,10,2,2.704104450504545
2,ELECTRICITY,GERMANY,10,3,2.7150095608435834
2,ELECTRICITY,GERMANY,10,4,2.680313695379766
2,ELECTRICITY,GERMANY,10,5,2.70408232162805
2,ELECTRICITY,GERMANY,10,6,2.650634446218433
2,ELECTRICITY,GERMANY,10,7,2.680391146447519
2,ELECTRICITY,GERMANY,10,8,2.6776980621775124
2,ELECTRICITY,GERMANY,10,9,2.7314114841051236
2,ELECTRICITY,GERMANY,10,10,2.720046093134897
2,ELECTRICITY,GERMANY,10,11,2.5011184792608887
2,ELECTRICITY,GERMANY,10,12,2.726890554636242
2,ELECTRICITY,GERMANY,11,1,2.79866335267522
2,ELECTRICITY,GERMANY,11,2,2.710271768384999
2,ELECTRICITY,GERMANY,11,3,2.7093158009202227
2,ELECTRICITY,GERMANY,11,4,2.676536296161288
2,ELECTRICITY,GERMANY,11,5,2.6995835210356773
2,ELECTRICITY,GERMANY,11,6,2.662913759788097
2,ELECTRICITY,GERMANY,11,7,2.643225698366365
2,ELECTRICITY,GERMANY,11,8,2.657441288629741
2,ELECTRICITY,GERMANY,11,9,2.7214247221408385
2,ELECTRICITY,GERMANY,11,10,2.7133742368702514
2,ELECTRICITY,GERMANY,11,11,2.517538105623622
2,ELECTRICITY,GERMANY,11,12,2.7356159706400547
2,ELECTRICITY,GERMANY,12,1,2.790019813514448
2,ELECTRICITY,GERMANY,12,2,2.7055118470499195
2,ELECTRICITY,GERMANY,12,3,2.6759697969228853
2,ELECTRICITY,GERMANY,12,4,2.6683176314293178
2,ELECTRICITY,GERMANY,12,5,2.671289539543224
2,ELECTRICITY,GERMANY,12,6,2.6520905262921275
2,ELECTRICITY,GERMANY,12,7,2.6315106711474385
2,ELECTRICITY,GERMANY,12,8,2.6250025685688883
2,ELECTRICITY,GERMANY,12,9,2.7118916021447745
2,ELECTRICITY,GERMANY,12,10,2.705392351116828
2,ELECTRICITY,GERMANY,12,11,2.5102687696934822
2,ELECTRICITY,GERMANY,12,12,2.7365785767677835
2,ELECTRICITY,GERMANY,13,1,2.78202686332277
2,ELECTRICITY,GERMANY,13,2,2.6985434638401955
2,ELECTRICITY,GERMANY,13,3,2.6449428991827233
2,ELECTRICITY,GERMANY,13,4,2.6493974420221065
2,ELECTRICITY,GERMANY,13,5,2.6475917256997263
2,ELECTRICITY,GERMANY,13,6,2.6295677557907737
2,ELECTRICITY,GERMANY,13,7,2.6259430458201223
2,ELECTRICITY,GERMANY,13,8,2.594882954765211
2,ELECTRICITY,GERMANY,13,9,2.6908625308071663
2,ELECTRICITY,GERMANY,13,10,2.6784017604501997
2,ELECTRICITY,GERMANY,13,11,2.4713839079082973
2,ELECTRICITY,GERMANY,13,12,2.7126019390804146
2,ELECTRICITY,GERMANY,14,1,2.7627681021051274
2,ELECTRICITY,GERMANY,14,2,2.680647841414924
2,ELECTRICITY,GERMANY,14,3,2.611636727163102
2,ELECTRICITY,GERMANY,14,4,2.6278018714460956
2,ELECTRICITY,GERMANY,14,5,2.631636805743483
2,ELECTRICITY,GERMANY,14,6,2.6192888926566837
2,ELECTRICITY,GERMANY,14,7,2.609516780794422
2,ELECTRICITY,GERMANY,14,8,2.572329203836773
2,ELECTRICITY,GERMANY,14,9,2.684221654969619
2,ELECTRICITY,GERMANY,14,10,2.65478361056212
2,ELECTRICITY,GERMANY,14,11,2.4453160913917174
2,ELECTRICITY,GERMANY,14,12,2.69959015969863
2,ELECTRICITY,GERMANY,15,1,2.7540603892025217
2,ELECTRICITY,GERMANY,15,2,2.6641883830744746
2,ELECTRICITY,GERMANY,15,3,2.6057703620030424
2,ELECTRICITY,GERMANY,15,4,2.6065006149275263
2,ELECTRICITY,GERMANY,15,5,2.6141682706346643
2,ELECTRICITY,GERMANY,15,6,2.5905899527242724
2,ELECTRICITY,GERMANY,15,7,2.5878858040160253
2,ELECTRICITY,GERMANY,15,8,2.5532651767323244
2,ELECTRICITY,GERMANY,15,9,2.664774798301721
2,ELECTRICITY,GERMANY,15,10,2.619187099824785
2,ELECTRICITY,GERMANY,15,11,2.4359356606435085
2,ELECTRICITY,GERMANY,15,12,2.690787292627064
2,ELECTRICITY,GERMANY,16,1,2.750710077300468
2,ELECTRICITY,GERMANY,16,2,2.6560294663090502
2,ELECTRICITY,GERMANY,16,3,2.607777451101555
2,ELECTRICITY,GERMANY,16,4,2.599859739089979
2,ELECTRICITY,GERMANY,16,5,2.602858201855696
2,ELECTRICITY,GERMANY,16,6,2.578733300695774
2,ELECTRICITY,GERMANY,16,7,2.581262631279685
2,ELECTRICITY,GERMANY,16,8,2.547378895583421
2,ELECTRICITY,GERMANY,16,9,2.657970168778064
2,ELECTRICITY,GERMANY,16,10,2.6269432710379164
2,ELECTRICITY,GERMANY,16,11,2.444705334400325
2,ELECTRICITY,GERMANY,16,12,2.69067222246926
2,ELECTRICITY,GERMANY,17,1,2.788964266105424
2,ELECTRICITY,GERMANY,17,2,2.7100062218670047
2,ELECTRICITY,GERMANY,17,3,2.6524932718444063
2,ELECTRICITY,GERMANY,17,4,2.5986205220060015
2,ELECTRICITY,GERMANY,17,5,2.580742602681937
2,ELECTRICITY,GERMANY,17,6,2.575332092377778
2,ELECTRICITY,GERMANY,17,7,2.566491606216161
2,ELECTRICITY,GERMANY,17,8,2.551461673297595
2,ELECTRICITY,GERMANY,17,9,2.6426525604650237
2,ELECTRICITY,GERMANY,17,10,2.629541201138977
2,ELECTRICITY,GERMANY,17,11,2.515918271863846
2,ELECTRICITY,GERMANY,17,12,2.726275371869548
2,ELECTRICITY,GERMANY,18,1,2.7741246415247502
2,ELECTRICITY,GERMANY,18,2,2.7219934342668637
2,ELECTRICITY,GERMANY,18,3,2.719315840210413
2,ELECTRICITY,GERMANY,18,4,2.605487112383855
2,ELECTRICITY,GERMANY,18,5,2.5691337940702255
2,ELECTRICITY,GERMANY,18,6,2.56983085367996
2,ELECTRICITY,GERMANY,18,7,2.553847166184255
2,ELECTRICITY,GERMANY,18,8,2.5385848800624444
2,ELECTRICITY,GERMANY,18,9,2.6221501563880736
2,ELECTRICITY,GERMANY,18,10,2.6530155133298052
2,ELECTRICITY,GERMANY,18,11,2.509337143992859
2,ELECTRICITY,GERMANY,18,12,2.734283812274782
2,ELECTRICITY,GERMANY,19,1,2.7417124761157083
2,ELECTRICITY,GERMANY,19,2,2.7041464953698977
2,ELECTRICITY,GERMANY,19,3,2.704394338786699
2,ELECTRICITY,GERMANY,19,4,2.6001341371585767
2,ELECTRICITY,GERMANY,19,5,2.5424640721128355
2,ELECTRICITY,GERMANY,19,6,2.541204939040014
2,ELECTRICITY,GERMANY,19,7,2.5190472950009095
2,ELECTRICITY,GERMANY,19,8,2.497920856606683
2,ELECTRICITY,GERMANY,19,9,2.6041947859962704
2,ELECTRICITY,GERMANY,19,10,2.602433327426894
2,ELECTRICITY,GERMANY,19,11,2.474236320089105
2,ELECTRICITY,GERMANY,19,12,2.6941575205179618
2,ELECTRICITY,GERMANY,20,1,2.6755272193929045
2,ELECTRICITY,GERMANY,20,2,2.649426209561554
2,ELECTRICITY,GERMANY,20,3,2.642340543306375
2,ELECTRICITY,GERMANY,20,4,2.552539349583128
2,ELECTRICITY,GERMANY,20,5,2.5310942553673073
2,ELECTRICITY,GERMANY,20,6,2.509872662804149
2,ELECTRICITY,GERMANY,20,7,2.496672787972109
2,ELECTRICITY,GERMANY,20,8,2.469319283730883
2,ELECTRICITY,GERMANY,20,9,2.5600078454017563
2,ELECTRICITY,GERMANY,20,10,2.529892657373395
2,ELECTRICITY,GERMANY,20,11,2.400540522682313
2,ELECTRICITY,GERMANY,20,12,2.638111715007284
2,ELECTRICITY,GERMANY,21,1,2.6137942926218187
2,ELECTRICITY,GERMANY,21,2,2.593692421209525
2,ELECTRICITY,GERMANY,21,3,2.582647898948551
2,ELECTRICITY,GERMANY,21,4,2.494966651593984
2,ELECTRICITY,GERMANY,21,5,2.4768342501901657
2,ELECTRICITY,GERMANY,21,6,2.46009375511818
2,ELECTRICITY,GERMANY,21,7,2.4227601275756143
2,ELECTRICITY,GERMANY,21,8,2.402540973117887
2,ELECTRICITY,GERMANY,21,9,2.478653243838437
2,ELECTRICITY,GERMANY,21,10,2.4811250393434463
2,ELECTRICITY,GERMANY,21,11,2.3644638153249318
2,ELECTRICITY,GERMANY,21,12,2.567319226197256
2,ELECTRICITY,GERMANY,22,1,2.571229398674731
2,ELECTRICITY,GERMANY,22,2,2.5695343267348534
2,ELECTRICITY,GERMANY,22,3,2.5440551383331638
2,ELECTRICITY,GERMANY,22,4,2.4216094259976373
2,ELECTRICITY,GERMANY,22,5,2.407356216644203
2,ELECTRICITY,GERMANY,22,6,2.3907484948312145
2,ELECTRICITY,GERMANY,22,7,2.3387876799223832
2,ELECTRICITY,GERMANY,22,8,2.3287013380138433
2,ELECTRICITY,GERMANY,22,9,2.401883745485847
2,ELECTRICITY,GERMANY,22,10,2.409467311462272
2,ELECTRICITY,GERMANY,22,11,2.354775793193383
2,ELECTRICITY,GERMANY,22,12,2.518213036356869
2,ELECTRICITY,GERMANY,23,1,2.5032561287307544
2,ELECTRICITY,GERMANY,23,2,2.5139156085406356
2,ELECTRICITY,GERMANY,23,3,2.4689984150216304
2,ELECTRICITY,GERMANY,23,4,2.3681150799473727
2,ELECTRICITY,GERMANY,23,5,2.3649108186302215
2,ELECTRICITY,GERMANY,23,6,2.332896972998178
2,ELECTRICITY,GERMANY,23,7,2.2914695033031762
2,ELECTRICITY,GERMANY,23,8,2.2857823820427683
2,ELECTRICITY,GERMANY,23,9,2.3493254509115147
2,ELECTRICITY,GERMANY,23,10,2.3647537036070787
2,ELECTRICITY,GERMANY,23,11,2.3100754626640807
2,ELECTRICITY,GERMANY,23,12,2.4555683998740037
2,ELECTRICITY,GERMANY,24,1,2.454178706429815
2,ELECTRICITY,GERMANY,24,2,2.467911887185508
2,ELECTRICITY,GERMANY,24,3,2.3993190086995355
2,ELECTRICITY,GERMANY,24,4,2.3319587086345948
2,ELECTRICITY,GERMANY,24,5,2.3215736268933043
2,ELECTRICITY,GERMANY,24,6,2.303821842165277
2,ELECTRICITY,GERMANY,24,7,2.2599801120441754
2,ELECTRICITY,GERMANY,24,8,2.2483735163201004
2,ELECTRICITY,GERMANY,24,9,2.3171456387057248
2,ELECTRICITY,GERMANY,24,10,2.3213412736900594
2,ELECTRICITY,GERMANY,24,11,2.281777055396333
2,ELECTRICITY,GERMANY,24,12,2.3911888594735586
2,HEAT_HIGH_T,GERMANY,1,1,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,1,2,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,1,3,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,1,4,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,1,5,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,1,6,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,1,7,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,1,8,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,1,9,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,1,10,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,1,11,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,1,12,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,2,1,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,2,2,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,2,3,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,2,4,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,2,5,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,2,6,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,2,7,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,2,8,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,2,9,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,2,10,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,2,11,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,2,12,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,3,1,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,3,2,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,3,3,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,3,4,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,3,5,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,3,6,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,3,7,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,3,8,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,3,9,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,3,10,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,3,11,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,3,12,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,4,1,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,4,2,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,4,3,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,4,4,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,4,5,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,4,6,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,4,7,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,4,8,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,4,9,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,4,10,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,4,11,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,4,12,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,5,1,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,5,2,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,5,3,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,5,4,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,5,5,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,5,6,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,5,7,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,5,8,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,5,9,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,5,10,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,5,11,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,5,12,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,6,1,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,6,2,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,6,3,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,6,4,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,6,5,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,6,6,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,6,7,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,6,8,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,6,9,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,6,10,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,6,11,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,6,12,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,7,1,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,7,2,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,7,3,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,7,4,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,7,5,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,7,6,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,7,7,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,7,8,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,7,9,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,7,10,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,7,11,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,7,12,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,8,1,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,8,2,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,8,3,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,8,4,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,8,5,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,8,6,0.8869863013698662
2,HEAT_HIGH_T,GERMANY,8,7,0.8869863013698662
