st,n,h,td,val
AMMONIA,GERMANY,9,4,5.125092003150517e-10
AMMONIA,GERMANY,9,5,4.982728622567395e-10
AMMONIA,GERMANY,9,6,1.195854815138748e-09
AMMONIA,GERMANY,9,7,4.720480368522806e-10
AMMONIA,GERMANY,9,8,3.146986923981388e-10
AMMONIA,GERMANY,9,9,7.799054598989314e-10
AMMONIA,GERMANY,9,10,6.899162759063725e-10
AMMONIA,GERMANY,9,11,5.275830321334779e-10
AMMONIA,GERMANY,9,12,3.816557962991435e-10
AMMONIA,GERMANY,10,1,6.643637575262926e-10
AMMONIA,GERMANY,10,2,1.055166011579548e-09
AMMONIA,GERMANY,10,3,1.793782069124161e-09
AMMONIA,GERMANY,10,4,5.125092003573239e-10
AMMONIA,GERMANY,10,5,4.982728623008911e-10
AMMONIA,GERMANY,10,6,1.195854815231816e-09
AMMONIA,GERMANY,10,7,4.720480368499777e-10
AMMONIA,GERMANY,10,8,3.146986924089385e-10
AMMONIA,GERMANY,10,9,7.799054599257718e-10
AMMONIA,GERMANY,10,10,6.899162758870496e-10
AMMONIA,GERMANY,10,11,5.275830320886381e-10
AMMONIA,GERMANY,10,12,3.816557962685974e-10
AMMONIA,GERMANY,11,1,6.643637574940524e-10
AMMONIA,GERMANY,11,2,1.055166011500403e-09
AMMONIA,GERMANY,11,3,1.793782069105844e-09
AMMONIA,GERMANY,11,4,5.125092003607385e-10
AMMONIA,GERMANY,11,5,4.982728623395899e-10
AMMONIA,GERMANY,11,6,1.195854815330707e-09
AMMONIA,GERMANY,11,7,4.720480368475954e-10
AMMONIA,GERMANY,11,8,3.146986924197514e-10
AMMONIA,GERMANY,11,9,7.799054599524004e-10
AMMONIA,GERMANY,11,10,6.899162758678325e-10
AMMONIA,GERMANY,11,11,5.275830320436395e-10
AMMONIA,GERMANY,11,12,3.816557962381042e-10
AMMONIA,GERMANY,12,1,6.643637574620769e-10
AMMONIA,GERMANY,12,2,1.055166011421047e-09
AMMONIA,GERMANY,12,3,1.793782069087739e-09
AMMONIA,GERMANY,12,4,5.125092004029313e-10
AMMONIA,GERMANY,12,5,4.982728623827092e-10
AMMONIA,GERMANY,12,6,1.195854815430075e-09
AMMONIA,GERMANY,12,7,4.720480368262608e-10
AMMONIA,GERMANY,12,8,3.14698692430379e-10
AMMONIA,GERMANY,12,9,7.799054599789231e-10
AMMONIA,GERMANY,12,10,6.899162758489331e-10
AMMONIA,GERMANY,12,11,5.27583031998535e-10
