p,n,h,td,dual_raw
AMMONIA,GERMANY,4,7,2.035983810449547
AMMONIA,GERMANY,4,8,3.053975719073911
AMMONIA,GERMANY,4,9,1.232305995074545
AMMONIA,GERMANY,4,10,1.393041514518411
AMMONIA,GERMANY,4,11,1.821669669968471
AMMONIA,GERMANY,4,12,2.518190399153316
AMMONIA,GERMANY,5,1,1.446619999131932
AMMONIA,GERMANY,5,2,0.9108348228512676
AMMONIA,GERMANY,5,3,0.5357851812591463
AMMONIA,GERMANY,5,4,1.875248214092156
AMMONIA,GERMANY,5,5,1.928826750926633
AMMONIA,GERMANY,5,6,0.8036778097366504
AMMONIA,GERMANY,5,7,2.035983810442045
AMMONIA,GERMANY,5,8,3.053975719079639
AMMONIA,GERMANY,5,9,1.232305995090719
AMMONIA,GERMANY,5,10,1.393041514519465
AMMONIA,GERMANY,5,11,1.821669669932297
AMMONIA,GERMANY,5,12,2.518190399105305
AMMONIA,GERMANY,6,1,1.446619999123045
AMMONIA,GERMANY,6,2,0.9108348228482489
AMMONIA,GERMANY,6,3,0.5357851812791395
AMMONIA,GERMANY,6,4,1.875248214145767
AMMONIA,GERMANY,6,5,1.928826750956733
AMMONIA,GERMANY,6,6,0.8036778097444839
AMMONIA,GERMANY,6,7,2.035983810434784
AMMONIA,GERMANY,6,8,3.053975719083923
AMMONIA,GERMANY,6,9,1.232305995084732
AMMONIA,GERMANY,6,10,1.39304151452117
AMMONIA,GERMANY,6,11,1.821669669895674
AMMONIA,GERMANY,6,12,2.518190399057142
AMMONIA,GERMANY,7,1,1.446619999114408
AMMONIA,GERMANY,7,2,0.9108348228378873
AMMONIA,GERMANY,7,3,0.5357851813058153
AMMONIA,GERMANY,7,4,1.875248214194324
AMMONIA,GERMANY,7,5,1.92882675097837
AMMONIA,GERMANY,7,6,0.8036778097590391
AMMONIA,GERMANY,7,7,2.035983810423532
AMMONIA,GERMANY,7,8,3.053975719099162
AMMONIA,GERMANY,7,9,1.232305995035244
AMMONIA,GERMANY,7,10,1.39304151452339
AMMONIA,GERMANY,7,11,1.821669669858401
AMMONIA,GERMANY,7,12,2.518190399009117
AMMONIA,GERMANY,8,1,1.446619999106204
AMMONIA,GERMANY,8,2,0.9108348228246052
AMMONIA,GERMANY,8,3,0.5357851812956046
AMMONIA,GERMANY,8,4,1.875248214239343
AMMONIA,GERMANY,8,5,1.928826751011169
AMMONIA,GERMANY,8,6,0.8036778096684941
AMMONIA,GERMANY,8,7,2.03598381040649
AMMONIA,GERMANY,8,8,3.053975719054558
AMMONIA,GERMANY,8,9,1.232305994991094
AMMONIA,GERMANY,8,10,1.393041514526494
AMMONIA,GERMANY,8,11,1.821669669819663
AMMONIA,GERMANY,8,12,2.518190398961454
AMMONIA,GERMANY,9,1,1.446619999098395
AMMONIA,GERMANY,9,2,0.9108348228183575
AMMONIA,GERMANY,9,3,0.5357851811420308
AMMONIA,GERMANY,9,4,1.875248214285709
AMMONIA,GERMANY,9,5,1.928826751034288
AMMONIA,GERMANY,9,6,0.8036778095066983
AMMONIA,GERMANY,9,7,2.03598381039136
AMMONIA,GERMANY,9,8,3.053975719046595
AMMONIA,GERMANY,9,9,1.232305994947773
AMMONIA,GERMANY,9,10,1.393041514530873
AMMONIA,GERMANY,9,11,1.82166966978511
AMMONIA,GERMANY,9,12,2.518190398914308
AMMONIA,GERMANY,10,1,1.446619999091103
AMMONIA,GERMANY,10,2,0.9108348228056699
AMMONIA,GERMANY,10,3,0.5357851810425107
AMMONIA,GERMANY,10,4,1.875248214334888
AMMONIA,GERMANY,10,5,1.928826751060708
AMMONIA,GERMANY,10,6,0.8036778095196546
AMMONIA,GERMANY,10,7,2.035983810383024
AMMONIA,GERMANY,10,8,3.053975719019991
AMMONIA,GERMANY,10,9,1.232305994929722
AMMONIA,GERMANY,10,10,1.39304151453661
AMMONIA,GERMANY,10,11,1.821669669752227
AMMONIA,GERMANY,10,12,2.518190398867113
AMMONIA,GERMANY,11,1,1.446619999083427
AMMONIA,GERMANY,11,2,0.9108348228052006
AMMONIA,GERMANY,11,3,0.5357851810062465
AMMONIA,GERMANY,11,4,1.875248214387114
AMMONIA,GERMANY,11,5,1.928826751086011
AMMONIA,GERMANY,11,6,0.8036778095303526
AMMONIA,GERMANY,11,7,2.03598381037041
AMMONIA,GERMANY,11,8,3.05397571902151
AMMONIA,GERMANY,11,9,1.232305994919433
AMMONIA,GERMANY,11,10,1.393041514538417
AMMONIA,GERMANY,11,11,1.821669669716353
AMMONIA,GERMANY,11,12,2.518190398820777
AMMONIA,GERMANY,12,1,1.446619999077642
AMMONIA,GERMANY,12,2,0.9108348227889206
AMMONIA,GERMANY,12,3,0.5357851809917671
AMMONIA,GERMANY,12,4,1.875248214398706
AMMONIA,GERMANY,12,5,1.928826751111281
AMMONIA,GERMANY,12,6,0.8036778095462068
AMMONIA,GERMANY,12,7,2.035983810364665
AMMONIA,GERMANY,12,8,3.053975719027772
AMMONIA,GERMANY,12,9,1.232305994916248
AMMONIA,GERMANY,12,10,1.393041514542025
AMMONIA,GERMANY,12,11,1.821669669671946
AMMONIA,GERMANY,12,12,2.518190398774963
AMMONIA,GERMANY,13,1,1.446619999072021
AMMONIA,GERMANY,13,2,0.9108348227766317
AMMONIA,GERMANY,13,3,0.5357851809818895
AMMONIA,GERMANY,13,4,1.875248214449495
AMMONIA,GERMANY,13,5,1.928826751136436
AMMONIA,GERMANY,13,6,0.8036778095628034
AMMONIA,GERMANY,13,7,2.035983810305914
AMMONIA,GERMANY,13,8,3.053975719034375
AMMONIA,GERMANY,13,9,1.232305994916302
AMMONIA,GERMANY,13,10,1.393041514546397
AMMONIA,GERMANY,13,11,1.821669669632074
AMMONIA,GERMANY,13,12,2.518190398728256
AMMONIA,GERMANY,14,1,1.446619999065913
AMMONIA,GERMANY,14,2,0.9108348227617068
AMMONIA,GERMANY,14,3,0.5357851809742232
AMMONIA,GERMANY,14,4,1.875248214500496
AMMONIA,GERMANY,14,5,1.928826751162567
AMMONIA,GERMANY,14,6,0.803677809577669
