st,n,h,td,val
AMMONIA,GERMANY,9,4,3.065423691516858e-09
AMMONIA,GERMANY,9,5,2.980273264732923e-09
AMMONIA,GERMANY,9,6,7.152655462163414e-09
AMMONIA,GERMANY,9,7,2.823417275000763e-09
AMMONIA,GERMANY,9,8,1.88227819582816e-09
AMMONIA,GERMANY,9,9,4.664776452159373e-09
AMMONIA,GERMANY,9,10,4.126532201202186e-09
AMMONIA,GERMANY,9,11,3.155583504737882e-09
AMMONIA,GERMANY,9,12,2.282762367560608e-09
AMMONIA,GERMANY,10,1,3.973697132730346e-09
AMMONIA,GERMANY,10,2,6.31116642870413e-09
AMMONIA,GERMANY,10,3,1.072898169487179e-08
AMMONIA,GERMANY,10,4,3.065423691933969e-09
AMMONIA,GERMANY,10,5,2.980273265133332e-09
AMMONIA,GERMANY,10,6,7.15265546309568e-09
AMMONIA,GERMANY,10,7,2.823417275094916e-09
AMMONIA,GERMANY,10,8,1.882278195878585e-09
AMMONIA,GERMANY,10,9,4.66477645233995e-09
AMMONIA,GERMANY,10,10,4.126532201074866e-09
AMMONIA,GERMANY,10,11,3.155583504410345e-09
AMMONIA,GERMANY,10,12,2.282762367242971e-09
AMMONIA,GERMANY,11,1,3.973697132376287e-09
AMMONIA,GERMANY,11,2,6.311166428024386e-09
AMMONIA,GERMANY,11,3,1.072898169610931e-08
AMMONIA,GERMANY,11,4,3.065423692340227e-09
AMMONIA,GERMANY,11,5,2.980273265529796e-09
AMMONIA,GERMANY,11,6,7.152655464014605e-09
AMMONIA,GERMANY,11,7,2.823417275125277e-09
AMMONIA,GERMANY,11,8,1.882278195960747e-09
AMMONIA,GERMANY,11,9,4.664776452619841e-09
AMMONIA,GERMANY,11,10,4.126532201015309e-09
AMMONIA,GERMANY,11,11,3.155583504109754e-09
AMMONIA,GERMANY,11,12,2.282762366914666e-09
AMMONIA,GERMANY,12,1,3.973697132039009e-09
AMMONIA,GERMANY,12,2,6.311166427364971e-09
AMMONIA,GERMANY,12,3,1.072898169756154e-08
AMMONIA,GERMANY,12,4,3.065423692587243e-09
AMMONIA,GERMANY,12,5,2.980273265929146e-09
AMMONIA,GERMANY,12,6,7.152655465026386e-09
AMMONIA,GERMANY,12,7,2.8234172751374e-09
AMMONIA,GERMANY,12,8,1.882278196046192e-09
AMMONIA,GERMANY,12,9,4.664776452865269e-09
AMMONIA,GERMANY,12,10,4.126532200894077e-09
AMMONIA,GERMANY,12,11,3.155583503741189e-09
AMMONIA,GERMANY,12,12,2.282762366633928e-09
AMMONIA,GERMANY,13,1,3.97369713170639e-09
AMMONIA,GERMANY,13,2,6.311166426617358e-09
AMMONIA,GERMANY,13,3,1.07289816991113e-08
AMMONIA,GERMANY,13,4,3.065423692969573e-09
AMMONIA,GERMANY,13,5,2.980273266309463e-09
AMMONIA,GERMANY,13,6,7.152655465966592e-09
AMMONIA,GERMANY,13,7,2.823417274966802e-09
AMMONIA,GERMANY,13,8,1.882278196127798e-09
AMMONIA,GERMANY,13,9,4.664776453092115e-09
AMMONIA,GERMANY,13,10,4.126532200762522e-09
AMMONIA,GERMANY,13,11,3.1555835033722e-09
AMMONIA,GERMANY,13,12,2.282762366342787e-09
AMMONIA,GERMANY,14,1,3.973697131371282e-09
AMMONIA,GERMANY,14,2,6.311166425863816e-09
AMMONIA,GERMANY,14,3,1.07289817006745e-08
AMMONIA,GERMANY,14,4,3.065423693342902e-09
AMMONIA,GERMANY,14,5,2.980273266688219e-09
AMMONIA,GERMANY,14,6,7.152655466909022e-09
AMMONIA,GERMANY,14,7,2.823417274946711e-09
AMMONIA,GERMANY,14,8,1.882278196186932e-09
AMMONIA,GERMANY,14,9,4.664776453294768e-09
AMMONIA,GERMANY,14,10,4.126532200627156e-09
AMMONIA,GERMANY,14,11,3.155583502946937e-09
AMMONIA,GERMANY,14,12,2.282762366111415e-09
AMMONIA,GERMANY,15,1,3.973697131032892e-09
AMMONIA,GERMANY,15,2,6.311166424792637e-09
AMMONIA,GERMANY,15,3,1.072898170237502e-08
AMMONIA,GERMANY,15,4,3.06542369369945e-09
AMMONIA,GERMANY,15,5,2.98027326706462e-09
AMMONIA,GERMANY,15,6,7.152655467790043e-09
AMMONIA,GERMANY,15,7,2.823417274898536e-09
AMMONIA,GERMANY,15,8,1.882278196263323e-09
AMMONIA,GERMANY,15,9,4.664776453483021e-09
AMMONIA,GERMANY,15,10,4.126532200437474e-09
AMMONIA,GERMANY,15,11,3.155583502443481e-09
AMMONIA,GERMANY,15,12,2.282762365812756e-09
AMMONIA,GERMANY,16,1,3.973697130708585e-09
AMMONIA,GERMANY,16,2,6.311166423748034e-09
AMMONIA,GERMANY,16,3,1.072898170418915e-08
AMMONIA,GERMANY,16,4,3.065423694041387e-09
AMMONIA,GERMANY,16,5,2.980273267439935e-09
AMMONIA,GERMANY,16,6,7.152655468658251e-09
AMMONIA,GERMANY,16,7,2.823417274822039e-09
AMMONIA,GERMANY,16,8,1.882278196337253e-09
AMMONIA,GERMANY,16,9,4.664776453717808e-09
AMMONIA,GERMANY,16,10,4.126532200288766e-09
AMMONIA,GERMANY,16,11,3.155583501938173e-09
AMMONIA,GERMANY,16,12,2.282762365628315e-09
AMMONIA,GERMANY,17,1,3.973697130389359e-09
AMMONIA,GERMANY,17,2,6.311166422648585e-09
AMMONIA,GERMANY,17,3,1.072898170598582e-08
AMMONIA,GERMANY,17,4,3.065423694375171e-09
AMMONIA,GERMANY,17,5,2.980273267797409e-09
AMMONIA,GERMANY,17,6,7.15265546955113e-09
AMMONIA,GERMANY,17,7,2.823417274808327e-09
AMMONIA,GERMANY,17,8,1.882278196387837e-09
AMMONIA,GERMANY,17,9,4.664776453836657e-09
AMMONIA,GERMANY,17,10,4.126532200141224e-09
AMMONIA,GERMANY,17,11,3.155583501361291e-09
AMMONIA,GERMANY,17,12,2.28276236538474e-09
AMMONIA,GERMANY,18,1,3.973697130045834e-09
AMMONIA,GERMANY,18,2,6.311166421806634e-09
AMMONIA,GERMANY,18,3,1.072898170834544e-08
AMMONIA,GERMANY,18,4,3.06542369473786e-09
AMMONIA,GERMANY,18,5,2.980273268047046e-09
AMMONIA,GERMANY,18,6,7.152655473595818e-09
AMMONIA,GERMANY,18,7,2.823417274856e-09
AMMONIA,GERMANY,18,8,1.882278196545385e-09
AMMONIA,GERMANY,18,9,4.664776453920513e-09
AMMONIA,GERMANY,18,10,4.126532200078438e-09
AMMONIA,GERMANY,18,11,3.155583500852542e-09
AMMONIA,GERMANY,18,12,2.282762365093757e-09
AMMONIA,GERMANY,19,1,3.973697129702363e-09
AMMONIA,GERMANY,19,2,6.311166421126679e-09
AMMONIA,GERMANY,19,3,1.072898171002108e-08
AMMONIA,GERMANY,19,4,3.065423695135489e-09
AMMONIA,GERMANY,19,5,2.980273268427443e-09
AMMONIA,GERMANY,19,6,7.152655474425169e-09
AMMONIA,GERMANY,19,7,2.82341727476677e-09
AMMONIA,GERMANY,19,8,1.882278196680249e-09
AMMONIA,GERMANY,19,9,4.664776454077109e-09
AMMONIA,GERMANY,19,10,4.126532199903102e-09
AMMONIA,GERMANY,19,11,3.15558350034824e-09
AMMONIA,GERMANY,19,12,2.282762364805316e-09
AMMONIA,GERMANY,20,1,3.97369712935725e-09
AMMONIA,GERMANY,20,2,6.311166420488651e-09
AMMONIA,GERMANY,20,3,1.07289817116675e-08
AMMONIA,GERMANY,20,4,3.065423695366199e-09
AMMONIA,GERMANY,20,5,2.980273268799846e-09
AMMONIA,GERMANY,20,6,7.152655475239591e-09
AMMONIA,GERMANY,20,7,2.823417274727515e-09
AMMONIA,GERMANY,20,8,1.882278196764476e-09
AMMONIA,GERMANY,20,9,4.66477645424858e-09
AMMONIA,GERMANY,20,10,4.126532199735124e-09
AMMONIA,GERMANY,20,11,3.155583499840867e-09
AMMONIA,GERMANY,20,12,2.282762364517087e-09
AMMONIA,GERMANY,21,1,3.973697129011025e-09
AMMONIA,GERMANY,21,2,6.311166419703558e-09
AMMONIA,GERMANY,21,3,1.072898171326088e-08
AMMONIA,GERMANY,21,4,3.065423695656891e-09
AMMONIA,GERMANY,21,5,2.980273269090299e-09
AMMONIA,GERMANY,21,6,7.152655476019815e-09
AMMONIA,GERMANY,21,7,2.823417274664994e-09
AMMONIA,GERMANY,21,8,1.882278196815774e-09
AMMONIA,GERMANY,21,9,4.664776454373835e-09
AMMONIA,GERMANY,21,10,4.126532199569106e-09
AMMONIA,GERMANY,21,11,3.155583499331218e-09
AMMONIA,GERMANY,21,12,2.282762364214908e-09
AMMONIA,GERMANY,22,1,3.973697128673535e-09
AMMONIA,GERMANY,22,2,6.31116641897765e-09
AMMONIA,GERMANY,22,3,1.072898170968513e-08
AMMONIA,GERMANY,22,4,3.065423695999727e-09
AMMONIA,GERMANY,22,5,2.980273269451638e-09
AMMONIA,GERMANY,22,6,7.152655476806073e-09
AMMONIA,GERMANY,22,7,2.823417274609963e-09
AMMONIA,GERMANY,22,8,1.882278196875622e-09
AMMONIA,GERMANY,22,9,4.664776454515925e-09
AMMONIA,GERMANY,22,10,4.126532199411399e-09
AMMONIA,GERMANY,22,11,3.155583498832209e-09
AMMONIA,GERMANY,22,12,2.282762363923608e-09
AMMONIA,GERMANY,23,1,3.973697128340016e-09
AMMONIA,GERMANY,23,2,6.311166418241473e-09
AMMONIA,GERMANY,23,3,1.072898171124176e-08
AMMONIA,GERMANY,23,4,3.065423696379198e-09
AMMONIA,GERMANY,23,5,2.98027326982068e-09
AMMONIA,GERMANY,23,6,7.152655479686514e-09
AMMONIA,GERMANY,23,7,2.823417274565203e-09
AMMONIA,GERMANY,23,8,1.882278196914665e-09
AMMONIA,GERMANY,23,9,4.664776454674214e-09
AMMONIA,GERMANY,23,10,4.126532199257292e-09
AMMONIA,GERMANY,23,11,3.155583498294132e-09
AMMONIA,GERMANY,23,12,2.282762363636014e-09
AMMONIA,GERMANY,24,1,3.973697127991621e-09
AMMONIA,GERMANY,24,2,6.311166415690104e-09
AMMONIA,GERMANY,24,3,1.072898171218705e-08
AMMONIA,GERMANY,24,4,3.065423696745804e-09
AMMONIA,GERMANY,24,5,2.980273270196233e-09
AMMONIA,GERMANY,24,6,7.152655480216863e-09
AMMONIA,GERMANY,24,7,2.823417274530024e-09
AMMONIA,GERMANY,24,8,1.882278196990051e-09
AMMONIA,GERMANY,24,9,4.664776454817151e-09
AMMONIA,GERMANY,24,10,4.126532199124255e-09
AMMONIA,GERMANY,24,11,3.155583497777548e-09
AMMONIA,GERMANY,24,12,2.282762363415944e-09
COAL,GERMANY,1,1,1.18592983087122e-08
COAL,GERMANY,1,2,29.57570170456244
COAL,GERMANY,1,3,29.57570164146149
COAL,GERMANY,1,4,29.57570175200239
COAL,GERMANY,1,5,4.510757180632933e-07
COAL,GERMANY,1,6,29.57570169228816
COAL,GERMANY,1,7,29.57570175532653
COAL,GERMANY,1,8,29.57570176963907
COAL,GERMANY,1,9,29.57570172846981
COAL,GERMANY,1,10,1.231553377982589e-08
COAL,GERMANY,1,11,29.57570175054795
COAL,GERMANY,1,12,6.811702434672076e-09
COAL,GERMANY,2,1,1.185227887045147e-08
COAL,GERMANY,2,2,29.57570170424755
COAL,GERMANY,2,3,29.57570164081164
COAL,GERMANY,2,4,29.57570175211689
COAL,GERMANY,2,5,24.55803270122782
COAL,GERMANY,2,6,29.57570169184593
COAL,GERMANY,2,7,29.5757017556414
COAL,GERMANY,2,8,29.57570176960198
COAL,GERMANY,2,9,29.575701728366
COAL,GERMANY,2,10,1.230816085682777e-08
COAL,GERMANY,2,11,29.57570175071525
COAL,GERMANY,2,12,6.808551607825398e-09
COAL,GERMANY,3,1,1.184880742456187e-08
COAL,GERMANY,3,2,29.57570170410797
COAL,GERMANY,3,3,29.57570164044667
COAL,GERMANY,3,4,29.57570175204568
COAL,GERMANY,3,5,29.5757013496263
COAL,GERMANY,3,6,29.57570169149875
COAL,GERMANY,3,7,29.57570175570825
COAL,GERMANY,3,8,29.5757017696637
COAL,GERMANY,3,9,29.57570172829046
COAL,GERMANY,3,10,1.230451220839997e-08
COAL,GERMANY,3,11,29.57570175073963
COAL,GERMANY,3,12,6.807020317866997e-09
COAL,GERMANY,4,1,1.184673941389252e-08
COAL,GERMANY,4,2,29.57570170388252
COAL,GERMANY,4,3,29.57570164012134
COAL,GERMANY,4,4,29.57570175197059
COAL,GERMANY,4,5,29.57570157504455
COAL,GERMANY,4,6,29.57570169113134
COAL,GERMANY,4,7,29.57570175565368
COAL,GERMANY,4,8,29.57570176965806
COAL,GERMANY,4,9,29.57570172822247
COAL,GERMANY,4,10,1.230235158530013e-08
COAL,GERMANY,4,11,29.57570175064028
COAL,GERMANY,4,12,6.806019103214431e-09
COAL,GERMANY,5,1,1.184547459421396e-08
COAL,GERMANY,5,2,29.57570170371653
COAL,GERMANY,5,3,29.57570163984256
COAL,GERMANY,5,4,29.57570175191693
COAL,GERMANY,5,5,29.57570174481073
COAL,GERMANY,5,6,29.57570169071564
COAL,GERMANY,5,7,29.57570175549641
COAL,GERMANY,5,8,29.57570176951819
COAL,GERMANY,5,9,29.57570172805236
COAL,GERMANY,5,10,1.230103808025168e-08
COAL,GERMANY,5,11,29.57570175055402
COAL,GERMANY,5,12,6.805401098619449e-09
COAL,GERMANY,6,1,1.184471119197224e-08
COAL,GERMANY,6,2,29.57570170356014
COAL,GERMANY,6,3,29.57570163965233
COAL,GERMANY,6,4,29.57570175179649
COAL,GERMANY,6,5,29.57570174654435
COAL,GERMANY,6,6,29.57570169031068
COAL,GERMANY,6,7,29.57570175545573
COAL,GERMANY,6,8,29.57570176942073
COAL,GERMANY,6,9,29.57570172794409
COAL,GERMANY,6,10,1.230024937206289e-08
COAL,GERMANY,6,11,29.57570175046513
COAL,GERMANY,6,12,6.805106331569302e-09
COAL,GERMANY,7,1,1.184426035787466e-08
COAL,GERMANY,7,2,29.57570170345261
COAL,GERMANY,7,3,29.57570163952925
COAL,GERMANY,7,4,29.57570175177018
COAL,GERMANY,7,5,29.57570170997711
COAL,GERMANY,7,6,29.57570168994456
COAL,GERMANY,7,7,29.57570175538883
COAL,GERMANY,7,8,29.57570176928233
COAL,GERMANY,7,9,29.57570172782906
COAL,GERMANY,7,10,1.229978561869105e-08
COAL,GERMANY,7,11,29.57570175035384
COAL,GERMANY,7,12,6.805102733905172e-09
COAL,GERMANY,8,1,1.184400050163277e-08
COAL,GERMANY,8,2,29.57570170339603
COAL,GERMANY,8,3,29.57570163944754
COAL,GERMANY,8,4,29.57570175169886
COAL,GERMANY,8,5,29.57570174692141
COAL,GERMANY,8,6,29.5757016893527
COAL,GERMANY,8,7,29.57570175532116
COAL,GERMANY,8,8,29.57570176919968
COAL,GERMANY,8,9,29.57570172775967
COAL,GERMANY,8,10,1.229951919790806e-08
COAL,GERMANY,8,11,29.57570175033672
COAL,GERMANY,8,12,6.805389826444851e-09
COAL,GERMANY,9,1,1.18438544806416e-08
COAL,GERMANY,9,2,29.57570170334367
COAL,GERMANY,9,3,29.57570163939604
COAL,GERMANY,9,4,29.57570175164646
COAL,GERMANY,9,5,29.57570136862662
COAL,GERMANY,9,6,29.37674019653022
COAL,GERMANY,9,7,29.5757017553064
COAL,GERMANY,9,8,29.57570176917443
COAL,GERMANY,9,9,29.57570172772705
COAL,GERMANY,9,10,1.229936974577533e-08
COAL,GERMANY,9,11,29.57570175028108
COAL,GERMANY,9,12,6.805995882394602e-09
COAL,GERMANY,10,1,1.184377432564696e-08
COAL,GERMANY,10,2,29.57570170331398
COAL,GERMANY,10,3,29.57570163936643
COAL,GERMANY,10,4,29.57570175160414
COAL,GERMANY,10,5,21.06984521324886
COAL,GERMANY,10,6,8.721123361554575
COAL,GERMANY,10,7,29.57570175529336
COAL,GERMANY,10,8,29.57570176924431
COAL,GERMANY,10,9,29.57570172769613
COAL,GERMANY,10,10,1.229928768133188e-08
COAL,GERMANY,10,11,29.57570175027051
COAL,GERMANY,10,12,6.806963495055234e-09
COAL,GERMANY,11,1,1.184373058024684e-08
COAL,GERMANY,11,2,29.57570170329348
COAL,GERMANY,11,3,29.57570163935758
COAL,GERMANY,11,4,29.57570175160801
COAL,GERMANY,11,5,20.29785944285268
COAL,GERMANY,11,6,26.82748073615989
COAL,GERMANY,11,7,29.57570175526595
COAL,GERMANY,11,8,28.01564796304375
COAL,GERMANY,11,9,29.57570172766526
COAL,GERMANY,11,10,1.229924288635321e-08
COAL,GERMANY,11,11,29.57570175027285
COAL,GERMANY,11,12,6.80834447731018e-09
COAL,GERMANY,12,1,1.184370478210751e-08
COAL,GERMANY,12,2,29.57570170328395
COAL,GERMANY,12,3,29.57570163934548
COAL,GERMANY,12,4,29.57570175161356
COAL,GERMANY,12,5,4.774340900681022
COAL,GERMANY,12,6,29.57570071324182
COAL,GERMANY,12,7,29.57570175528181
COAL,GERMANY,12,8,13.67977506181284
COAL,GERMANY,12,9,29.57570172766026
COAL,GERMANY,12,10,1.229921617749849e-08
COAL,GERMANY,12,11,29.57570175023303
COAL,GERMANY,12,12,6.810406231225802e-09
COAL,GERMANY,13,1,1.184368438239862e-08
COAL,GERMANY,13,2,29.5757017032808
COAL,GERMANY,13,3,29.57570163933224
COAL,GERMANY,13,4,29.57570175159475
COAL,GERMANY,13,5,7.72750127585079e-08
COAL,GERMANY,13,6,27.07399969439754
COAL,GERMANY,13,7,29.5757017552364
COAL,GERMANY,13,8,9.542560033351572
COAL,GERMANY,13,9,29.57570172765333
COAL,GERMANY,13,10,1.229919486519167e-08
COAL,GERMANY,13,11,29.57570175021787
COAL,GERMANY,13,12,6.814982738281641e-09
COAL,GERMANY,14,1,1.184365860469438e-08
COAL,GERMANY,14,2,29.57570170326147
COAL,GERMANY,14,3,29.57570163932407
COAL,GERMANY,14,4,29.5757017515816
COAL,GERMANY,14,5,9.251561648679812e-08
COAL,GERMANY,14,6,24.67420159886555
COAL,GERMANY,14,7,29.57570175523197
COAL,GERMANY,14,8,5.634901797251826e-09
COAL,GERMANY,14,9,29.57570172764295
COAL,GERMANY,14,10,1.22991681204284e-08
COAL,GERMANY,14,11,29.57570175022842
COAL,GERMANY,14,12,3.452445657633112e-07
COAL,GERMANY,15,1,1.184361485751427e-08
COAL,GERMANY,15,2,29.5757017032266
COAL,GERMANY,15,3,29.57570163929983
COAL,GERMANY,15,4,29.5757017515727
COAL,GERMANY,15,5,1.154998438614816e-07
COAL,GERMANY,15,6,22.67731059098967
COAL,GERMANY,15,7,29.57570175519611
COAL,GERMANY,15,8,4.957866642688118
COAL,GERMANY,15,9,29.57570172762318
COAL,GERMANY,15,10,1.229912314636688e-08
COAL,GERMANY,15,11,29.57570175019286
COAL,GERMANY,15,12,24.86670876289789
COAL,GERMANY,16,1,1.18435347292365e-08
COAL,GERMANY,16,2,29.57570170320707
COAL,GERMANY,16,3,29.57570163927356
COAL,GERMANY,16,4,29.57570175154898
COAL,GERMANY,16,5,1.729437311098494
COAL,GERMANY,16,6,29.57561282987428
COAL,GERMANY,16,7,29.57570175518104
COAL,GERMANY,16,8,20.49956469854881
COAL,GERMANY,16,9,29.57570172758888
COAL,GERMANY,16,10,1.229904117126006e-08
COAL,GERMANY,16,11,29.5757017501769
COAL,GERMANY,16,12,29.57570176297158
COAL,GERMANY,17,1,1.18433887490707e-08
COAL,GERMANY,17,2,29.57570170315938
COAL,GERMANY,17,3,29.57570163922531
COAL,GERMANY,17,4,29.57570175148065
COAL,GERMANY,17,5,25.1539258304754
COAL,GERMANY,17,6,29.57570162229948
COAL,GERMANY,17,7,29.57570175513133
COAL,GERMANY,17,8,29.57570172828235
COAL,GERMANY,17,9,29.57570172755252
COAL,GERMANY,17,10,1.22988918701738e-08
COAL,GERMANY,17,11,29.5757017501447
COAL,GERMANY,17,12,29.57570176307706
COAL,GERMANY,18,1,1.184312894543381e-08
COAL,GERMANY,18,2,29.57570170308228
COAL,GERMANY,18,3,29.57570163914538
COAL,GERMANY,18,4,29.57570175146199
COAL,GERMANY,18,5,29.57570139443862
COAL,GERMANY,18,6,29.57570168910541
COAL,GERMANY,18,7,29.57570175509168
COAL,GERMANY,18,8,29.57570176919907
COAL,GERMANY,18,9,29.57570172748207
COAL,GERMANY,18,10,1.229862564445488e-08
COAL,GERMANY,18,11,29.5757017500995
COAL,GERMANY,18,12,29.57570176284856
COAL,GERMANY,19,1,1.184267822896408e-08
COAL,GERMANY,19,2,29.57570170299865
COAL,GERMANY,19,3,29.57570163903032
COAL,GERMANY,19,4,29.57570175140971
COAL,GERMANY,19,5,23.39684807012523
COAL,GERMANY,19,6,29.57570168933454
COAL,GERMANY,19,7,29.57570175503106
COAL,GERMANY,19,8,29.57570176891498
COAL,GERMANY,19,9,29.57570172739239
COAL,GERMANY,19,10,1.229816204086453e-08
COAL,GERMANY,19,11,29.57570175003631
COAL,GERMANY,19,12,29.57570176272605
COAL,GERMANY,20,1,1.184191522243477e-08
COAL,GERMANY,20,2,29.57570170285239
COAL,GERMANY,20,3,29.5757016388559
COAL,GERMANY,20,4,29.57570175130691
COAL,GERMANY,20,5,7.745666115091994
COAL,GERMANY,20,6,29.5757016894201
COAL,GERMANY,20,7,29.57570175497851
COAL,GERMANY,20,8,29.57570176890393
COAL,GERMANY,20,9,29.57570172728816
COAL,GERMANY,20,10,1.229737376553571e-08
COAL,GERMANY,20,11,29.57570174995331
COAL,GERMANY,20,12,29.57570176276918
COAL,GERMANY,21,1,1.184065202727406e-08
COAL,GERMANY,21,2,29.57570170267727
COAL,GERMANY,21,3,29.57570163860665
COAL,GERMANY,21,4,29.57570175119233
COAL,GERMANY,21,5,8.89466175801612e-09
COAL,GERMANY,21,6,29.57570168944022
COAL,GERMANY,21,7,29.57570175486593
COAL,GERMANY,21,8,29.57570176876818
COAL,GERMANY,21,9,29.57570172713367
COAL,GERMANY,21,10,1.229606197462022e-08
COAL,GERMANY,21,11,29.57570174982915
COAL,GERMANY,21,12,29.57570176279033
COAL,GERMANY,22,1,1.183859078825523e-08
COAL,GERMANY,22,2,29.57570170247667
COAL,GERMANY,22,3,29.57570163828666
COAL,GERMANY,22,4,29.5757017511197
COAL,GERMANY,22,5,8.886520932562213e-09
COAL,GERMANY,22,6,29.57570168944594
COAL,GERMANY,22,7,29.57570175480037
COAL,GERMANY,22,8,29.57570176886681
