p,n,h,td,dual_raw
AMMONIA,GERMANY,6,11,1.821818854946081
AMMONIA,GERMANY,6,12,2.518396649241398
AMMONIA,GERMANY,7,1,1.44673850891185
AMMONIA,GERMANY,7,2,0.9109094243092082
AMMONIA,GERMANY,7,3,0.5358290807013715
AMMONIA,GERMANY,7,4,1.875401857731299
AMMONIA,GERMANY,7,5,1.928984780842169
AMMONIA,GERMANY,7,6,0.8037436550254766
AMMONIA,GERMANY,7,7,2.036150569311492
AMMONIA,GERMANY,7,8,3.054225885472161
AMMONIA,GERMANY,7,9,1.232406937158309
AMMONIA,GERMANY,7,10,1.393155627804743
AMMONIA,GERMANY,7,11,1.821818854935042
AMMONIA,GERMANY,7,12,2.518396649241005
AMMONIA,GERMANY,8,1,1.446738508935086
AMMONIA,GERMANY,8,2,0.9109094243074772
AMMONIA,GERMANY,8,3,0.535829080720208
AMMONIA,GERMANY,8,4,1.875401857769851
AMMONIA,GERMANY,8,5,1.928984780866532
AMMONIA,GERMANY,8,6,0.803743654998139
AMMONIA,GERMANY,8,7,2.036150569282797
AMMONIA,GERMANY,8,8,3.054225885383173
AMMONIA,GERMANY,8,9,1.232406937161975
AMMONIA,GERMANY,8,10,1.393155627805354
AMMONIA,GERMANY,8,11,1.82181885492338
AMMONIA,GERMANY,8,12,2.518396649240753
AMMONIA,GERMANY,9,1,1.44673850895817
AMMONIA,GERMANY,9,2,0.9109094243119238
AMMONIA,GERMANY,9,3,0.5358290807743111
AMMONIA,GERMANY,9,4,1.875401857813138
AMMONIA,GERMANY,9,5,1.928984780884992
AMMONIA,GERMANY,9,6,0.8037436548763643
AMMONIA,GERMANY,9,7,2.036150569259654
AMMONIA,GERMANY,9,8,3.054225885338375
AMMONIA,GERMANY,9,9,1.23240693718229
AMMONIA,GERMANY,9,10,1.393155627806435
AMMONIA,GERMANY,9,11,1.821818854914824
AMMONIA,GERMANY,9,12,2.518396649241609
AMMONIA,GERMANY,10,1,1.446738508981259
AMMONIA,GERMANY,10,2,0.9109094243246018
AMMONIA,GERMANY,10,3,0.5358290808415868
AMMONIA,GERMANY,10,4,1.875401857864038
AMMONIA,GERMANY,10,5,1.928984780906996
AMMONIA,GERMANY,10,6,0.8037436549268756
AMMONIA,GERMANY,10,7,2.036150569242014
AMMONIA,GERMANY,10,8,3.054225885272956
AMMONIA,GERMANY,10,9,1.232406937192894
AMMONIA,GERMANY,10,10,1.39315562780748
AMMONIA,GERMANY,10,11,1.821818854908408
AMMONIA,GERMANY,10,12,2.518396649241657
AMMONIA,GERMANY,11,1,1.446738509004088
