j,n,h,td,val
BATT_LI,GERMANY,9,4,1.920483149350343e-09
BATT_LI,GERMANY,9,5,1.903565639273393e-09
BATT_LI,GERMANY,9,6,8.999338669955385e-10
BATT_LI,GERMANY,9,7,2.059180109064912e-09
BATT_LI,GERMANY,9,8,3.348388718271541e-11
BATT_LI,GERMANY,9,9,2.566394224200355e-09
BATT_LI,GERMANY,9,10,2.63635746601026e-09
BATT_LI,GERMANY,9,11,2.517708816979632e-09
BATT_LI,GERMANY,9,12,3.368791374255808e-09
BATT_LI,GERMANY,10,1,2.646550023399993e-09
BATT_LI,GERMANY,10,2,2.584607022201524e-09
BATT_LI,GERMANY,10,3,2.593893939667394e-09
BATT_LI,GERMANY,10,4,1.771263818976646e-09
BATT_LI,GERMANY,10,5,2.023365261770971e-09
BATT_LI,GERMANY,10,6,1.499554728636141e-09
BATT_LI,GERMANY,10,7,1.962967384976648e-09
BATT_LI,GERMANY,10,8,3.056205264911434e-10
BATT_LI,GERMANY,10,9,2.579976144797721e-09
BATT_LI,GERMANY,10,10,2.64656948047778e-09
BATT_LI,GERMANY,10,11,2.532425586496378e-09
BATT_LI,GERMANY,10,12,3.658692781434204e-09
BATT_LI,GERMANY,11,1,2.652334184245002e-09
BATT_LI,GERMANY,11,2,2.586455461865338e-09
BATT_LI,GERMANY,11,3,2.590361997160496e-09
BATT_LI,GERMANY,11,4,1.567764681707861e-09
BATT_LI,GERMANY,11,5,2.080583521968728e-09
BATT_LI,GERMANY,11,6,2.002728127903127e-09
BATT_LI,GERMANY,11,7,1.831420334283855e-09
BATT_LI,GERMANY,11,8,1.028504048775469e-09
BATT_LI,GERMANY,11,9,2.587891556726802e-09
BATT_LI,GERMANY,11,10,2.652346210061763e-09
BATT_LI,GERMANY,11,11,2.541042458739481e-09
BATT_LI,GERMANY,11,12,4.046208592920729e-09
BATT_LI,GERMANY,12,1,2.65433779352402e-09
BATT_LI,GERMANY,12,2,2.581752593050187e-09
BATT_LI,GERMANY,12,3,2.578883336307164e-09
BATT_LI,GERMANY,12,4,1.748459771332601e-09
BATT_LI,GERMANY,12,5,2.080554207069831e-09
BATT_LI,GERMANY,12,6,2.455077113927168e-09
BATT_LI,GERMANY,12,7,1.65410652750341e-09
BATT_LI,GERMANY,12,8,1.632347559639789e-09
BATT_LI,GERMANY,12,9,2.590654178349102e-09
BATT_LI,GERMANY,12,10,2.654344428859527e-09
BATT_LI,GERMANY,12,11,2.543988643213403e-09
BATT_LI,GERMANY,12,12,4.568148589750924e-09
BATT_LI,GERMANY,13,1,2.652779022943062e-09
