st,n,h,td,val
AMMONIA,GERMANY,9,4,9.17841956693579e-11
AMMONIA,GERMANY,9,5,8.923521200032989e-11
AMMONIA,GERMANY,9,6,2.141641367351163e-10
AMMONIA,GERMANY,9,7,8.453767338856436e-11
AMMONIA,GERMANY,9,8,5.635911716891873e-11
AMMONIA,GERMANY,9,9,1.396712888764021e-10
AMMONIA,GERMANY,9,10,1.235566025968799e-10
AMMONIA,GERMANY,9,11,9.448344460614396e-11
AMMONIA,GERMANY,9,12,6.835144206457651e-11
AMMONIA,GERMANY,10,1,1.189809153045269e-10
AMMONIA,GERMANY,10,2,1.889689404920404e-10
AMMONIA,GERMANY,10,3,3.212439451425515e-10
AMMONIA,GERMANY,10,4,9.178419535532044e-11
AMMONIA,GERMANY,10,5,8.923521317853948e-11
AMMONIA,GERMANY,10,6,2.141641452881109e-10
AMMONIA,GERMANY,10,7,8.453767297530493e-11
AMMONIA,GERMANY,10,8,5.635911617327121e-11
AMMONIA,GERMANY,10,9,1.39671287213147e-10
AMMONIA,GERMANY,10,10,1.235566047163416e-10
AMMONIA,GERMANY,10,11,9.448344346331122e-11
AMMONIA,GERMANY,10,12,6.835144249938235e-11
AMMONIA,GERMANY,11,1,1.189809162758752e-10
AMMONIA,GERMANY,11,2,1.889689494155325e-10
AMMONIA,GERMANY,11,3,3.212439338624549e-10
AMMONIA,GERMANY,11,4,9.178419477556609e-11
AMMONIA,GERMANY,11,5,8.923521383766346e-11
AMMONIA,GERMANY,11,6,2.141641530953195e-10
AMMONIA,GERMANY,11,7,8.453767239187128e-11
AMMONIA,GERMANY,11,8,5.635911511803359e-11
AMMONIA,GERMANY,11,9,1.39671284511006e-10
AMMONIA,GERMANY,11,10,1.235566062462419e-10
AMMONIA,GERMANY,11,11,9.448344164755052e-11
AMMONIA,GERMANY,11,12,6.835144265718194e-11
AMMONIA,GERMANY,12,1,1.189809173609376e-10
AMMONIA,GERMANY,12,2,1.889689604020527e-10
AMMONIA,GERMANY,12,3,3.21243930399943e-10
AMMONIA,GERMANY,12,4,9.178419534503693e-11
AMMONIA,GERMANY,12,5,8.923521451208698e-11
AMMONIA,GERMANY,12,6,2.141641553500947e-10
AMMONIA,GERMANY,12,7,8.453767248493903e-11
AMMONIA,GERMANY,12,8,5.635911415461964e-11
AMMONIA,GERMANY,12,9,1.396712829510625e-10
AMMONIA,GERMANY,12,10,1.235566077660043e-10
AMMONIA,GERMANY,12,11,9.448344200699689e-11
AMMONIA,GERMANY,12,12,6.835144258536942e-11
AMMONIA,GERMANY,13,1,1.189809185519718e-10
AMMONIA,GERMANY,13,2,1.889689679522927e-10
AMMONIA,GERMANY,13,3,3.212439288573372e-10
AMMONIA,GERMANY,13,4,9.178419593810557e-11
AMMONIA,GERMANY,13,5,8.923521514407943e-11
AMMONIA,GERMANY,13,6,2.141641585245095e-10
AMMONIA,GERMANY,13,7,8.453767286996844e-11
AMMONIA,GERMANY,13,8,5.635911324771867e-11
AMMONIA,GERMANY,13,9,1.396712816452024e-10
AMMONIA,GERMANY,13,10,1.235566093083189e-10
AMMONIA,GERMANY,13,11,9.448344117900895e-11
AMMONIA,GERMANY,13,12,6.835144244832214e-11
AMMONIA,GERMANY,14,1,1.189809198148583e-10
AMMONIA,GERMANY,14,2,1.889689756485928e-10
AMMONIA,GERMANY,14,3,3.212439293878445e-10
AMMONIA,GERMANY,14,4,9.178419676539207e-11
AMMONIA,GERMANY,14,5,8.92352155870909e-11
AMMONIA,GERMANY,14,6,2.14164159185354e-10
AMMONIA,GERMANY,14,7,8.453767346474439e-11
AMMONIA,GERMANY,14,8,5.635911232789383e-11
AMMONIA,GERMANY,14,9,1.396712808323684e-10
AMMONIA,GERMANY,14,10,1.235566104722746e-10
AMMONIA,GERMANY,14,11,9.44834377268203e-11
AMMONIA,GERMANY,14,12,6.835144210706051e-11
AMMONIA,GERMANY,15,1,1.189809211616671e-10
AMMONIA,GERMANY,15,2,1.889689790993257e-10
AMMONIA,GERMANY,15,3,3.212439289704161e-10
AMMONIA,GERMANY,15,4,9.178419798481511e-11
AMMONIA,GERMANY,15,5,8.923521583336573e-11
AMMONIA,GERMANY,15,6,2.14164161520915e-10
AMMONIA,GERMANY,15,7,8.453767399030186e-11
AMMONIA,GERMANY,15,8,5.635911146611722e-11
AMMONIA,GERMANY,15,9,1.396712812403206e-10
AMMONIA,GERMANY,15,10,1.235566113632473e-10
AMMONIA,GERMANY,15,11,9.448343175669385e-11
AMMONIA,GERMANY,15,12,6.835144164668487e-11
AMMONIA,GERMANY,16,1,1.189809226076979e-10
AMMONIA,GERMANY,16,2,1.889689844141398e-10
AMMONIA,GERMANY,16,3,3.21243930825683e-10
AMMONIA,GERMANY,16,4,9.178419955085991e-11
AMMONIA,GERMANY,16,5,8.923521567632053e-11
AMMONIA,GERMANY,16,6,2.141641620045443e-10
AMMONIA,GERMANY,16,7,8.453767451570052e-11
AMMONIA,GERMANY,16,8,5.63591105268437e-11
AMMONIA,GERMANY,16,9,1.39671280479685e-10
AMMONIA,GERMANY,16,10,1.235566118845432e-10
AMMONIA,GERMANY,16,11,9.448342404179866e-11
AMMONIA,GERMANY,16,12,6.835144099744735e-11
AMMONIA,GERMANY,17,1,1.189809240115492e-10
AMMONIA,GERMANY,17,2,1.88968988863445e-10
AMMONIA,GERMANY,17,3,3.212439367009682e-10
AMMONIA,GERMANY,17,4,9.178420153291701e-11
AMMONIA,GERMANY,17,5,8.923521577057941e-11
AMMONIA,GERMANY,17,6,2.141641621472959e-10
AMMONIA,GERMANY,17,7,8.453767492465861e-11
AMMONIA,GERMANY,17,8,5.635910958894662e-11
AMMONIA,GERMANY,17,9,1.396712818191088e-10
AMMONIA,GERMANY,17,10,1.235566122069451e-10
AMMONIA,GERMANY,17,11,9.448341582125126e-11
AMMONIA,GERMANY,17,12,6.835143954336971e-11
AMMONIA,GERMANY,18,1,1.189809257923168e-10
AMMONIA,GERMANY,18,2,1.889690061361409e-10
AMMONIA,GERMANY,18,3,3.212439173109017e-10
AMMONIA,GERMANY,18,4,9.178420346382126e-11
AMMONIA,GERMANY,18,5,8.923521599763718e-11
AMMONIA,GERMANY,18,6,2.14164161570387e-10
AMMONIA,GERMANY,18,7,8.453767531406878e-11
AMMONIA,GERMANY,18,8,5.635910859206825e-11
AMMONIA,GERMANY,18,9,1.396712847548456e-10
AMMONIA,GERMANY,18,10,1.235566119871665e-10
AMMONIA,GERMANY,18,11,9.448341228445195e-11
AMMONIA,GERMANY,18,12,6.835143867985932e-11
AMMONIA,GERMANY,19,1,1.189809277492938e-10
AMMONIA,GERMANY,19,2,1.889690276214228e-10
AMMONIA,GERMANY,19,3,3.212439202799639e-10
AMMONIA,GERMANY,19,4,9.178420634960957e-11
AMMONIA,GERMANY,19,5,8.923521656252875e-11
AMMONIA,GERMANY,19,6,2.141641619797422e-10
AMMONIA,GERMANY,19,7,8.453767604443617e-11
AMMONIA,GERMANY,19,8,5.63591076243662e-11
AMMONIA,GERMANY,19,9,1.396712876342812e-10
AMMONIA,GERMANY,19,10,1.235566121564143e-10
AMMONIA,GERMANY,19,11,9.448340985318946e-11
AMMONIA,GERMANY,19,12,6.835143773475584e-11
AMMONIA,GERMANY,20,1,1.189809298835389e-10
AMMONIA,GERMANY,20,2,1.889690491756055e-10
AMMONIA,GERMANY,20,3,3.212439232528908e-10
AMMONIA,GERMANY,20,4,9.178420950986303e-11
AMMONIA,GERMANY,20,5,8.9235217310975e-11
AMMONIA,GERMANY,20,6,2.141641616493464e-10
AMMONIA,GERMANY,20,7,8.45376774236308e-11
AMMONIA,GERMANY,20,8,5.635910701742077e-11
AMMONIA,GERMANY,20,9,1.396712922897331e-10
AMMONIA,GERMANY,20,10,1.23556612191275e-10
AMMONIA,GERMANY,20,11,9.448340765279639e-11
AMMONIA,GERMANY,20,12,6.835143668725402e-11
AMMONIA,GERMANY,21,1,1.189809321624413e-10
AMMONIA,GERMANY,21,2,1.889690634535634e-10
AMMONIA,GERMANY,21,3,3.212439228332389e-10
AMMONIA,GERMANY,21,4,9.178421140734918e-11
AMMONIA,GERMANY,21,5,8.923521777319029e-11
AMMONIA,GERMANY,21,6,2.141641629419451e-10
AMMONIA,GERMANY,21,7,8.453767894588136e-11
AMMONIA,GERMANY,21,8,5.635910597167257e-11
AMMONIA,GERMANY,21,9,1.396712956408601e-10
AMMONIA,GERMANY,21,10,1.235566120175009e-10
AMMONIA,GERMANY,21,11,9.448340568171102e-11
AMMONIA,GERMANY,21,12,6.835143553142462e-11
AMMONIA,GERMANY,22,1,1.189809345546609e-10
AMMONIA,GERMANY,22,2,1.889690766683097e-10
AMMONIA,GERMANY,22,3,3.212439203857901e-10
AMMONIA,GERMANY,22,4,9.178421283269387e-11
AMMONIA,GERMANY,22,5,8.923521819367598e-11
AMMONIA,GERMANY,22,6,2.141641639491732e-10
AMMONIA,GERMANY,22,7,8.453768057840501e-11
AMMONIA,GERMANY,22,8,5.635910487883463e-11
AMMONIA,GERMANY,22,9,1.396712975651602e-10
AMMONIA,GERMANY,22,10,1.235566116939078e-10
AMMONIA,GERMANY,22,11,9.448340310305156e-11
AMMONIA,GERMANY,22,12,6.835143421498984e-11
AMMONIA,GERMANY,23,1,1.189809370212076e-10
AMMONIA,GERMANY,23,2,1.889690885242828e-10
AMMONIA,GERMANY,23,3,3.212439161532194e-10
AMMONIA,GERMANY,23,4,9.178421297036319e-11
AMMONIA,GERMANY,23,5,8.92352186170601e-11
AMMONIA,GERMANY,23,6,2.141641635051426e-10
AMMONIA,GERMANY,23,7,8.453768234053795e-11
AMMONIA,GERMANY,23,8,5.635910376599877e-11
AMMONIA,GERMANY,23,9,1.39671301328554e-10
AMMONIA,GERMANY,23,10,1.23556611185291e-10
AMMONIA,GERMANY,23,11,9.448340063743129e-11
AMMONIA,GERMANY,23,12,6.835143276829727e-11
AMMONIA,GERMANY,24,1,1.189809396808911e-10
AMMONIA,GERMANY,24,2,1.889691014883603e-10
AMMONIA,GERMANY,24,3,3.212439119590299e-10
AMMONIA,GERMANY,24,4,9.178421455472509e-11
AMMONIA,GERMANY,24,5,8.923521906676842e-11
AMMONIA,GERMANY,24,6,2.141641633483621e-10
AMMONIA,GERMANY,24,7,8.453768420705446e-11
AMMONIA,GERMANY,24,8,5.635910257729391e-11
AMMONIA,GERMANY,24,9,1.396713008042141e-10
AMMONIA,GERMANY,24,10,1.235566104338669e-10
AMMONIA,GERMANY,24,11,9.448340040975148e-11
AMMONIA,GERMANY,24,12,6.835143112472248e-11
COAL,GERMANY,1,1,2.226883146951676e-10
COAL,GERMANY,1,2,28.85662100255742
COAL,GERMANY,1,3,28.85662100187149
COAL,GERMANY,1,4,28.85662100326956
COAL,GERMANY,1,5,3.453723942919991e-08
COAL,GERMANY,1,6,28.85662100052796
COAL,GERMANY,1,7,28.85662100332364
COAL,GERMANY,1,8,28.85662100160255
COAL,GERMANY,1,9,28.85662100288367
COAL,GERMANY,1,10,2.297542354108733e-10
COAL,GERMANY,1,11,28.85662100323345
COAL,GERMANY,1,12,1.971160648558277e-09
COAL,GERMANY,2,1,2.224914495394555e-10
COAL,GERMANY,2,2,28.85662100254801
COAL,GERMANY,2,3,28.85662100185048
COAL,GERMANY,2,4,28.856621003268
COAL,GERMANY,2,5,22.9330013259655
COAL,GERMANY,2,6,28.85662100044103
COAL,GERMANY,2,7,28.85662100332256
COAL,GERMANY,2,8,28.85662100158413
COAL,GERMANY,2,9,28.85662100287849
COAL,GERMANY,2,10,2.295424724321421e-10
COAL,GERMANY,2,11,28.85662100323169
COAL,GERMANY,2,12,1.979120752463978e-09
COAL,GERMANY,3,1,2.222953611056572e-10
COAL,GERMANY,3,2,28.85662100253904
COAL,GERMANY,3,3,28.85662100183081
COAL,GERMANY,3,4,28.85662100326651
COAL,GERMANY,3,5,28.85662097717816
COAL,GERMANY,3,6,28.8566210003046
COAL,GERMANY,3,7,28.85662100332144
COAL,GERMANY,3,8,28.85662100154273
COAL,GERMANY,3,9,28.85662100287345
COAL,GERMANY,3,10,2.293319092109183e-10
COAL,GERMANY,3,11,28.85662100322995
COAL,GERMANY,3,12,1.998315378305888e-09
COAL,GERMANY,4,1,2.221005520650671e-10
COAL,GERMANY,4,2,28.85662100253034
COAL,GERMANY,4,3,28.85662100181238
COAL,GERMANY,4,4,28.85662100326507
COAL,GERMANY,4,5,28.85662098897411
COAL,GERMANY,4,6,28.8566210001017
COAL,GERMANY,4,7,28.85662100332042
COAL,GERMANY,4,8,28.85662100147294
COAL,GERMANY,4,9,28.85662100286847
COAL,GERMANY,4,10,2.291225180366274e-10
COAL,GERMANY,4,11,28.85662100322819
COAL,GERMANY,4,12,2.029572298039517e-09
COAL,GERMANY,5,1,2.219066684665612e-10
COAL,GERMANY,5,2,28.85662100252196
COAL,GERMANY,5,3,28.85662100179498
COAL,GERMANY,5,4,28.85662100326368
COAL,GERMANY,5,5,28.85662099251234
COAL,GERMANY,5,6,28.85662099980071
COAL,GERMANY,5,7,28.85662100331939
COAL,GERMANY,5,8,28.85662100136746
COAL,GERMANY,5,9,28.85662100286371
COAL,GERMANY,5,10,2.289142423157187e-10
COAL,GERMANY,5,11,28.85662100322638
COAL,GERMANY,5,12,2.074507670505814e-09
COAL,GERMANY,6,1,2.217134097296471e-10
COAL,GERMANY,6,2,28.85662100251379
COAL,GERMANY,6,3,28.85662100177855
COAL,GERMANY,6,4,28.85662100326234
COAL,GERMANY,6,5,28.8566209950475
COAL,GERMANY,6,6,28.85662099933738
COAL,GERMANY,6,7,28.85662100331835
COAL,GERMANY,6,8,28.85662100121282
COAL,GERMANY,6,9,28.85662100285898
COAL,GERMANY,6,10,2.287069009147602e-10
COAL,GERMANY,6,11,28.85662100322483
COAL,GERMANY,6,12,2.135808248336831e-09
COAL,GERMANY,7,1,2.215212934494699e-10
COAL,GERMANY,7,2,28.85662100250585
COAL,GERMANY,7,3,28.85662100176288
COAL,GERMANY,7,4,28.85662100326105
COAL,GERMANY,7,5,28.85662099421834
COAL,GERMANY,7,6,28.85662099855908
COAL,GERMANY,7,7,28.85662100331737
COAL,GERMANY,7,8,28.85662100098355
COAL,GERMANY,7,9,28.85662100285434
COAL,GERMANY,7,10,2.285004841938325e-10
COAL,GERMANY,7,11,28.85662100322316
COAL,GERMANY,7,12,2.217776785310722e-09
COAL,GERMANY,8,1,2.213297404456551e-10
COAL,GERMANY,8,2,28.85662100249817
COAL,GERMANY,8,3,28.85662100174789
COAL,GERMANY,8,4,28.85662100325979
COAL,GERMANY,8,5,28.85662099426083
COAL,GERMANY,8,6,28.85662099698619
COAL,GERMANY,8,7,28.85662100331646
COAL,GERMANY,8,8,28.8566210006309
COAL,GERMANY,8,9,28.85662100284976
COAL,GERMANY,8,10,2.282946606254838e-10
COAL,GERMANY,8,11,28.85662100322151
COAL,GERMANY,8,12,2.327391953838642e-09
COAL,GERMANY,9,1,2.211386822626101e-10
COAL,GERMANY,9,2,28.85662100249049
COAL,GERMANY,9,3,28.85662100173344
COAL,GERMANY,9,4,28.85662100325857
COAL,GERMANY,9,5,28.85662098053389
COAL,GERMANY,9,6,28.14154065018681
COAL,GERMANY,9,7,28.85662100331538
COAL,GERMANY,9,8,28.8566210000048
COAL,GERMANY,9,9,28.85662100284524
COAL,GERMANY,9,10,2.28089784643265e-10
COAL,GERMANY,9,11,28.8566210032199
COAL,GERMANY,9,12,2.476486145078135e-09
COAL,GERMANY,10,1,2.20948224023357e-10
COAL,GERMANY,10,2,28.856621002483
COAL,GERMANY,10,3,28.85662100171933
COAL,GERMANY,10,4,28.8566210032574
COAL,GERMANY,10,5,19.54883594071036
COAL,GERMANY,10,6,19.07550645266534
COAL,GERMANY,10,7,28.85662100331446
COAL,GERMANY,10,8,28.85662099859085
COAL,GERMANY,10,9,28.85662100284074
COAL,GERMANY,10,10,2.278858025010399e-10
COAL,GERMANY,10,11,28.85662100321808
COAL,GERMANY,10,12,2.686713224249365e-09
COAL,GERMANY,11,1,2.207581138096323e-10
COAL,GERMANY,11,2,28.85662100247557
COAL,GERMANY,11,3,28.85662100170548
COAL,GERMANY,11,4,28.85662100325625
COAL,GERMANY,11,5,18.77113686390839
COAL,GERMANY,11,6,28.85662094042108
COAL,GERMANY,11,7,28.85662100331355
COAL,GERMANY,11,8,26.36374640304375
COAL,GERMANY,11,9,28.85662100283625
COAL,GERMANY,11,10,2.276820337570568e-10
COAL,GERMANY,11,11,28.85662100321662
COAL,GERMANY,11,12,3.002673075375639e-09
