st,alpha_s
ELECTRICITY,0.08433
LFO,0.06
GAS,0.044
WOOD,0.033
WET_BIOMASS,0.006
COAL,0.018
URANIUM,0.004
WASTE,0.023
H2,0.088
AMMONIA,0.076
RES_WIND,0.0
RES_SOLAR,0.0
RES_HYDRO,0.0
RES_GEO,0.0
