pt,p,layers_in_out
IND_COGEN_GAS,HEAT_LOW_T_DECEN,0.0
IND_COGEN_GAS,HEAT_LOW_T_DHN,0.0
IND_COGEN_GAS,LFO,0.0
IND_COGEN_GAS,RES_GEO,0.0
IND_COGEN_GAS,RES_HYDRO,0.0
IND_COGEN_GAS,RES_SOLAR,0.0
IND_COGEN_GAS,RES_WIND,0.0
IND_COGEN_GAS,URANIUM,0.0
IND_COGEN_GAS,WASTE,0.0
IND_COGEN_GAS,WET_BIOMASS,0.0
IND_COGEN_GAS,WOOD,0.0
IND_COGEN_WASTE,AMMONIA,0.0
IND_COGEN_WASTE,COAL,0.0
IND_COGEN_WASTE,ELECTRICITY,0.44
IND_COGEN_WASTE,GAS,0.0
IND_COGEN_WASTE,H2,0.0
IND_COGEN_WASTE,HEAT_HIGH_T,1.0
IND_COGEN_WASTE,HEAT_LOW_T_DECEN,0.0
IND_COGEN_WASTE,HEAT_LOW_T_DHN,0.0
IND_COGEN_WASTE,LFO,0.0
IND_COGEN_WASTE,RES_GEO,0.0
IND_COGEN_WASTE,RES_HYDRO,0.0
IND_COGEN_WASTE,RES_SOLAR,0.0
IND_COGEN_WASTE,RES_WIND,0.0
IND_COGEN_WASTE,URANIUM,0.0
IND_COGEN_WASTE,WASTE,-2.22
IND_COGEN_WASTE,WET_BIOMASS,0.0
IND_COGEN_WASTE,WOOD,0.0
IND_COGEN_WOOD,AMMONIA,0.0
IND_COGEN_WOOD,COAL,0.0
IND_COGEN_WOOD,ELECTRICITY,0.34
IND_COGEN_WOOD,GAS,0.0
IND_COGEN_WOOD,H2,0.0
IND_COGEN_WOOD,HEAT_HIGH_T,1.0
IND_COGEN_WOOD,HEAT_LOW_T_DECEN,0.0
IND_COGEN_WOOD,HEAT_LOW_T_DHN,0.0
IND_COGEN_WOOD,LFO,0.0
IND_COGEN_WOOD,RES_GEO,0.0
IND_COGEN_WOOD,RES_HYDRO,0.0
IND_COGEN_WOOD,RES_SOLAR,0.0
IND_COGEN_WOOD,RES_WIND,0.0
IND_COGEN_WOOD,URANIUM,0.0
IND_COGEN_WOOD,WASTE,0.0
IND_COGEN_WOOD,WET_BIOMASS,0.0
IND_COGEN_WOOD,WOOD,-1.89
IND_DIRECT_ELEC,AMMONIA,0.0
IND_DIRECT_ELEC,COAL,0.0
IND_DIRECT_ELEC,ELECTRICITY,-1.0
IND_DIRECT_ELEC,GAS,0.0
IND_DIRECT_ELEC,H2,0.0
IND_DIRECT_ELEC,HEAT_HIGH_T,1.0
IND_DIRECT_ELEC,HEAT_LOW_T_DECEN,0.0
IND_DIRECT_ELEC,HEAT_LOW_T_DHN,0.0
IND_DIRECT_ELEC,LFO,0.0
IND_DIRECT_ELEC,RES_GEO,0.0
IND_DIRECT_ELEC,RES_HYDRO,0.0
IND_DIRECT_ELEC,RES_SOLAR,0.0
IND_DIRECT_ELEC,RES_WIND,0.0
IND_DIRECT_ELEC,URANIUM,0.0
IND_DIRECT_ELEC,WASTE,0.0
IND_DIRECT_ELEC,WET_BIOMASS,0.0
IND_DIRECT_ELEC,WOOD,0.0
NUCLEAR,AMMONIA,0.0
NUCLEAR,COAL,0.0
NUCLEAR,ELECTRICITY,1.0
NUCLEAR,GAS,0.0
NUCLEAR,H2,0.0
NUCLEAR,HEAT_HIGH_T,0.0
NUCLEAR,HEAT_LOW_T_DECEN,0.0
NUCLEAR,HEAT_LOW_T_DHN,0.0
NUCLEAR,LFO,0.0
NUCLEAR,RES_GEO,0.0
NUCLEAR,RES_HYDRO,0.0
NUCLEAR,RES_SOLAR,0.0
NUCLEAR,RES_WIND,0.0
NUCLEAR,URANIUM,-2.7
NUCLEAR,WASTE,0.0
NUCLEAR,WET_BIOMASS,0.0
NUCLEAR,WOOD,0.0
PV,AMMONIA,0.0
PV,COAL,0.0
PV,ELECTRICITY,1.0
PV,GAS,0.0
PV,H2,0.0
PV,HEAT_HIGH_T,0.0
PV,HEAT_LOW_T_DECEN,0.0
PV,HEAT_LOW_T_DHN,0.0
PV,LFO,0.0
PV,RES_GEO,0.0
PV,RES_HYDRO,0.0
PV,RES_SOLAR,-1.0
PV,RES_WIND,0.0
PV,URANIUM,0.0
PV,WASTE,0.0
PV,WET_BIOMASS,0.0
PV,WOOD,0.0
WIND_OFFSHORE,AMMONIA,0.0
WIND_OFFSHORE,COAL,0.0
WIND_OFFSHORE,ELECTRICITY,1.0
WIND_OFFSHORE,GAS,0.0
WIND_OFFSHORE,H2,0.0
WIND_OFFSHORE,HEAT_HIGH_T,0.0
WIND_OFFSHORE,HEAT_LOW_T_DECEN,0.0
WIND_OFFSHORE,HEAT_LOW_T_DHN,0.0
WIND_OFFSHORE,LFO,0.0
WIND_OFFSHORE,RES_GEO,0.0
WIND_OFFSHORE,RES_HYDRO,0.0
WIND_OFFSHORE,RES_SOLAR,0.0
WIND_OFFSHORE,RES_WIND,-1.0
WIND_OFFSHORE,URANIUM,0.0
WIND_OFFSHORE,WASTE,0.0
WIND_OFFSHORE,WET_BIOMASS,0.0
WIND_OFFSHORE,WOOD,0.0
WIND_ONSHORE,AMMONIA,0.0
WIND_ONSHORE,COAL,0.0
WIND_ONSHORE,ELECTRICITY,1.0
WIND_ONSHORE,GAS,0.0
WIND_ONSHORE,H2,0.0
WIND_ONSHORE,HEAT_HIGH_T,0.0
WIND_ONSHORE,HEAT_LOW_T_DECEN,0.0
WIND_ONSHORE,HEAT_LOW_T_DHN,0.0
WIND_ONSHORE,LFO,0.0
WIND_ONSHORE,RES_GEO,0.0
WIND_ONSHORE,RES_HYDRO,0.0
WIND_ONSHORE,RES_SOLAR,0.0
WIND_ONSHORE,RES_WIND,-1.0
WIND_ONSHORE,URANIUM,0.0
WIND_ONSHORE,WASTE,0.0
WIND_ONSHORE,WET_BIOMASS,0.0
WIND_ONSHORE,WOOD,0.0
