pt,p,layers_in_out
DEC_BOILER_OIL,ELECTRICITY,0.0
DEC_BOILER_OIL,GAS,0.0
DEC_BOILER_OIL,H2,0.0
DEC_BOILER_OIL,HEAT_HIGH_T,0.0
DEC_BOILER_OIL,HEAT_LOW_T_DECEN,1.0
DEC_BOILER_OIL,HEAT_LOW_T_DHN,0.0
DEC_BOILER_OIL,LFO,-1.18
DEC_BOILER_OIL,RES_GEO,0.0
DEC_BOILER_OIL,RES_HYDRO,0.0
DEC_BOILER_OIL,RES_SOLAR,0.0
DEC_BOILER_OIL,RES_WIND,0.0
DEC_BOILER_OIL,URANIUM,0.0
DEC_BOILER_OIL,WASTE,0.0
DEC_BOILER_OIL,WET_BIOMASS,0.0
DEC_BOILER_OIL,WOOD,0.0
DEC_BOILER_WOOD,AMMONIA,0.0
DEC_BOILER_WOOD,COAL,0.0
DEC_BOILER_WOOD,ELECTRICITY,0.0
DEC_BOILER_WOOD,GAS,0.0
DEC_BOILER_WOOD,H2,0.0
DEC_BOILER_WOOD,HEAT_HIGH_T,0.0
DEC_BOILER_WOOD,HEAT_LOW_T_DECEN,1.0
DEC_BOILER_WOOD,HEAT_LOW_T_DHN,0.0
DEC_BOILER_WOOD,LFO,0.0
DEC_BOILER_WOOD,RES_GEO,0.0
DEC_BOILER_WOOD,RES_HYDRO,0.0
DEC_BOILER_WOOD,RES_SOLAR,0.0
DEC_BOILER_WOOD,RES_WIND,0.0
DEC_BOILER_WOOD,URANIUM,0.0
DEC_BOILER_WOOD,WASTE,0.0
DEC_BOILER_WOOD,WET_BIOMASS,0.0
DEC_BOILER_WOOD,WOOD,-1.18
DEC_COGEN_GAS,AMMONIA,0.0
DEC_COGEN_GAS,COAL,0.0
DEC_COGEN_GAS,ELECTRICITY,0.96
DEC_COGEN_GAS,GAS,-2.17
DEC_COGEN_GAS,H2,0.0
DEC_COGEN_GAS,HEAT_HIGH_T,0.0
DEC_COGEN_GAS,HEAT_LOW_T_DECEN,1.0
DEC_COGEN_GAS,HEAT_LOW_T_DHN,0.0
DEC_COGEN_GAS,LFO,0.0
DEC_COGEN_GAS,RES_GEO,0.0
DEC_COGEN_GAS,RES_HYDRO,0.0
DEC_COGEN_GAS,RES_SOLAR,0.0
DEC_COGEN_GAS,RES_WIND,0.0
DEC_COGEN_GAS,URANIUM,0.0
DEC_COGEN_GAS,WASTE,0.0
DEC_COGEN_GAS,WET_BIOMASS,0.0
DEC_COGEN_GAS,WOOD,0.0
DEC_COGEN_OIL,AMMONIA,0.0
