k,ct,n,h,td,b
1,ELECTRICITY,GERMANY,8,10,0.16162365446253943
1,ELECTRICITY,GERMANY,8,11,0.17933472534070033
1,ELECTRICITY,GERMANY,8,12,0.1603936682508047
1,ELECTRICITY,GERMANY,9,1,0.157849398277456
1,ELECTRICITY,GERMANY,9,2,0.16129371116730423
1,ELECTRICITY,GERMANY,9,3,0.16040351578814271
1,ELECTRICITY,GERMANY,9,4,0.16233332002761433
1,ELECTRICITY,GERMANY,9,5,0.16181906183622805
1,ELECTRICITY,GERMANY,9,6,0.16546061621404093
1,ELECTRICITY,GERMANY,9,7,0.16351608213298907
1,ELECTRICITY,GERMANY,9,8,0.1637159583326151
1,ELECTRICITY,GERMANY,9,9,0.16046499174597195
1,ELECTRICITY,GERMANY,9,10,0.1609643188657158
1,ELECTRICITY,GERMANY,9,11,0.1758514085558852
1,ELECTRICITY,GERMANY,9,12,0.15955803558970075
1,ELECTRICITY,GERMANY,10,1,0.15639660940041222
1,ELECTRICITY,GERMANY,10,2,0.16035061589054814
1,ELECTRICITY,GERMANY,10,3,0.1597065514333039
1,ELECTRICITY,GERMANY,10,4,0.16177390535227607
1,ELECTRICITY,GERMANY,10,5,0.16035192812092933
1,ELECTRICITY,GERMANY,10,6,0.16358529358485646
1,ELECTRICITY,GERMANY,10,7,0.1617692308249333
1,ELECTRICITY,GERMANY,10,8,0.16193192959110847
1,ELECTRICITY,GERMANY,10,9,0.15874752544391407
1,ELECTRICITY,GERMANY,10,10,0.15941083320799168
1,ELECTRICITY,GERMANY,10,11,0.17336436385009346
1,ELECTRICITY,GERMANY,10,12,0.15901071399200994
1,ELECTRICITY,GERMANY,11,1,0.15493282307652267
1,ELECTRICITY,GERMANY,11,2,0.1599857324747744
1,ELECTRICITY,GERMANY,11,3,0.1600421825774253
1,ELECTRICITY,GERMANY,11,4,0.16200221707908746
1,ELECTRICITY,GERMANY,11,5,0.16061915132169285
1,ELECTRICITY,GERMANY,11,6,0.16283096381810025
1,ELECTRICITY,GERMANY,11,7,0.16404380993222262
1,ELECTRICITY,GERMANY,11,8,0.16316628176359763
1,ELECTRICITY,GERMANY,11,9,0.159330078301662
1,ELECTRICITY,GERMANY,11,10,0.15980280500153898
1,ELECTRICITY,GERMANY,11,11,0.17223366474660248
1,ELECTRICITY,GERMANY,11,12,0.15850353950424037
1,ELECTRICITY,GERMANY,12,1,0.15541280817091624
1,ELECTRICITY,GERMANY,12,2,0.1602672021353655
1,ELECTRICITY,GERMANY,12,3,0.16203651273246084
1,ELECTRICITY,GERMANY,12,4,0.16250119886908365
1,ELECTRICITY,GERMANY,12,5,0.1623204102932707
1,ELECTRICITY,GERMANY,12,6,0.16349548017766916
1,ELECTRICITY,GERMANY,12,7,0.16477410440509768
1,ELECTRICITY,GERMANY,12,8,0.16518262468107645
1,ELECTRICITY,GERMANY,12,9,0.1598901717634466
1,ELECTRICITY,GERMANY,12,10,0.16027428106380864
1,ELECTRICITY,GERMANY,12,11,0.1727324258285381
1,ELECTRICITY,GERMANY,12,12,0.15844778503780926
1,ELECTRICITY,GERMANY,13,1,0.15585931961594762
1,ELECTRICITY,GERMANY,13,2,0.16068105623680842
1,ELECTRICITY,GERMANY,13,3,0.1639373062476162
1,ELECTRICITY,GERMANY,13,4,0.16366167159119593
1,ELECTRICITY,GERMANY,13,5,0.16377329248382455
1,ELECTRICITY,GERMANY,13,6,0.16489585146300298
1,ELECTRICITY,GERMANY,13,7,0.16512346479142873
1,ELECTRICITY,GERMANY,13,8,0.16709995079913326
1,ELECTRICITY,GERMANY,13,9,0.16113971230656354
1,ELECTRICITY,GERMANY,13,10,0.1618893851077419
1,ELECTRICITY,GERMANY,13,11,0.17545020532150565
1,ELECTRICITY,GERMANY,13,12,0.15984830203939568
1,ELECTRICITY,GERMANY,14,1,0.1569457869954361
1,ELECTRICITY,GERMANY,14,2,0.1617537400369265
1,ELECTRICITY,GERMANY,14,3,0.16602799675810248
