k,ct,n,h,td,b
1,ELECTRICITY,GERMANY,8,9,0.16036283822230246
1,ELECTRICITY,GERMANY,8,10,0.15962210477867836
1,ELECTRICITY,GERMANY,8,11,0.17711384149789508
1,ELECTRICITY,GERMANY,8,12,0.15840735073405082
1,ELECTRICITY,GERMANY,9,1,0.15589458903699838
1,ELECTRICITY,GERMANY,9,2,0.15929624750600258
1,ELECTRICITY,GERMANY,9,3,0.15841707631934343
1,ELECTRICITY,GERMANY,9,4,0.16032298183509006
1,ELECTRICITY,GERMANY,9,5,0.15981509222461363
1,ELECTRICITY,GERMANY,9,6,0.16341154954013132
1,ELECTRICITY,GERMANY,9,7,0.1614910965973765
1,ELECTRICITY,GERMANY,9,8,0.1616884975272439
1,ELECTRICITY,GERMANY,9,9,0.15847779095801823
1,ELECTRICITY,GERMANY,9,10,0.15897093440346025
1,ELECTRICITY,GERMANY,9,11,0.17367366215872568
1,ELECTRICITY,GERMANY,9,12,0.15758206655995655
1,ELECTRICITY,GERMANY,10,1,0.15445979151850436
1,ELECTRICITY,GERMANY,10,2,0.15836483153484887
1,ELECTRICITY,GERMANY,10,3,0.15772874318119584
1,ELECTRICITY,GERMANY,10,4,0.15977049495921467
1,ELECTRICITY,GERMANY,10,5,0.15836612751454995
1,ELECTRICITY,GERMANY,10,6,0.1615594509336189
1,ELECTRICITY,GERMANY,10,7,0.15976587832128636
1,ELECTRICITY,GERMANY,10,8,0.15992656222357862
1,ELECTRICITY,GERMANY,10,9,0.156781593783585
1,ELECTRICITY,GERMANY,10,10,0.15743668713468015
1,ELECTRICITY,GERMANY,10,11,0.17121741705068574
1,ELECTRICITY,GERMANY,10,12,0.15704152300087937
1,ELECTRICITY,GERMANY,11,1,0.15301413274570602
1,ELECTRICITY,GERMANY,11,2,0.1580044668405947
1,ELECTRICITY,GERMANY,11,3,0.15806021786435462
1,ELECTRICITY,GERMANY,11,4,0.1599959792702858
1,ELECTRICITY,GERMANY,11,5,0.1586300414193148
1,ELECTRICITY,GERMANY,11,6,0.16081446279764813
1,ELECTRICITY,GERMANY,11,7,0.16201228900788103
1,ELECTRICITY,GERMANY,11,8,0.1611456281608392
1,ELECTRICITY,GERMANY,11,9,0.15735693229828307
1,ELECTRICITY,GERMANY,11,10,0.15782380474384416
1,ELECTRICITY,GERMANY,11,11,0.17010072054131167
1,ELECTRICITY,GERMANY,11,12,0.15654062936933122
1,ELECTRICITY,GERMANY,12,1,0.1534881736977206
1,ELECTRICITY,GERMANY,12,2,0.1582824507768217
1,ELECTRICITY,GERMANY,12,3,0.1600298502057898
1,ELECTRICITY,GERMANY,12,4,0.1604887816625488
1,ELECTRICITY,GERMANY,12,5,0.160310231975084
1,ELECTRICITY,GERMANY,12,6,0.16147074977697043
1,ELECTRICITY,GERMANY,12,7,0.1627335395033991
1,ELECTRICITY,GERMANY,12,8,0.16313700065834788
1,ELECTRICITY,GERMANY,12,9,0.15791008955450364
1,ELECTRICITY,GERMANY,12,10,0.1582894420397122
1,ELECTRICITY,GERMANY,12,11,0.1705933049587659
1,ELECTRICITY,GERMANY,12,12,0.15648556536702204
1,ELECTRICITY,GERMANY,13,1,0.15392915553853276
1,ELECTRICITY,GERMANY,13,2,0.15869117970306262
1,ELECTRICITY,GERMANY,13,3,0.16190710426645136
1,ELECTRICITY,GERMANY,13,4,0.16163488307361876
1,ELECTRICITY,GERMANY,13,5,0.16174512165149219
1,ELECTRICITY,GERMANY,13,6,0.16285377884397137
1,ELECTRICITY,GERMANY,13,7,0.16307857340563264
1,ELECTRICITY,GERMANY,13,8,0.16503058258191647
1,ELECTRICITY,GERMANY,13,9,0.15914415576938956
1,ELECTRICITY,GERMANY,13,10,0.15988454461171187
1,ELECTRICITY,GERMANY,13,11,0.17327742743102667
1,ELECTRICITY,GERMANY,13,12,0.15786873834572338
1,ELECTRICITY,GERMANY,14,1,0.1550021680902167
1,ELECTRICITY,GERMANY,14,2,0.1597505793714232
1,ELECTRICITY,GERMANY,14,3,0.16397190363529607
1,ELECTRICITY,GERMANY,14,4,0.16296321667551267
1,ELECTRICITY,GERMANY,14,5,0.16272573966976556
1,ELECTRICITY,GERMANY,14,6,0.16349286516556777
1,ELECTRICITY,GERMANY,14,7,0.16410511283488172
1,ELECTRICITY,GERMANY,14,8,0.16647754304466644
1,ELECTRICITY,GERMANY,14,9,0.1595378850192743
1,ELECTRICITY,GERMANY,14,10,0.16130694948282942
1,ELECTRICITY,GERMANY,14,11,0.17512461773932264
1,ELECTRICITY,GERMANY,14,12,0.15862965132625753
1,ELECTRICITY,GERMANY,15,1,0.15549224971090442
1,ELECTRICITY,GERMANY,15,2,0.16073752459749274
1,ELECTRICITY,GERMANY,15,3,0.16434105322604323
1,ELECTRICITY,GERMANY,15,4,0.1642950104459094
1,ELECTRICITY,GERMANY,15,5,0.16381311431525492
1,ELECTRICITY,GERMANY,15,6,0.16530406338774423
1,ELECTRICITY,GERMANY,15,7,0.16547679387252304
1,ELECTRICITY,GERMANY,15,8,0.16772055235752897
1,ELECTRICITY,GERMANY,15,9,0.16070215240316213
1,ELECTRICITY,GERMANY,15,10,0.1634992191987491
1,ELECTRICITY,GERMANY,15,11,0.17579899694216874
1,ELECTRICITY,GERMANY,15,12,0.1591486056628041
1,ELECTRICITY,GERMANY,16,1,0.155681636276643
1,ELECTRICITY,GERMANY,16,2,0.16123128571758052
1,ELECTRICITY,GERMANY,16,3,0.16421456730362308
1,ELECTRICITY,GERMANY,16,4,0.16471467261025427
1,ELECTRICITY,GERMANY,16,5,0.16452492319845968
1,ELECTRICITY,GERMANY,16,6,0.16606410815777115
1,ELECTRICITY,GERMANY,16,7,0.1659013850692472
1,ELECTRICITY,GERMANY,16,8,0.16810810770994952
1,ELECTRICITY,GERMANY,16,9,0.16111356357082704
1,ELECTRICITY,GERMANY,16,10,0.16301648021032122
1,ELECTRICITY,GERMANY,16,11,0.1751683688544954
1,ELECTRICITY,GERMANY,16,12,0.1591554118635052
1,ELECTRICITY,GERMANY,17,1,0.15354626481277464
1,ELECTRICITY,GERMANY,17,2,0.15801994929065652
1,ELECTRICITY,GERMANY,17,3,0.1614462326077891
1,ELECTRICITY,GERMANY,17,4,0.164793220914846
1,ELECTRICITY,GERMANY,17,5,0.16593481477453872
1,ELECTRICITY,GERMANY,17,6,0.1662834269119072
1,ELECTRICITY,GERMANY,17,7,0.1668562035112771
1,ELECTRICITY,GERMANY,17,8,0.1678391058107969
1,ELECTRICITY,GERMANY,17,9,0.16204742619719703
1,ELECTRICITY,GERMANY,17,10,0.16285542343710024
1,ELECTRICITY,GERMANY,17,11,0.17021023717099562
1,ELECTRICITY,GERMANY,17,12,0.15707695934733276
1,ELECTRICITY,GERMANY,18,1,0.15436762982697708
1,ELECTRICITY,GERMANY,18,2,0.157324055365375
1,ELECTRICITY,GERMANY,18,3,0.15747896563705263
1,ELECTRICITY,GERMANY,18,4,0.1643589191907311
1,ELECTRICITY,GERMANY,18,5,0.16668460270352267
1,ELECTRICITY,GERMANY,18,6,0.16663938995967856
1,ELECTRICITY,GERMANY,18,7,0.1676823309660384
1,ELECTRICITY,GERMANY,18,8,0.16869045786889492
1,ELECTRICITY,GERMANY,18,9,0.1633144634045923
1,ELECTRICITY,GERMANY,18,10,0.16141445219794814
1,ELECTRICITY,GERMANY,18,11,0.1706566400541063
1,ELECTRICITY,GERMANY,18,12,0.15661689683943958
1,ELECTRICITY,GERMANY,19,1,0.15619254370665642
1,ELECTRICITY,GERMANY,19,2,0.15836236923185257
1,ELECTRICITY,GERMANY,19,3,0.15834785615950975
1,ELECTRICITY,GERMANY,19,4,0.1646972898962674
1,ELECTRICITY,GERMANY,19,5,0.16843307657870518
1,ELECTRICITY,GERMANY,19,6,0.1685165329162955
1,ELECTRICITY,GERMANY,19,7,0.16999881129926714
1,ELECTRICITY,GERMANY,19,8,0.17143659480810222
1,ELECTRICITY,GERMANY,19,9,0.1644404819714595
1,ELECTRICITY,GERMANY,19,10,0.16455178361099343
1,ELECTRICITY,GERMANY,19,11,0.17307766533043434
1,ELECTRICITY,GERMANY,19,12,0.15894952039569657
1,ELECTRICITY,GERMANY,20,1,0.16005632185418717
1,ELECTRICITY,GERMANY,20,2,0.16163312803780816
1,ELECTRICITY,GERMANY,20,3,0.1620665613452444
1,ELECTRICITY,GERMANY,20,4,0.16776824452352748
1,ELECTRICITY,GERMANY,20,5,0.16918968736493853
1,ELECTRICITY,GERMANY,20,6,0.17062022791161988
1,ELECTRICITY,GERMANY,20,7,0.17152229471953237
1,ELECTRICITY,GERMANY,20,8,0.17342230653533364
1,ELECTRICITY,GERMANY,20,9,0.16727880210444504
1,ELECTRICITY,GERMANY,20,10,0.16927004571071225
1,ELECTRICITY,GERMANY,20,11,0.17839109221880034
1,ELECTRICITY,GERMANY,20,12,0.1623263500634602
1,ELECTRICITY,GERMANY,21,1,0.16383655246535817
1,ELECTRICITY,GERMANY,21,2,0.1651063334476208
1,ELECTRICITY,GERMANY,21,3,0.16581239972012077
1,ELECTRICITY,GERMANY,21,4,0.17163958703944904
1,ELECTRICITY,GERMANY,21,5,0.17289612565875528
1,ELECTRICITY,GERMANY,21,6,0.1740726526644982
1,ELECTRICITY,GERMANY,21,7,0.17675503277549398
1,ELECTRICITY,GERMANY,21,8,0.17824255675483797
1,ELECTRICITY,GERMANY,21,9,0.1727692434677244
1,ELECTRICITY,GERMANY,21,10,0.1725971238717202
1,ELECTRICITY,GERMANY,21,11,0.18111296226283707
1,ELECTRICITY,GERMANY,21,12,0.16680241451356112
1,ELECTRICITY,GERMANY,22,1,0.16654875133953786
1,ELECTRICITY,GERMANY,22,2,0.166658620319329
1,ELECTRICITY,GERMANY,22,3,0.16832773759666356
1,ELECTRICITY,GERMANY,22,4,0.1768390233203554
1,ELECTRICITY,GERMANY,22,5,0.1778860323187802
1,ELECTRICITY,GERMANY,22,6,0.17912174646669407
1,ELECTRICITY,GERMANY,22,7,0.1831012919355722
1,ELECTRICITY,GERMANY,22,8,0.18389436153372557
1,ELECTRICITY,GERMANY,22,9,0.17829132927920552
1,ELECTRICITY,GERMANY,22,10,0.1777301745160003
1,ELECTRICITY,GERMANY,22,11,0.18185809748623474
1,ELECTRICITY,GERMANY,22,12,0.17005513019514876
1,ELECTRICITY,GERMANY,23,1,0.17107120635470882
1,ELECTRICITY,GERMANY,23,2,0.17034583193720843
1,ELECTRICITY,GERMANY,23,3,0.17344484433499915
1,ELECTRICITY,GERMANY,23,4,0.18083371428313552
1,ELECTRICITY,GERMANY,23,5,0.18107872922025248
1,ELECTRICITY,GERMANY,23,6,0.18356363384810423
1,ELECTRICITY,GERMANY,23,7,0.18688228018722602
1,ELECTRICITY,GERMANY,23,8,0.187347251042368
1,ELECTRICITY,GERMANY,23,9,0.182280001091648
1,ELECTRICITY,GERMANY,23,10,0.1810907601512918
1,ELECTRICITY,GERMANY,23,11,0.1853770808261509
1,ELECTRICITY,GERMANY,23,12,0.17439345032244324
1,ELECTRICITY,GERMANY,24,1,0.1744922016619385
1,ELECTRICITY,GERMANY,24,2,0.17352120550995936
1,ELECTRICITY,GERMANY,24,3,0.17848191266108365
1,ELECTRICITY,GERMANY,24,4,0.18363749073735885
1,ELECTRICITY,GERMANY,24,5,0.18445895525176423
1,ELECTRICITY,GERMANY,24,6,0.18588027855240083
1,ELECTRICITY,GERMANY,24,7,0.18948620099556795
1,ELECTRICITY,GERMANY,24,8,0.19046437019845225
1,ELECTRICITY,GERMANY,24,9,0.18481145017539127
1,ELECTRICITY,GERMANY,24,10,0.18447741855554725
1,ELECTRICITY,GERMANY,24,11,0.18767611180243313
1,ELECTRICITY,GERMANY,24,12,0.17908875915851633
1,HEAT_HIGH_T,GERMANY,1,1,0.48616240652008663
1,HEAT_HIGH_T,GERMANY,1,2,0.48616240652008663
1,HEAT_HIGH_T,GERMANY,1,3,0.48616240652008663
1,HEAT_HIGH_T,GERMANY,1,4,0.48616240652008663
1,HEAT_HIGH_T,GERMANY,1,5,0.48616240652008663
1,HEAT_HIGH_T,GERMANY,1,6,0.48616240652008663
1,HEAT_HIGH_T,GERMANY,1,7,0.48616240652008663
1,HEAT_HIGH_T,GERMANY,1,8,0.48616240652008663
1,HEAT_HIGH_T,GERMANY,1,9,0.48616240652008663
1,HEAT_HIGH_T,GERMANY,1,10,0.48616240652008663
1,HEAT_HIGH_T,GERMANY,1,11,0.48616240652008663
1,HEAT_HIGH_T,GERMANY,1,12,0.48616240652008663
1,HEAT_HIGH_T,GERMANY,2,1,0.48616240652008663
1,HEAT_HIGH_T,GERMANY,2,2,0.48616240652008663
1,HEAT_HIGH_T,GERMANY,2,3,0.48616240652008663
1,HEAT_HIGH_T,GERMANY,2,4,0.48616240652008663
1,HEAT_HIGH_T,GERMANY,2,5,0.48616240652008663
1,HEAT_HIGH_T,GERMANY,2,6,0.48616240652008663
1,HEAT_HIGH_T,GERMANY,2,7,0.48616240652008663
1,HEAT_HIGH_T,GERMANY,2,8,0.48616240652008663
1,HEAT_HIGH_T,GERMANY,2,9,0.48616240652008663
1,HEAT_HIGH_T,GERMANY,2,10,0.48616240652008663
1,HEAT_HIGH_T,GERMANY,2,11,0.48616240652008663
1,HEAT_HIGH_T,GERMANY,2,12,0.48616240652008663
1,HEAT_HIGH_T,GERMANY,3,1,0.48616240652008663
1,HEAT_HIGH_T,GERMANY,3,2,0.48616240652008663
1,HEAT_HIGH_T,GERMANY,3,3,0.48616240652008663
1,HEAT_HIGH_T,GERMANY,3,4,0.48616240652008663
