param c_p_t :=
["PV",*,*]:	1	2	3	4	5	6	7	8	9	10	11	12	:=
14	0.3928215058	0.3133892208	0.5320258416	1.0591352554	0.8178475457	0.7615932943	0.2480884583	0.3302491796	0.2280425412	0.401054712	0.3303669153	0.2713719097	
15	0.3922733621	0.3135651682	0.5329914077	1.0591352554	0.8174193761	0.7603862234	0.2527290405	0.3299887302	0.225360013	0.4016322156	0.3304529545	0.270986916	
16	0.3917794963	0.3137145129	0.5337651202	1.0591352554	0.8168007303	0.7593615164	0.2580907084	0.3295759788	0.2236059152	0.4018048997	0.3305709325	0.2706704873	
17	0.3913414611	0.3138603547	0.5340910801	1.0591352554	0.81599304	0.7588616091	0.2657519301	0.3286821807	0.2203291264	0.4020493885	0.3306388119	0.2704584011	
18	0.3909463862	0.3139972052	0.5342923097	1.0591352554	0.8153827959	0.7587757472	0.2714053488	0.3278458439	0.2158301569	0.4022630178	0.3306768846	0.2703066823	
19	0.3906581906	0.3141383378	0.5345163331	1.0591352554	0.8148099713	0.7591558271	0.2736906978	0.3278810888	0.2105343891	0.4024311439	0.3307409532	0.2703410916	
20	0.3903844879	0.3142753978	0.534732634	1.0591352554	0.8142033585	0.7592971305	0.2752920204	0.3287551979	0.2057122717	0.4025903311	0.3307244163	0.2703436096	
21	0.3903071026	0.3144118419	0.534962671	1.0591352554	0.8136243205	0.759447621	0.2770111457	0.329543554	0.201458919	0.4027666087	0.3306404147	0.2705127833	
22	0.3903848764	0.3145457891	0.5352001916	1.0591352554	0.8129842144	0.7594930591	0.2782924105	0.330381138	0.197842224	0.4029311036	0.3303316711	0.2707802884	
23	0.3905172203	0.3146841996	0.5354927396	1.0591352554	0.8123568716	0.7593946811	0.2793246531	0.3312900778	0.1948833723	0.4031083472	0.3299750668	0.2710895571	
24	0.3907000995	0.3148213055	0.5357976879	1.0591352554	0.8117538421	0.7593146324	0.2798031343	0.3317846646	0.1926535299	0.4032873392	0.3293525419	0.27134407	

["DHN_SOLAR",*,*]:	1	2	3	4	5	6	7	8	9	10	11	12	:=
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
8	0.0	0.0	0.0	0.0002015265	0.0273525476	0.0001659494	0.0027742325	0.0087109369	0.0122324386	0.0	0.0	0.0	
9	0.0	0.0	0.0	0.0452145922	0.1499511355	0.023015284	0.0258928224	0.0701458111	0.1444600779	0.0036527075	0.0	0.0	
10	0.0	0.0069392008	0.0874492768	0.1282345237	0.2670469938	0.0759342485	0.0718623368	0.1496234796	0.2597033422	0.0348710937	0.0045181693	0.004643306	
11	0.0041805361	0.0537271957	0.2267897121	0.2252014187	0.3587233516	0.1137332268	0.1079563962	0.2223934529	0.3589073867	0.092838451	0.0319176445	0.0402524266	
12	0.0120617808	0.1194390411	0.3198871049	0.2462204591	0.4052596085	0.0965001127	0.1349451356	0.2752695983	0.4204183225	0.123361368	0.0520799622	0.0544708683	
13	0.02024866	0.1567495745	0.3598107969	0.2375206108	0.4224508064	0.0912241091	0.1332268998	0.274286003	0.4216098846	0.1678541642	0.0574620779	0.0461720295	
14	0.0162460642	0.1540651034	0.344303149	0.2032489027	0.3905587415	0.0720616342	0.1046295286	0.2593047056	0.3786608511	0.1521010119	0.0558290322	0.0212030103	
15	0.0104278012	0.097258339	0.2768089008	0.1534354795	0.3112129405	0.0646887168	0.0786842721	0.1854653899	0.2851176685	0.1056501506	0.0272704509	0.0041236916	
16	0.0033761339	0.0379443007	0.1673642938	0.0874910782	0.1913209679	0.0394281792	0.0428052659	0.1041933166	0.1728279636	0.0380647437	0.0018132213	0.0019102654	
17	0.0	0.0085787263	0.0666034038	0.0195642211	0.065108247	0.0135389455	0.0084155653	0.0270476893	0.0569468759	1.55139e-05	0.0	0.0	
18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	

["DEC_SOLAR",*,*]:	1	2	3	4	5	6	7	8	9	10	11	12	:=
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
8	0.0	0.0	0.0	0.0002015265	0.0273525476	0.0001659494	0.0027742325	0.0087109369	0.0122324386	0.0	0.0	0.0	
9	0.0	0.0	0.0	0.0452145922	0.1499511355	0.023015284	0.0258928224	0.0701458111	0.1444600779	0.0036527075	0.0	0.0	
10	0.0	0.0069392008	0.0874492768	0.1282345237	0.2670469938	0.0759342485	0.0718623368	0.1496234796	0.2597033422	0.0348710937	0.0045181693	0.004643306	
11	0.0041805361	0.0537271957	0.2267897121	0.2252014187	0.3587233516	0.1137332268	0.1079563962	0.2223934529	0.3589073867	0.092838451	0.0319176445	0.0402524266	
12	0.0120617808	0.1194390411	0.3198871049	0.2462204591	0.4052596085	0.0965001127	0.1349451356	0.2752695983	0.4204183225	0.123361368	0.0520799622	0.0544708683	
13	0.02024866	0.1567495745	0.3598107969	0.2375206108	0.4224508064	0.0912241091	0.1332268998	0.274286003	0.4216098846	0.1678541642	0.0574620779	0.0461720295	
14	0.0162460642	0.1540651034	0.344303149	0.2032489027	0.3905587415	0.0720616342	0.1046295286	0.2593047056	0.3786608511	0.1521010119	0.0558290322	0.0212030103	
15	0.0104278012	0.097258339	0.2768089008	0.1534354795	0.3112129405	0.0646887168	0.0786842721	0.1854653899	0.2851176685	0.1056501506	0.0272704509	0.0041236916	
16	0.0033761339	0.0379443007	0.1673642938	0.0874910782	0.1913209679	0.0394281792	0.0428052659	0.1041933166	0.1728279636	0.0380647437	0.0018132213	0.0019102654	
17	0.0	0.0085787263	0.0666034038	0.0195642211	0.065108247	0.0135389455	0.0084155653	0.0270476893	0.0569468759	1.55139e-05	0.0	0.0	
18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	

;

param electricity_time_series :	1	2	3	4	5	6	7	8	9	10	11	12	:=
1	0.0001095803	0.0001089513	0.0001088054	0.0001040859	0.0001030144	0.0001005933	0.0001013586	0.0001012552	0.0001034371	0.0001039746	0.0001033239	0.0001056883	
2	0.0001086734	0.000107824	0.0001080932	0.0001042279	0.0001031005	0.0001011963	0.000101458	0.0001013231	0.0001034881	0.0001042463	0.0001025208	0.0001051031	
3	0.000108661	0.0001072989	0.0001083469	0.0001050848	0.0001042609	0.0001020236	0.0001025201	0.0001018176	0.0001041194	0.000105333	0.000102235	0.0001053236	
4	0.0001090237	0.000107363	0.000108712	0.0001075879	0.0001069478	0.0001046124	0.0001047832	0.0001050215	0.000107453	0.0001075751	0.0001019583	0.0001062064	
5	0.0001109426	0.0001089706	0.0001111614	0.0001134568	0.0001121892	0.0001102905	0.0001102245	0.0001107483	0.000112966	0.0001138914	0.0001017805	0.0001087495	
6	0.0001164234	0.0001144235	0.0001171556	0.000117082	0.0001166097	0.000114567	0.0001145858	0.0001149087	0.0001169506	0.0001182878	0.0001029938	0.0001151531	
7	0.0001217937	0.0001193912	0.0001215432	0.0001192851	0.0001194274	0.0001166726	0.0001166895	0.0001173255	0.0001196463	0.0001206457	0.0001053007	0.0001204672	
8	0.0001243186	0.000120999	0.0001224757	0.0001198329	0.0001203434	0.0001172413	0.0001177098	0.000118394	0.0001206755	0.0001212355	0.0001092623	0.0001221652	
9	0.0001241343	0.0001214835	0.0001221577	0.0001207055	0.0001210891	0.0001184241	0.0001198324	0.0001196861	0.0001221109	0.0001217321	0.0001114266	0.000122805	
10	0.0001252874	0.000122198	0.0001226908	0.0001211229	0.000122197	0.0001197817	0.0001211264	0.0001210047	0.000123432	0.0001229184	0.0001130251	0.0001232277	
11	0.0001264711	0.0001224767	0.0001224335	0.0001209522	0.0001219937	0.0001203366	0.0001194469	0.0001200893	0.0001229807	0.0001226169	0.0001137671	0.000123622	
12	0.0001260805	0.0001222616	0.0001209266	0.0001205808	0.0001207151	0.0001198475	0.0001189175	0.0001186234	0.0001225499	0.0001222562	0.0001134386	0.0001236655	
13	0.0001257193	0.0001219467	0.0001195245	0.0001197258	0.0001196442	0.0001188297	0.0001186659	0.0001172623	0.0001215996	0.0001210365	0.0001116814	0.000122582	
14	0.000124849	0.000121138	0.0001180194	0.0001187499	0.0001189232	0.0001183652	0.0001179236	0.0001162431	0.0001212995	0.0001199692	0.0001105034	0.000121994	
15	0.0001244555	0.0001203942	0.0001177543	0.0001177873	0.0001181338	0.0001170683	0.0001169461	0.0001153816	0.0001204207	0.0001183606	0.0001100795	0.0001215962	
16	0.0001243041	0.0001200255	0.000117845	0.0001174872	0.0001176227	0.0001165325	0.0001166468	0.0001151156	0.0001201132	0.0001187111	0.0001104758	0.000121591	
17	0.0001260328	0.0001224647	0.0001198657	0.0001174312	0.0001166233	0.0001163788	0.0001159793	0.0001153001	0.000119421	0.0001188285	0.0001136939	0.0001231999	
18	0.0001253622	0.0001230064	0.0001228854	0.0001177415	0.0001160987	0.0001161302	0.0001154079	0.0001147182	0.0001184945	0.0001198893	0.0001133965	0.0001235618	
19	0.0001238975	0.0001221999	0.0001222111	0.0001174996	0.0001148935	0.0001148366	0.0001138353	0.0001128806	0.0001176831	0.0001176035	0.0001118103	0.0001217485	
20	0.0001209066	0.0001197271	0.0001194069	0.0001153488	0.0001143797	0.0001134207	0.0001128242	0.0001115881	0.0001156863	0.0001143254	0.00010848	0.0001192158	
21	0.0001181169	0.0001172085	0.0001167094	0.0001127471	0.0001119277	0.0001111712	0.0001094841	0.0001085704	0.0001120099	0.0001121216	0.0001068497	0.0001160167	
22	0.0001161934	0.0001161168	0.0001149654	0.0001094321	0.000108788	0.0001080375	0.0001056894	0.0001052336	0.0001085407	0.0001088834	0.0001064119	0.0001137976	
23	0.0001131217	0.0001136034	0.0001115736	0.0001070147	0.0001068699	0.0001054232	0.0001035511	0.0001032941	0.0001061656	0.0001068628	0.0001043919	0.0001109667	
24	0.0001109039	0.0001115245	0.0001084248	0.0001053808	0.0001049115	0.0001041093	0.0001021281	0.0001016036	0.0001047114	0.000104901	0.0001031131	0.0001080574	
;

param heating_time_series :	1	2	3	4	5	6	7	8	9	10	11	12	:=
1	0.0001372504	0.0001738336	0.0001226257	9.45361e-05	3.54385e-05	9.41569e-05	3.04876e-05	3.39314e-05	3.04681e-05	7.28152e-05	0.0001252834	0.0001291711	
2	0.0001387525	0.0001758504	0.0001239221	0.0001009782	3.59383e-05	0.0001005609	3.04897e-05	3.42797e-05	3.04682e-05	7.70733e-05	0.0001280161	0.0001305596	
3	0.0001496406	0.0001904687	0.000133319	0.0001222215	3.75867e-05	0.0001216784	3.04965e-05	3.54283e-05	3.04685e-05	9.11146e-05	0.0001398285	0.0001406239	
4	0.0001855447	0.0002386733	0.0001643058	0.0001595968	4.04867e-05	0.0001588326	3.05084e-05	3.74492e-05	3.0469e-05	0.0001158188	0.0001724267	0.0001738114	
5	0.0002487143	0.0003234844	0.0002188239	0.0001690892	4.12232e-05	0.0001682688	3.05114e-05	3.79624e-05	3.04691e-05	0.0001220931	0.0002220727	0.0002322016	
6	0.0002647578	0.0003450243	0.0002326702	0.0001620719	4.06787e-05	0.000161293	3.05092e-05	3.7583e-05	3.0469e-05	0.0001174548	0.0002354057	0.0002470312	
