k,ct,n,h,td,b
1,ELECTRICITY,GERMANY,9,11,0.17092871080770952
1,ELECTRICITY,GERMANY,9,12,0.1550914465020669
1,ELECTRICITY,GERMANY,10,1,0.15201851972094824
1,ELECTRICITY,GERMANY,10,2,0.15586183970021053
1,ELECTRICITY,GERMANY,10,3,0.1552358048662681
1,ELECTRICITY,GERMANY,10,4,0.15724528629752366
1,ELECTRICITY,GERMANY,10,5,0.15586311519666055
1,ELECTRICITY,GERMANY,10,6,0.1590059674197839
1,ELECTRICITY,GERMANY,10,7,0.15724074262659773
1,ELECTRICITY,GERMANY,10,8,0.15739888688361964
1,ELECTRICITY,GERMANY,10,9,0.15430362537823522
1,ELECTRICITY,GERMANY,10,10,0.15494836483135419
1,ELECTRICITY,GERMANY,10,11,0.16851128720687994
1,ELECTRICITY,GERMANY,10,12,0.1545594463557003
1,ELECTRICITY,GERMANY,11,1,0.15059570991069365
1,ELECTRICITY,GERMANY,11,2,0.15550717065112243
1,ELECTRICITY,GERMANY,11,3,0.15556204051739375
1,ELECTRICITY,GERMANY,11,4,0.15746720677826714
1,ELECTRICITY,GERMANY,11,5,0.15612285788271302
1,ELECTRICITY,GERMANY,11,6,0.1582727539891133
1,ELECTRICITY,GERMANY,11,7,0.1594516482862789
1,ELECTRICITY,GERMANY,11,8,0.15859868520914291
1,ELECTRICITY,GERMANY,11,9,0.15486987053811146
1,ELECTRICITY,GERMANY,11,10,0.15532936395950583
1,ELECTRICITY,GERMANY,11,11,0.1674122403373763
1,ELECTRICITY,GERMANY,11,12,0.15406646946082678
1,ELECTRICITY,GERMANY,12,1,0.15106225853868227
1,ELECTRICITY,GERMANY,12,2,0.15578076098862056
1,ELECTRICITY,GERMANY,12,3,0.157500542376006
1,ELECTRICITY,GERMANY,12,4,0.15795222031771497
1,ELECTRICITY,GERMANY,12,5,0.1577764926482795
1,ELECTRICITY,GERMANY,12,6,0.15891866820489642
1,ELECTRICITY,GERMANY,12,7,0.16016149925525114
1,ELECTRICITY,GERMANY,12,8,0.16055858361576492
1,ELECTRICITY,GERMANY,12,9,0.15541428501929686
1,ELECTRICITY,GERMANY,12,10,0.15578764175302626
1,ELECTRICITY,GERMANY,12,11,0.16789703934715636
1,ELECTRICITY,GERMANY,12,12,0.15401227575747745
1,ELECTRICITY,GERMANY,13,1,0.1514962705621677
1,ELECTRICITY,GERMANY,13,2,0.1561830298621146
1,ELECTRICITY,GERMANY,13,3,0.15934812601338078
1,ELECTRICITY,GERMANY,13,4,0.15908020733781963
1,ELECTRICITY,GERMANY,13,5,0.1591887035701382
1,ELECTRICITY,GERMANY,13,6,0.16027983818596134
1,ELECTRICITY,GERMANY,13,7,0.16050107981893982
1,ELECTRICITY,GERMANY,13,8,0.16242223705049555
1,ELECTRICITY,GERMANY,13,9,0.1566288465396788
1,ELECTRICITY,GERMANY,13,10,0.15735753336957303
1,ELECTRICITY,GERMANY,13,11,0.17053873865913508
1,ELECTRICITY,GERMANY,13,12,0.15537358737568585
1,ELECTRICITY,GERMANY,14,1,0.15255232390877238
1,ELECTRICITY,GERMANY,14,2,0.15722568548008323
1,ELECTRICITY,GERMANY,14,3,0.16138029076309768
1,ELECTRICITY,GERMANY,14,4,0.16038754632792387
1,ELECTRICITY,GERMANY,14,5,0.16015382269974512
1,ELECTRICITY,GERMANY,14,6,0.1609088236042885
1,ELECTRICITY,GERMANY,14,7,0.16151139456127805
1,ELECTRICITY,GERMANY,14,8,0.1638463279771989
1,ELECTRICITY,GERMANY,14,9,0.15701635281008025
1,ELECTRICITY,GERMANY,14,10,0.15875745681130093
1,ELECTRICITY,GERMANY,14,11,0.17235673370852236
1,ELECTRICITY,GERMANY,14,12,0.15612247395516438
1,ELECTRICITY,GERMANY,15,1,0.15303465967905255
1,ELECTRICITY,GERMANY,15,2,0.15819703181454198
1,ELECTRICITY,GERMANY,15,3,0.16174360586141082
1,ELECTRICITY,GERMANY,15,4,0.1616982907977883
1,ELECTRICITY,GERMANY,15,5,0.1612240111440276
1,ELECTRICITY,GERMANY,15,6,0.16269139543058475
1,ELECTRICITY,GERMANY,15,7,0.16286139587114346
1,ELECTRICITY,GERMANY,15,8,0.16506969124787943
1,ELECTRICITY,GERMANY,15,9,0.15816221868571043
1,ELECTRICITY,GERMANY,15,10,0.16091507721054413
1,ELECTRICITY,GERMANY,15,11,0.1730204541961612
