pt,n,h,td,val
CCGT,GERMANY,9,12,6.205101519783294e-10
CCGT,GERMANY,10,1,1.062774632424512e-09
CCGT,GERMANY,10,2,2.041790240677548e-08
CCGT,GERMANY,10,3,1.855985734551034e-08
CCGT,GERMANY,10,4,2.362707185258114e-08
CCGT,GERMANY,10,5,1.312028526328116e-09
CCGT,GERMANY,10,6,3.177374011863182e-09
CCGT,GERMANY,10,7,2.400309852703122e-08
CCGT,GERMANY,10,8,9.302931578241416e-10
CCGT,GERMANY,10,9,2.172255991391332e-08
CCGT,GERMANY,10,10,1.102147606860655e-09
CCGT,GERMANY,10,11,2.349114500758288e-08
CCGT,GERMANY,10,12,6.205062240219478e-10
CCGT,GERMANY,11,1,1.06277295852499e-09
CCGT,GERMANY,11,2,2.041799838277812e-08
CCGT,GERMANY,11,3,1.855992901004278e-08
CCGT,GERMANY,11,4,6.332756961972217e-09
CCGT,GERMANY,11,5,9.442380709528413e-10
CCGT,GERMANY,11,6,3.196170122967537e-09
CCGT,GERMANY,11,7,2.400313078577915e-08
CCGT,GERMANY,11,8,9.302906608274732e-10
CCGT,GERMANY,11,9,2.172262906681562e-08
CCGT,GERMANY,11,10,1.102146941905408e-09
CCGT,GERMANY,11,11,2.349111901612067e-08
CCGT,GERMANY,11,12,6.205021760581898e-10
CCGT,GERMANY,12,1,1.062771267153746e-09
CCGT,GERMANY,12,2,2.041809562903752e-08
CCGT,GERMANY,12,3,1.856000104820865e-08
CCGT,GERMANY,12,4,6.335150950603132e-09
CCGT,GERMANY,12,5,8.048144502784927e-10
CCGT,GERMANY,12,6,3.215341987463584e-09
CCGT,GERMANY,12,7,1.388144856511563e-08
CCGT,GERMANY,12,8,9.007134132482708e-10
CCGT,GERMANY,12,9,2.17226963810779e-08
CCGT,GERMANY,12,10,1.102146246800472e-09
CCGT,GERMANY,12,11,2.349109255472119e-08
CCGT,GERMANY,12,12,6.20497963893217e-10
CCGT,GERMANY,13,1,1.062769557177978e-09
CCGT,GERMANY,13,2,2.041819397940268e-08
CCGT,GERMANY,13,3,1.856007337095472e-08
CCGT,GERMANY,13,4,5.250269478639783e-09
CCGT,GERMANY,13,5,8.048144995558652e-10
CCGT,GERMANY,13,6,3.215346703626991e-09
CCGT,GERMANY,13,7,1.509882005979357e-08
CCGT,GERMANY,13,8,5.137730636760832e-10
CCGT,GERMANY,13,9,2.172276159129551e-08
CCGT,GERMANY,13,10,1.102145525717909e-09
CCGT,GERMANY,13,11,2.349106433180912e-08
CCGT,GERMANY,13,12,6.204935904215927e-10
CCGT,GERMANY,14,1,1.06276782288543e-09
CCGT,GERMANY,14,2,2.041829320723087e-08
CCGT,GERMANY,14,3,1.856014603842626e-08
CCGT,GERMANY,14,4,5.492237082025923e-09
CCGT,GERMANY,14,5,8.048145320590605e-10
CCGT,GERMANY,14,6,3.215351205853433e-09
CCGT,GERMANY,14,7,1.633612817684897e-08
CCGT,GERMANY,14,8,5.137720095984919e-10
CCGT,GERMANY,14,9,2.172283195191094e-08
CCGT,GERMANY,14,10,1.102144770614427e-09
CCGT,GERMANY,14,11,2.349103462161265e-08
CCGT,GERMANY,14,12,6.204890267083537e-10
CCGT,GERMANY,15,1,1.062766066830435e-09
CCGT,GERMANY,15,2,2.041839384697997e-08
CCGT,GERMANY,15,3,1.85602208174548e-08
CCGT,GERMANY,15,4,5.749902026310085e-09
CCGT,GERMANY,15,5,8.048145387908416e-10
CCGT,GERMANY,15,6,3.215355006072574e-09
CCGT,GERMANY,15,7,1.754672876506211e-08
CCGT,GERMANY,15,8,5.137711199657299e-10
CCGT,GERMANY,15,9,2.172290224399547e-08
CCGT,GERMANY,15,10,1.102143984615683e-09
CCGT,GERMANY,15,11,2.349100369072566e-08
CCGT,GERMANY,15,12,1.097334676697554e-09
CCGT,GERMANY,16,1,1.062764289720875e-09
CCGT,GERMANY,16,2,2.041849656668666e-08
CCGT,GERMANY,16,3,1.856029610405979e-08
CCGT,GERMANY,16,4,6.033620067681861e-09
CCGT,GERMANY,16,5,8.04814544408298e-10
CCGT,GERMANY,16,6,3.215364057375646e-09
