st,n,h,td,val
AMMONIA,GERMANY,9,4,1.819921381796584e-09
AMMONIA,GERMANY,9,5,1.769368153520677e-09
AMMONIA,GERMANY,9,6,4.246483298534276e-09
AMMONIA,GERMANY,9,7,1.67624381448023e-09
AMMONIA,GERMANY,9,8,1.117495883567191e-09
AMMONIA,GERMANY,9,9,2.769446343849339e-09
AMMONIA,GERMANY,9,10,2.449894368920235e-09
AMMONIA,GERMANY,9,11,1.873448622553722e-09
AMMONIA,GERMANY,9,12,1.355260634136951e-09
AMMONIA,GERMANY,10,1,2.359157218824333e-09
AMMONIA,GERMANY,10,2,3.746896974891228e-09
AMMONIA,GERMANY,10,3,6.369724072774875e-09
AMMONIA,GERMANY,10,4,1.819921382018719e-09
AMMONIA,GERMANY,10,5,1.769368153753612e-09
AMMONIA,GERMANY,10,6,4.246483299032332e-09
AMMONIA,GERMANY,10,7,1.676243814464771e-09
AMMONIA,GERMANY,10,8,1.117495883568355e-09
AMMONIA,GERMANY,10,9,2.7694463439747e-09
AMMONIA,GERMANY,10,10,2.449894368835532e-09
AMMONIA,GERMANY,10,11,1.873448622328199e-09
AMMONIA,GERMANY,10,12,1.355260633981309e-09
AMMONIA,GERMANY,11,1,2.359157218666785e-09
AMMONIA,GERMANY,11,2,3.746896974483381e-09
AMMONIA,GERMANY,11,3,6.36972407271643e-09
AMMONIA,GERMANY,11,4,1.819921382240853e-09
AMMONIA,GERMANY,11,5,1.769368153986969e-09
AMMONIA,GERMANY,11,6,4.246483299535893e-09
AMMONIA,GERMANY,11,7,1.676243814448889e-09
AMMONIA,GERMANY,11,8,1.117495883616107e-09
AMMONIA,GERMANY,11,9,2.769446344099213e-09
AMMONIA,GERMANY,11,10,2.449894368751676e-09
AMMONIA,GERMANY,11,11,1.873448622102253e-09
AMMONIA,GERMANY,11,12,1.355260633825879e-09
AMMONIA,GERMANY,12,1,2.359157218510507e-09
AMMONIA,GERMANY,12,2,3.746896974075958e-09
AMMONIA,GERMANY,12,3,6.369724072659679e-09
AMMONIA,GERMANY,12,4,1.819921382377225e-09
AMMONIA,GERMANY,12,5,1.769368154221174e-09
AMMONIA,GERMANY,12,6,4.246483300037336e-09
AMMONIA,GERMANY,12,7,1.676243814432584e-09
AMMONIA,GERMANY,12,8,1.117495883667246e-09
AMMONIA,GERMANY,12,9,2.769446344223304e-09
AMMONIA,GERMANY,12,10,2.44989436866909e-09
AMMONIA,GERMANY,12,11,1.873448621875884e-09
AMMONIA,GERMANY,12,12,1.35526063367066e-09
AMMONIA,GERMANY,13,1,2.3591572183555e-09
AMMONIA,GERMANY,13,2,3.746896973666842e-09
AMMONIA,GERMANY,13,3,6.369724072603775e-09
AMMONIA,GERMANY,13,4,1.819921382598724e-09
AMMONIA,GERMANY,13,5,1.769368154453472e-09
AMMONIA,GERMANY,13,6,4.246483300537509e-09
AMMONIA,GERMANY,13,7,1.676243814319717e-09
AMMONIA,GERMANY,13,8,1.117495883718386e-09
AMMONIA,GERMANY,13,9,2.769446344346124e-09
AMMONIA,GERMANY,13,10,2.449894368587351e-09
AMMONIA,GERMANY,13,11,1.873448621648879e-09
AMMONIA,GERMANY,13,12,1.355260633515653e-09
AMMONIA,GERMANY,14,1,2.359157218200493e-09
AMMONIA,GERMANY,14,2,3.746896973257301e-09
AMMONIA,GERMANY,14,3,6.369724072548718e-09
AMMONIA,GERMANY,14,4,1.819921382819588e-09
AMMONIA,GERMANY,14,5,1.769368154688736e-09
AMMONIA,GERMANY,14,6,4.246483301044458e-09
AMMONIA,GERMANY,14,7,1.676243814309764e-09
AMMONIA,GERMANY,14,8,1.117495883761373e-09
AMMONIA,GERMANY,14,9,2.76944634446852e-09
AMMONIA,GERMANY,14,10,2.44989436850646e-09
AMMONIA,GERMANY,14,11,1.87344862142145e-09
AMMONIA,GERMANY,14,12,1.355260633376316e-09
AMMONIA,GERMANY,15,1,2.359157218046333e-09
AMMONIA,GERMANY,15,2,3.746896972846067e-09
AMMONIA,GERMANY,15,3,6.369724072495354e-09
AMMONIA,GERMANY,15,4,1.819921383040452e-09
AMMONIA,GERMANY,15,5,1.769368154923999e-09
AMMONIA,GERMANY,15,6,4.246483301553525e-09
AMMONIA,GERMANY,15,7,1.676243814299812e-09
AMMONIA,GERMANY,15,8,1.117495883821512e-09
AMMONIA,GERMANY,15,9,2.769446344590493e-09
AMMONIA,GERMANY,15,10,2.449894368426415e-09
AMMONIA,GERMANY,15,11,1.873448621193175e-09
AMMONIA,GERMANY,15,12,1.355260633222368e-09
AMMONIA,GERMANY,16,1,2.359157217893444e-09
AMMONIA,GERMANY,16,2,3.746896972433985e-09
AMMONIA,GERMANY,16,3,6.369724072441144e-09
AMMONIA,GERMANY,16,4,1.819921383260892e-09
AMMONIA,GERMANY,16,5,1.769368155160957e-09
AMMONIA,GERMANY,16,6,4.246483302067251e-09
AMMONIA,GERMANY,16,7,1.676243814289859e-09
AMMONIA,GERMANY,16,8,1.117495883873181e-09
AMMONIA,GERMANY,16,9,2.769446344711618e-09
AMMONIA,GERMANY,16,10,2.449894368347217e-09
AMMONIA,GERMANY,16,11,1.873448620964264e-09
AMMONIA,GERMANY,16,12,1.355260633125806e-09
AMMONIA,GERMANY,17,1,2.359157217741402e-09
AMMONIA,GERMANY,17,2,3.74689697202148e-09
AMMONIA,GERMANY,17,3,6.369724072389475e-09
AMMONIA,GERMANY,17,4,1.819921383481121e-09
AMMONIA,GERMANY,17,5,1.769368155396855e-09
AMMONIA,GERMANY,17,6,4.246483302608081e-09
AMMONIA,GERMANY,17,7,1.676243814280118e-09
AMMONIA,GERMANY,17,8,1.11749588392538e-09
AMMONIA,GERMANY,17,9,2.769446344831473e-09
AMMONIA,GERMANY,17,10,2.449894368268867e-09
AMMONIA,GERMANY,17,11,1.87344862073493e-09
AMMONIA,GERMANY,17,12,1.355260632972916e-09
AMMONIA,GERMANY,18,1,2.359157217590206e-09
AMMONIA,GERMANY,18,2,3.746896971608975e-09
AMMONIA,GERMANY,18,3,6.369724072335265e-09
AMMONIA,GERMANY,18,4,1.819921383710879e-09
AMMONIA,GERMANY,18,5,1.769368155633389e-09
AMMONIA,GERMANY,18,6,4.246483304996291e-09
AMMONIA,GERMANY,18,7,1.676243814329034e-09
AMMONIA,GERMANY,18,8,1.117495884029988e-09
AMMONIA,GERMANY,18,9,2.769446344951329e-09
AMMONIA,GERMANY,18,10,2.449894368191787e-09
AMMONIA,GERMANY,18,11,1.873448620505384e-09
AMMONIA,GERMANY,18,12,1.35526063282045e-09
AMMONIA,GERMANY,19,1,2.359157217439434e-09
AMMONIA,GERMANY,19,2,3.746896971196046e-09
AMMONIA,GERMANY,19,3,6.369724072283596e-09
AMMONIA,GERMANY,19,4,1.819921383941272e-09
AMMONIA,GERMANY,19,5,1.769368155869923e-09
AMMONIA,GERMANY,19,6,4.246483305555756e-09
AMMONIA,GERMANY,19,7,1.676243814310611e-09
AMMONIA,GERMANY,19,8,1.117495884134703e-09
AMMONIA,GERMANY,19,9,2.769446345070337e-09
AMMONIA,GERMANY,19,10,2.449894368115554e-09
AMMONIA,GERMANY,19,11,1.873448620275415e-09
AMMONIA,GERMANY,19,12,1.355260632667773e-09
AMMONIA,GERMANY,20,1,2.359157217289509e-09
AMMONIA,GERMANY,20,2,3.746896970782271e-09
AMMONIA,GERMANY,20,3,6.369724072233621e-09
AMMONIA,GERMANY,20,4,1.819921384099243e-09
AMMONIA,GERMANY,20,5,1.769368156107093e-09
AMMONIA,GERMANY,20,6,4.246483306117339e-09
AMMONIA,GERMANY,20,7,1.676243814291765e-09
