p,n,h,td,dual_raw
AMMONIA,GERMANY,11,7,2.036089066578822
AMMONIA,GERMANY,11,8,3.05413363897622
AMMONIA,GERMANY,11,9,1.232369718799268
AMMONIA,GERMANY,11,10,1.393113474370124
AMMONIA,GERMANY,11,11,1.821763731303459
AMMONIA,GERMANY,11,12,2.518320405866036
AMMONIA,GERMANY,12,1,1.446694675669811
AMMONIA,GERMANY,12,2,0.9108818416747062
AMMONIA,GERMANY,12,3,0.5358128366789303
AMMONIA,GERMANY,12,4,1.875345084018758
AMMONIA,GERMANY,12,5,1.928926430695468
AMMONIA,GERMANY,12,6,0.8037193287614367
AMMONIA,GERMANY,12,7,2.036089066547149
AMMONIA,GERMANY,12,8,3.054133638977747
AMMONIA,GERMANY,12,9,1.232369718793276
AMMONIA,GERMANY,12,10,1.393113474375404
AMMONIA,GERMANY,12,11,1.82176373125352
AMMONIA,GERMANY,12,12,2.518320405791674
AMMONIA,GERMANY,13,1,1.446694675668403
AMMONIA,GERMANY,13,2,0.9108818416195049
AMMONIA,GERMANY,13,3,0.5358128367038776
AMMONIA,GERMANY,13,4,1.875345084128053
AMMONIA,GERMANY,13,5,1.928926430795667
AMMONIA,GERMANY,13,6,0.8037193288092648
AMMONIA,GERMANY,13,7,2.036089066472841
AMMONIA,GERMANY,13,8,3.05413363898593
AMMONIA,GERMANY,13,9,1.232369718792609
AMMONIA,GERMANY,13,10,1.39311347438806
AMMONIA,GERMANY,13,11,1.821763731197028
AMMONIA,GERMANY,13,12,2.518320405701527
AMMONIA,GERMANY,14,1,1.446694675665521
AMMONIA,GERMANY,14,2,0.9108818415744205
AMMONIA,GERMANY,14,3,0.5358128367386565
AMMONIA,GERMANY,14,4,1.875345084239438
AMMONIA,GERMANY,14,5,1.928926430888932
AMMONIA,GERMANY,14,6,0.8037193288415787
AMMONIA,GERMANY,14,7,2.036089066457345
AMMONIA,GERMANY,14,8,3.054133638981923
AMMONIA,GERMANY,14,9,1.232369718801633
AMMONIA,GERMANY,14,10,1.393113474393963
AMMONIA,GERMANY,14,11,1.821763731099635
AMMONIA,GERMANY,14,12,2.518320405614202
AMMONIA,GERMANY,15,1,1.446694675661133
AMMONIA,GERMANY,15,2,0.9108818414831488
AMMONIA,GERMANY,15,3,0.5358128367726421
AMMONIA,GERMANY,15,4,1.875345084357938
AMMONIA,GERMANY,15,5,1.928926430978237
AMMONIA,GERMANY,15,6,0.8037193288907191
AMMONIA,GERMANY,15,7,2.036089066438139
AMMONIA,GERMANY,15,8,3.054133638990883
AMMONIA,GERMANY,15,9,1.232369718831723
AMMONIA,GERMANY,15,10,1.393113474397256
AMMONIA,GERMANY,15,11,1.821763730961535
AMMONIA,GERMANY,15,12,2.518320405509728
AMMONIA,GERMANY,16,1,1.446694675656229
AMMONIA,GERMANY,16,2,0.9108818414016844
AMMONIA,GERMANY,16,3,0.5358128368194719
AMMONIA,GERMANY,16,4,1.875345084481103
AMMONIA,GERMANY,16,5,1.928926431064203
AMMONIA,GERMANY,16,6,0.8037193289287392
AMMONIA,GERMANY,16,7,2.036089066410958
AMMONIA,GERMANY,16,8,3.054133638985959
AMMONIA,GERMANY,16,9,1.232369718862037
AMMONIA,GERMANY,16,10,1.393113474394032
AMMONIA,GERMANY,16,11,1.82176373079555
AMMONIA,GERMANY,16,12,2.518320405457615
AMMONIA,GERMANY,17,1,1.446694675649237
AMMONIA,GERMANY,17,2,0.9108818413043528
AMMONIA,GERMANY,17,3,0.5358128368843319
AMMONIA,GERMANY,17,4,1.875345084614255
AMMONIA,GERMANY,17,5,1.928926431142094
AMMONIA,GERMANY,17,6,0.8037193289695286
AMMONIA,GERMANY,17,7,2.036089066380233
AMMONIA,GERMANY,17,8,3.054133638973934
AMMONIA,GERMANY,17,9,1.232369718900172
AMMONIA,GERMANY,17,10,1.393113474390575
AMMONIA,GERMANY,17,11,1.821763730592031
AMMONIA,GERMANY,17,12,2.518320405354247
AMMONIA,GERMANY,18,1,1.446694675647003
AMMONIA,GERMANY,18,2,0.9108818413295041
AMMONIA,GERMANY,18,3,0.5358128368371184
AMMONIA,GERMANY,18,4,1.875345084739229
