pt,n,h,td,val
CCGT,GERMANY,9,12,4.243333785833571e-13
CCGT,GERMANY,10,1,7.386648119140887e-13
CCGT,GERMANY,10,2,1.173133167707692e-12
CCGT,GERMANY,10,3,1.994173458543669e-12
CCGT,GERMANY,10,4,5.69919716235394e-13
CCGT,GERMANY,10,5,5.541006505228508e-13
CCGT,GERMANY,10,6,1.329467499747461e-12
CCGT,GERMANY,10,7,5.24967355710586e-13
CCGT,GERMANY,10,8,3.499002560675492e-13
CCGT,GERMANY,10,9,8.671505149114393e-13
CCGT,GERMANY,10,10,7.670723281567581e-13
CCGT,GERMANY,10,11,5.867047990113382e-13
CCGT,GERMANY,10,12,4.243333786374544e-13
CCGT,GERMANY,11,1,7.386648096651597e-13
CCGT,GERMANY,11,2,1.173133166267101e-12
CCGT,GERMANY,11,3,1.994173462933911e-12
CCGT,GERMANY,11,4,5.699192395376083e-13
CCGT,GERMANY,11,5,5.541006506364765e-13
CCGT,GERMANY,11,6,1.32946750044201e-12
CCGT,GERMANY,11,7,5.24967358135249e-13
CCGT,GERMANY,11,8,3.499002561198639e-13
CCGT,GERMANY,11,9,8.671502209551653e-13
CCGT,GERMANY,11,10,7.670723283479285e-13
CCGT,GERMANY,11,11,5.866985102766499e-13
CCGT,GERMANY,11,12,4.243333787045606e-13
CCGT,GERMANY,12,1,7.386648074116522e-13
CCGT,GERMANY,12,2,1.173129494753135e-12
CCGT,GERMANY,12,3,1.994173467313661e-12
CCGT,GERMANY,12,4,5.699192397088438e-13
CCGT,GERMANY,12,5,5.541006507496868e-13
CCGT,GERMANY,12,6,1.329467501128636e-12
CCGT,GERMANY,12,7,5.249673591507826e-13
CCGT,GERMANY,12,8,3.499002561705889e-13
CCGT,GERMANY,12,9,8.671505305514937e-13
CCGT,GERMANY,12,10,7.670723285410741e-13
CCGT,GERMANY,12,11,5.866935466307643e-13
CCGT,GERMANY,12,12,4.243333787633299e-13
CCGT,GERMANY,13,1,7.386648051454644e-13
CCGT,GERMANY,13,2,1.173133166327999e-12
CCGT,GERMANY,13,3,1.994173471678144e-12
CCGT,GERMANY,13,4,5.699192394881261e-13
CCGT,GERMANY,13,5,5.541006508627857e-13
CCGT,GERMANY,13,6,1.329467501811128e-12
CCGT,GERMANY,13,7,5.24967360162651e-13
CCGT,GERMANY,13,8,3.49900256221093e-13
CCGT,GERMANY,13,9,8.671505383703997e-13
CCGT,GERMANY,13,10,7.67072328735977e-13
CCGT,GERMANY,13,11,5.866861898349581e-13
CCGT,GERMANY,13,12,4.243333788214061e-13
CCGT,GERMANY,14,1,7.386648028471589e-13
CCGT,GERMANY,14,2,1.173129509326699e-12
CCGT,GERMANY,14,3,1.994169918447553e-12
CCGT,GERMANY,14,4,5.699192397733174e-13
CCGT,GERMANY,14,5,5.541006509754198e-13
CCGT,GERMANY,14,6,1.329467502489632e-12
CCGT,GERMANY,14,7,5.249673611777037e-13
CCGT,GERMANY,14,8,3.499002562713804e-13
CCGT,GERMANY,14,9,8.671505461888649e-13
CCGT,GERMANY,14,10,7.67072328929397e-13
CCGT,GERMANY,14,11,5.86686189730911e-13
CCGT,GERMANY,14,12,4.243333788708671e-13
CCGT,GERMANY,15,1,7.386648005235624e-13
CCGT,GERMANY,15,2,1.17313323974031e-12
CCGT,GERMANY,15,3,1.994166868108075e-12
CCGT,GERMANY,15,4,5.69919240056878e-13
CCGT,GERMANY,15,5,5.541006510881136e-13
CCGT,GERMANY,15,6,1.329467503166044e-12
CCGT,GERMANY,15,7,5.249673621874485e-13
CCGT,GERMANY,15,8,3.499002563211875e-13
CCGT,GERMANY,15,9,8.671505540084202e-13
CCGT,GERMANY,15,10,7.670723291255548e-13
CCGT,GERMANY,15,11,5.866861896213698e-13
CCGT,GERMANY,15,12,4.243333789246624e-13
CCGT,GERMANY,16,1,7.386647981954612e-13
CCGT,GERMANY,16,2,1.173133247873337e-12
CCGT,GERMANY,16,3,1.994141914298161e-12
CCGT,GERMANY,16,4,5.699192403384939e-13
CCGT,GERMANY,16,5,5.541006511866662e-13
CCGT,GERMANY,16,6,1.329467503840882e-12
CCGT,GERMANY,16,7,5.249673646016145e-13
CCGT,GERMANY,16,8,3.499002563714141e-13
CCGT,GERMANY,16,9,8.671517948299579e-13
CCGT,GERMANY,16,10,7.670723293220099e-13
CCGT,GERMANY,16,11,5.866935686160288e-13
CCGT,GERMANY,16,12,4.243333789833868e-13
CCGT,GERMANY,17,1,7.386647958415158e-13
CCGT,GERMANY,17,2,1.173205303581221e-12
CCGT,GERMANY,17,3,1.994140691326838e-12
CCGT,GERMANY,17,4,5.699192406227234e-13
CCGT,GERMANY,17,5,5.541006513001313e-13
CCGT,GERMANY,17,6,1.329467504512083e-12
CCGT,GERMANY,17,7,5.249675131983474e-13
CCGT,GERMANY,17,8,3.499002564320291e-13
CCGT,GERMANY,17,9,8.671521174931224e-13
CCGT,GERMANY,17,10,7.670723294897902e-13
CCGT,GERMANY,17,11,5.867070738890372e-13
CCGT,GERMANY,17,12,4.243333790431556e-13
CCGT,GERMANY,18,1,7.386647934600654e-13
CCGT,GERMANY,18,2,1.173133264138405e-12
CCGT,GERMANY,18,3,1.994142164632339e-12
CCGT,GERMANY,18,4,5.699192409191503e-13
CCGT,GERMANY,18,5,5.541006514100884e-13
CCGT,GERMANY,18,6,1.329467505188268e-12
CCGT,GERMANY,18,7,5.249675522455037e-13
CCGT,GERMANY,18,8,3.499007658541294e-13
CCGT,GERMANY,18,9,8.671766140325333e-13
CCGT,GERMANY,18,10,7.670723296820614e-13
CCGT,GERMANY,18,11,5.867074097510788e-13
CCGT,GERMANY,18,12,4.243333791029859e-13
CCGT,GERMANY,19,1,7.386647910577582e-13
CCGT,GERMANY,19,2,1.173133166421032e-12
CCGT,GERMANY,19,3,1.994140704076446e-12
CCGT,GERMANY,19,4,5.699192412137132e-13
CCGT,GERMANY,19,5,5.541006515227101e-13
CCGT,GERMANY,19,6,1.329467505875013e-12
CCGT,GERMANY,19,7,5.249683233004973e-13
CCGT,GERMANY,19,8,3.4990282822059e-13
CCGT,GERMANY,19,9,8.671766270641041e-13
CCGT,GERMANY,19,10,7.670723298739448e-13
CCGT,GERMANY,19,11,5.867077484043973e-13
CCGT,GERMANY,19,12,4.243333791635094e-13
CCGT,GERMANY,20,1,7.386647886313888e-13
CCGT,GERMANY,20,2,1.173120248966862e-12
CCGT,GERMANY,20,3,1.994138485939396e-12
CCGT,GERMANY,20,4,5.699192415073107e-13
CCGT,GERMANY,20,5,5.541006516351116e-13
CCGT,GERMANY,20,6,1.329467506674735e-12
CCGT,GERMANY,20,7,5.249683245076931e-13
CCGT,GERMANY,20,8,3.499140035855975e-13
CCGT,GERMANY,20,9,8.671766401015524e-13
CCGT,GERMANY,20,10,7.670723300655659e-13
CCGT,GERMANY,20,11,5.86707756741765e-13
CCGT,GERMANY,20,12,4.243333792249778e-13
CCGT,GERMANY,21,1,7.386647861828264e-13
CCGT,GERMANY,21,2,1.173120254511119e-12
CCGT,GERMANY,21,3,1.994138487550212e-12
CCGT,GERMANY,21,4,5.699192417999597e-13
CCGT,GERMANY,21,5,5.541006517510945e-13
CCGT,GERMANY,21,6,1.329467809469266e-12
CCGT,GERMANY,21,7,5.249683257106168e-13
CCGT,GERMANY,21,8,3.499140063881257e-13
CCGT,GERMANY,21,9,8.671766531424507e-13
CCGT,GERMANY,21,10,7.670723302614162e-13
CCGT,GERMANY,21,11,5.867037577230515e-13
CCGT,GERMANY,21,12,4.243333792870585e-13
CCGT,GERMANY,22,1,7.386647837279567e-13
CCGT,GERMANY,22,2,1.173101759760887e-12
CCGT,GERMANY,22,3,1.994138489170932e-12
CCGT,GERMANY,22,4,5.69919242095241e-13
CCGT,GERMANY,22,5,5.541006518699572e-13
CCGT,GERMANY,22,6,1.329467812703823e-12
CCGT,GERMANY,22,7,5.249677905000682e-13
CCGT,GERMANY,22,8,3.499140091924028e-13
CCGT,GERMANY,22,9,8.67170458381183e-13
CCGT,GERMANY,22,10,7.670723304627453e-13
CCGT,GERMANY,22,11,5.86708781344497e-13
CCGT,GERMANY,22,12,4.243333793501053e-13
CCGT,GERMANY,23,1,7.386647812515528e-13
CCGT,GERMANY,23,2,1.173101757903629e-12
CCGT,GERMANY,23,3,1.994138490819485e-12
CCGT,GERMANY,23,4,5.699192686979357e-13
CCGT,GERMANY,23,5,5.541006519899419e-13
CCGT,GERMANY,23,6,1.329472405611446e-12
CCGT,GERMANY,23,7,5.249677916039691e-13
CCGT,GERMANY,23,8,3.499126708131219e-13
CCGT,GERMANY,23,9,8.671704701941166e-13
CCGT,GERMANY,23,10,7.670723306698409e-13
CCGT,GERMANY,23,11,5.867091313926077e-13
CCGT,GERMANY,23,12,4.243333794134905e-13
CCGT,GERMANY,24,1,7.386647787387364e-13
CCGT,GERMANY,24,2,1.173097137031808e-12
CCGT,GERMANY,24,3,1.994138492305114e-12
CCGT,GERMANY,24,4,5.699192757160692e-13
CCGT,GERMANY,24,5,5.541006521117186e-13
CCGT,GERMANY,24,6,1.32947240801224e-12
CCGT,GERMANY,24,7,5.249677934793363e-13
CCGT,GERMANY,24,8,3.499126733531471e-13
CCGT,GERMANY,24,9,8.671704820166279e-13
CCGT,GERMANY,24,10,7.670723308830731e-13
CCGT,GERMANY,24,11,5.867094843495465e-13
CCGT,GERMANY,24,12,4.243333794785997e-13
CCGT_AMMONIA,GERMANY,1,1,9.012845632338009e-13
CCGT_AMMONIA,GERMANY,1,2,1.431460410706511e-12
CCGT_AMMONIA,GERMANY,1,3,2.433556787645361e-12
CCGT_AMMONIA,GERMANY,1,4,6.952816335405957e-13
CCGT_AMMONIA,GERMANY,1,5,6.759637268715681e-13
CCGT_AMMONIA,GERMANY,1,6,1.622321179758118e-12
CCGT_AMMONIA,GERMANY,1,7,6.404122599090384e-13
CCGT_AMMONIA,GERMANY,1,8,4.269246716457769e-13
CCGT_AMMONIA,GERMANY,1,9,1.058126909000756e-12
CCGT_AMMONIA,GERMANY,1,10,9.35949289258776e-13
CCGT_AMMONIA,GERMANY,1,11,7.158161431573132e-13
CCGT_AMMONIA,GERMANY,1,12,5.177596141306351e-13
CCGT_AMMONIA,GERMANY,2,1,9.012845632338081e-13
CCGT_AMMONIA,GERMANY,2,2,1.431460414248127e-12
CCGT_AMMONIA,GERMANY,2,3,2.433556786391596e-12
CCGT_AMMONIA,GERMANY,2,4,6.952817867600267e-13
CCGT_AMMONIA,GERMANY,2,5,6.75963726871603e-13
CCGT_AMMONIA,GERMANY,2,6,1.622321179759117e-12
CCGT_AMMONIA,GERMANY,2,7,6.404122650151396e-13
CCGT_AMMONIA,GERMANY,2,8,4.269246716393162e-13
CCGT_AMMONIA,GERMANY,2,9,1.05813746881328e-12
CCGT_AMMONIA,GERMANY,2,10,9.359492892587842e-13
CCGT_AMMONIA,GERMANY,2,11,7.15816161143299e-13
CCGT_AMMONIA,GERMANY,2,12,5.17759614130639e-13
CCGT_AMMONIA,GERMANY,3,1,9.012845632338148e-13
CCGT_AMMONIA,GERMANY,3,2,1.431467387758181e-12
CCGT_AMMONIA,GERMANY,3,3,2.433557583354693e-12
CCGT_AMMONIA,GERMANY,3,4,6.952817884781146e-13
CCGT_AMMONIA,GERMANY,3,5,6.759637268716951e-13
CCGT_AMMONIA,GERMANY,3,6,1.622321179752735e-12
CCGT_AMMONIA,GERMANY,3,7,6.404122701224722e-13
CCGT_AMMONIA,GERMANY,3,8,4.269246716392404e-13
CCGT_AMMONIA,GERMANY,3,9,1.058137490440569e-12
CCGT_AMMONIA,GERMANY,3,10,9.359492892587916e-13
CCGT_AMMONIA,GERMANY,3,11,7.158161791316976e-13
CCGT_AMMONIA,GERMANY,3,12,5.177596141306435e-13
CCGT_AMMONIA,GERMANY,4,1,9.012845632338219e-13
CCGT_AMMONIA,GERMANY,4,2,1.431489925714996e-12
CCGT_AMMONIA,GERMANY,4,3,2.433558386952535e-12
CCGT_AMMONIA,GERMANY,4,4,6.952817901960008e-13
CCGT_AMMONIA,GERMANY,4,5,6.759637268717938e-13
CCGT_AMMONIA,GERMANY,4,6,1.622321179758826e-12
CCGT_AMMONIA,GERMANY,4,7,6.404122752307547e-13
CCGT_AMMONIA,GERMANY,4,8,4.2692467163904e-13
CCGT_AMMONIA,GERMANY,4,9,1.058137512071395e-12
CCGT_AMMONIA,GERMANY,4,10,9.359492892588007e-13
CCGT_AMMONIA,GERMANY,4,11,7.158161971238136e-13
CCGT_AMMONIA,GERMANY,4,12,5.177596141306477e-13
CCGT_AMMONIA,GERMANY,5,1,9.012845632338289e-13
CCGT_AMMONIA,GERMANY,5,2,1.431489928213182e-12
CCGT_AMMONIA,GERMANY,5,3,2.433559197216865e-12
CCGT_AMMONIA,GERMANY,5,4,6.952817911652591e-13
CCGT_AMMONIA,GERMANY,5,5,6.759637268719266e-13
CCGT_AMMONIA,GERMANY,5,6,1.622321182019019e-12
CCGT_AMMONIA,GERMANY,5,7,6.404122803401555e-13
CCGT_AMMONIA,GERMANY,5,8,4.26924671639243e-13
CCGT_AMMONIA,GERMANY,5,9,1.058137533709987e-12
CCGT_AMMONIA,GERMANY,5,10,9.3594928925881e-13
CCGT_AMMONIA,GERMANY,5,11,7.158162151233975e-13
CCGT_AMMONIA,GERMANY,5,12,5.177596141306525e-13
CCGT_AMMONIA,GERMANY,6,1,9.012845632338363e-13
CCGT_AMMONIA,GERMANY,6,2,1.431507195198311e-12
CCGT_AMMONIA,GERMANY,6,3,2.433559216999347e-12
CCGT_AMMONIA,GERMANY,6,4,6.95281793633201e-13
CCGT_AMMONIA,GERMANY,6,5,6.759637268720076e-13
CCGT_AMMONIA,GERMANY,6,6,1.622321184274097e-12
CCGT_AMMONIA,GERMANY,6,7,6.404122854506104e-13
CCGT_AMMONIA,GERMANY,6,8,4.269246716392945e-13
CCGT_AMMONIA,GERMANY,6,9,1.058137555344912e-12
CCGT_AMMONIA,GERMANY,6,10,9.35949289258818e-13
CCGT_AMMONIA,GERMANY,6,11,7.158162331238228e-13
CCGT_AMMONIA,GERMANY,6,12,5.177596141306564e-13
CCGT_AMMONIA,GERMANY,7,1,9.012845632338434e-13
CCGT_AMMONIA,GERMANY,7,2,1.431507207037868e-12
CCGT_AMMONIA,GERMANY,7,3,2.43356003389476e-12
CCGT_AMMONIA,GERMANY,7,4,6.952817931027368e-13
CCGT_AMMONIA,GERMANY,7,5,6.759637268719221e-13
CCGT_AMMONIA,GERMANY,7,6,1.622321179759353e-12
CCGT_AMMONIA,GERMANY,7,7,6.404122905618767e-13
CCGT_AMMONIA,GERMANY,7,8,4.269246716389054e-13
