ct,n,h,td,val
ELECTRICITY,GERMANY,9,8,69.55602340628525
ELECTRICITY,GERMANY,9,9,70.51691232224881
ELECTRICITY,GERMANY,9,10,79.0146854487612
ELECTRICITY,GERMANY,9,11,64.34691564989446
ELECTRICITY,GERMANY,9,12,79.71195571930545
ELECTRICITY,GERMANY,10,1,81.32249478274863
ELECTRICITY,GERMANY,10,2,70.56721105504562
ELECTRICITY,GERMANY,10,3,70.85179445991871
ELECTRICITY,GERMANY,10,4,69.94635957275509
ELECTRICITY,GERMANY,10,5,72.99068809850986
ELECTRICITY,GERMANY,10,6,71.54798160469852
ELECTRICITY,GERMANY,10,7,69.948380760874
ELECTRICITY,GERMANY,10,8,71.50459689672486
ELECTRICITY,GERMANY,10,9,71.2798245018075
ELECTRICITY,GERMANY,10,10,79.784713142619
ELECTRICITY,GERMANY,10,11,65.27002148508936
ELECTRICITY,GERMANY,10,12,79.98633043824972
ELECTRICITY,GERMANY,11,1,82.09083527101774
ELECTRICITY,GERMANY,11,2,70.72815543807536
ELECTRICITY,GERMANY,11,3,70.703208203167
ELECTRICITY,GERMANY,11,4,69.84778330849518
ELECTRICITY,GERMANY,11,5,72.86925298299616
ELECTRICITY,GERMANY,11,6,71.87943430374048
ELECTRICITY,GERMANY,11,7,68.97849883993692
ELECTRICITY,GERMANY,11,8,71.7317171261465
ELECTRICITY,GERMANY,11,9,71.01920663310788
ELECTRICITY,GERMANY,11,10,79.58900935821947
ELECTRICITY,GERMANY,11,11,65.69851352745738
ELECTRICITY,GERMANY,11,12,80.24226843800302
ELECTRICITY,GERMANY,12,1,81.83729655150137
ELECTRICITY,GERMANY,12,2,70.60393894442231
ELECTRICITY,GERMANY,12,3,69.83299976834925
ELECTRICITY,GERMANY,12,4,69.71319562865838
ELECTRICITY,GERMANY,12,5,72.10551989305628
ELECTRICITY,GERMANY,12,6,71.57337742980381
ELECTRICITY,GERMANY,12,7,68.67277960765522
ELECTRICITY,GERMANY,12,8,70.85610604632494
ELECTRICITY,GERMANY,12,9,70.77042715656992
ELECTRICITY,GERMANY,12,10,79.35487889361521
ELECTRICITY,GERMANY,12,11,65.50881051414902
ELECTRICITY,GERMANY,12,12,80.27050790153164
ELECTRICITY,GERMANY,13,1,81.60284139601094
ELECTRICITY,GERMANY,13,2,70.42208969356176
ELECTRICITY,GERMANY,13,3,69.02331150343555
ELECTRICITY,GERMANY,13,4,69.21880500735162
ELECTRICITY,GERMANY,13,5,71.52699735700628
ELECTRICITY,GERMANY,13,6,70.97933309477847
ELECTRICITY,GERMANY,13,7,68.64328991010419
ELECTRICITY,GERMANY,13,8,70.04309406243556
ELECTRICITY,GERMANY,13,9,70.22164550208916
ELECTRICITY,GERMANY,13,10,78.56317138607314
ELECTRICITY,GERMANY,13,11,64.4940582004786
ELECTRICITY,GERMANY,13,12,79.56720401917995
ELECTRICITY,GERMANY,14,1,81.03792909206838
ELECTRICITY,GERMANY,14,2,69.95507956600353
ELECTRICITY,GERMANY,14,3,68.15414253727882
ELECTRICITY,GERMANY,14,4,68.65451789016177
ELECTRICITY,GERMANY,14,5,71.0826656269624
ELECTRICITY,GERMANY,14,6,70.7018780733789
ELECTRICITY,GERMANY,14,7,68.20386577431056
ELECTRICITY,GERMANY,14,8,71.76416977029477
ELECTRICITY,GERMANY,14,9,70.04834299260345
ELECTRICITY,GERMANY,14,10,77.8703868080161
ELECTRICITY,GERMANY,14,11,63.81378377211206
ELECTRICITY,GERMANY,14,12,72.88347252576767
ELECTRICITY,GERMANY,15,1,80.78250800105631
ELECTRICITY,GERMANY,15,2,69.52554805503466
ELECTRICITY,GERMANY,15,3,68.00105191678587
ELECTRICITY,GERMANY,15,4,68.09792131929346
ELECTRICITY,GERMANY,15,5,70.5975090333291
ELECTRICITY,GERMANY,15,6,69.92721402797751
ELECTRICITY,GERMANY,15,7,67.628471889537
ELECTRICITY,GERMANY,15,8,68.91971471005877
ELECTRICITY,GERMANY,15,9,69.54085133882168
ELECTRICITY,GERMANY,15,10,76.82624442765768
ELECTRICITY,GERMANY,15,11,63.5689889246261
ELECTRICITY,GERMANY,15,12,72.63181835308902
ELECTRICITY,GERMANY,16,1,80.6842341779645
ELECTRICITY,GERMANY,16,2,69.31263024366572
ELECTRICITY,GERMANY,16,3,68.05342958295508
ELECTRICITY,GERMANY,16,4,67.92434538893998
ELECTRICITY,GERMANY,16,5,70.25836814614652
ELECTRICITY,GERMANY,16,6,69.53842519347478
ELECTRICITY,GERMANY,16,7,67.44529900081947
ELECTRICITY,GERMANY,16,8,68.7608276355443
ELECTRICITY,GERMANY,16,9,69.3632754584855
ELECTRICITY,GERMANY,16,10,77.05375399688604
ELECTRICITY,GERMANY,16,11,63.79784525389717
ELECTRICITY,GERMANY,16,12,70.631932084286
ELECTRICITY,GERMANY,17,1,81.80633451852978
ELECTRICITY,GERMANY,17,2,70.72122564756692
ELECTRICITY,GERMANY,17,3,69.22034854599902
ELECTRICITY,GERMANY,17,4,67.89189427059597
ELECTRICITY,GERMANY,17,5,69.66140670107096
ELECTRICITY,GERMANY,17,6,69.43262780071026
ELECTRICITY,GERMANY,17,7,67.04923277412993
ELECTRICITY,GERMANY,17,8,68.81684161672813
ELECTRICITY,GERMANY,17,9,68.96354204632739
ELECTRICITY,GERMANY,17,10,77.12995833590412
ELECTRICITY,GERMANY,17,11,65.65624180573424
ELECTRICITY,GERMANY,17,12,71.55855169667892
ELECTRICITY,GERMANY,18,1,81.37104760794162
ELECTRICITY,GERMANY,18,2,71.0340479378008
ELECTRICITY,GERMANY,18,3,70.96417256156536
ELECTRICITY,GERMANY,18,4,68.06096307553207
ELECTRICITY,GERMANY,18,5,69.33309266582276
ELECTRICITY,GERMANY,18,6,67.29532509453237
ELECTRICITY,GERMANY,18,7,66.64604687353219
ELECTRICITY,GERMANY,18,8,66.46672544575372
ELECTRICITY,GERMANY,18,9,68.42850447585909
ELECTRICITY,GERMANY,18,10,77.81852365609963
ELECTRICITY,GERMANY,18,11,65.4844984992699
ELECTRICITY,GERMANY,18,12,71.76067862861959
ELECTRICITY,GERMANY,19,1,80.42030991534524
ELECTRICITY,GERMANY,19,2,70.56830827187426
ELECTRICITY,GERMANY,19,3,70.5747760872599
ELECTRICITY,GERMANY,19,4,67.91406549303055
ELECTRICITY,GERMANY,19,5,68.62816290753588
ELECTRICITY,GERMANY,19,6,66.53691211836062
ELECTRICITY,GERMANY,19,7,65.73789783582728
ELECTRICITY,GERMANY,19,8,65.18657525562766
ELECTRICITY,GERMANY,19,9,67.95993514542504
ELECTRICITY,GERMANY,19,10,76.33481075559116
ELECTRICITY,GERMANY,19,11,64.56849569929784
ELECTRICITY,GERMANY,19,12,70.6995487195037
ELECTRICITY,GERMANY,20,1,78.47891517595534
ELECTRICITY,GERMANY,20,2,69.1403094548423
ELECTRICITY,GERMANY,20,3,68.95539955873129
ELECTRICITY,GERMANY,20,4,66.73320271470726
ELECTRICITY,GERMANY,20,5,68.3212600021713
ELECTRICITY,GERMANY,20,6,65.70777324544606
ELECTRICITY,GERMANY,20,7,65.15400524271573
ELECTRICITY,GERMANY,20,8,64.44017907660235
ELECTRICITY,GERMANY,20,9,66.80681801580089
ELECTRICITY,GERMANY,20,10,74.20699640654249
ELECTRICITY,GERMANY,20,11,62.64530560677844
ELECTRICITY,GERMANY,20,12,69.22088323299452
ELECTRICITY,GERMANY,21,1,76.6681199028746
ELECTRICITY,GERMANY,21,2,67.68586193764165
ELECTRICITY,GERMANY,21,3,67.39764048144683
ELECTRICITY,GERMANY,21,4,65.25586098173906
